;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.837;0.931;0.931;0.268;0.292;0.248;0.623;0.658;0.603;0.449;0.614;0.716;0.516;0.457;0.469;0.469;0.452;0.477;0.562;0.55;0.562;0.545
transcript38_ENSMSIG00000000513;0.837;1.0;0.899;0.899;0.383;0.302;0.364;0.754;0.652;0.734;0.46;0.613;0.705;0.625;0.555;0.583;0.583;0.566;0.566;0.637;0.658;0.637;0.653
transcript52_ENSMSIG00000000513;0.931;0.899;1.0;1.0;0.302;0.328;0.282;0.671;0.711;0.652;0.502;0.668;0.77;0.558;0.486;0.513;0.513;0.496;0.522;0.57;0.591;0.57;0.586
transcript58_ENSMSIG00000000513;0.931;0.899;1.0;1.0;0.302;0.328;0.282;0.671;0.711;0.652;0.502;0.668;0.77;0.558;0.486;0.513;0.513;0.496;0.522;0.57;0.591;0.57;0.586
transcript38_MGP-SPRETEiJ-G0021131;0.268;0.383;0.302;0.302;1.0;0.863;0.968;0.615;0.51;0.595;0.534;0.41;0.502;0.468;0.435;0.465;0.465;0.447;0.447;0.471;0.492;0.471;0.488
transcript52_MGP-SPRETEiJ-G0021131;0.292;0.302;0.328;0.328;0.863;1.0;0.83;0.531;0.556;0.51;0.595;0.445;0.546;0.399;0.364;0.392;0.392;0.375;0.399;0.404;0.425;0.404;0.421
transcript63_MGP-SPRETEiJ-G0021131;0.248;0.364;0.282;0.282;0.968;0.83;1.0;0.595;0.521;0.607;0.547;0.391;0.482;0.475;0.443;0.447;0.447;0.455;0.429;0.456;0.476;0.456;0.472
transcript38_ENSMUSG00000054036;0.623;0.754;0.671;0.671;0.615;0.531;0.595;1.0;0.895;0.98;0.695;0.754;0.845;0.744;0.666;0.694;0.694;0.677;0.677;0.778;0.8;0.778;0.792
transcript54_ENSMUSG00000054036;0.658;0.652;0.711;0.711;0.51;0.556;0.521;0.895;1.0;0.913;0.776;0.8;0.9;0.688;0.608;0.609;0.609;0.619;0.619;0.696;0.717;0.696;0.71
transcript55_ENSMUSG00000054036;0.603;0.734;0.652;0.652;0.595;0.51;0.607;0.98;0.913;1.0;0.71;0.734;0.826;0.757;0.677;0.677;0.677;0.689;0.66;0.763;0.784;0.763;0.777
transcript58_ENSMUSG00000054036;0.449;0.46;0.502;0.502;0.534;0.595;0.547;0.695;0.776;0.71;1.0;0.606;0.706;0.536;0.484;0.487;0.487;0.496;0.496;0.535;0.556;0.535;0.552
transcript8_MGP-CAROLIEiJ-G0020234;0.614;0.613;0.668;0.668;0.41;0.445;0.391;0.754;0.8;0.734;0.606;1.0;0.897;0.604;0.534;0.561;0.561;0.544;0.571;0.639;0.66;0.639;0.654
transcript47_MGP-CAROLIEiJ-G0020234;0.716;0.705;0.77;0.77;0.502;0.546;0.482;0.845;0.9;0.826;0.706;0.897;1.0;0.679;0.587;0.613;0.613;0.598;0.624;0.714;0.735;0.714;0.728
transcript39_MGP-PahariEiJ-G0020237;0.516;0.625;0.558;0.558;0.468;0.399;0.475;0.744;0.688;0.757;0.536;0.604;0.679;1.0;0.766;0.764;0.764;0.777;0.748;0.911;0.932;0.911;0.924
transcript8_ENSRNOG00000031503;0.457;0.555;0.486;0.486;0.435;0.364;0.443;0.666;0.608;0.677;0.484;0.534;0.587;0.766;1.0;0.968;0.968;0.987;0.948;0.79;0.794;0.79;0.788
transcript31_ENSRNOG00000031503;0.469;0.583;0.513;0.513;0.465;0.392;0.447;0.694;0.609;0.677;0.487;0.561;0.613;0.764;0.968;1.0;1.0;0.98;0.98;0.799;0.819;0.799;0.813
transcript32_ENSRNOG00000031503;0.469;0.583;0.513;0.513;0.465;0.392;0.447;0.694;0.609;0.677;0.487;0.561;0.613;0.764;0.968;1.0;1.0;0.98;0.98;0.799;0.819;0.799;0.813
transcript39_ENSRNOG00000031503;0.452;0.566;0.496;0.496;0.447;0.375;0.455;0.677;0.619;0.689;0.496;0.544;0.598;0.777;0.987;0.98;0.98;1.0;0.962;0.782;0.804;0.782;0.798
transcript50_ENSRNOG00000031503;0.477;0.566;0.522;0.522;0.447;0.399;0.429;0.677;0.619;0.66;0.496;0.571;0.624;0.748;0.948;0.98;0.98;0.962;1.0;0.782;0.804;0.782;0.798
transcript12_ENSMUGG00000013649;0.562;0.637;0.57;0.57;0.471;0.404;0.456;0.778;0.696;0.763;0.535;0.639;0.714;0.911;0.79;0.799;0.799;0.782;0.782;1.0;0.979;1.0;0.97
transcript32_ENSMUGG00000013649;0.55;0.658;0.591;0.591;0.492;0.425;0.476;0.8;0.717;0.784;0.556;0.66;0.735;0.932;0.794;0.819;0.819;0.804;0.804;0.979;1.0;0.979;0.992
transcript50_ENSMUGG00000013649;0.562;0.637;0.57;0.57;0.471;0.404;0.456;0.778;0.696;0.763;0.535;0.639;0.714;0.911;0.79;0.799;0.799;0.782;0.782;1.0;0.979;1.0;0.97
transcript32_ENSMUGG00000013592;0.545;0.653;0.586;0.586;0.488;0.421;0.472;0.792;0.71;0.777;0.552;0.654;0.728;0.924;0.788;0.813;0.813;0.798;0.798;0.97;0.992;0.97;1.0
