;transcript52_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript64_ENSMUSG00000054036;transcript48_MGP-PahariEiJ-G0020237;transcript57_ENSMUSG00000054036;transcript7_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript52_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript8_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript41_ENSMUGG00000013649;transcript53_ENSRNOG00000031503
transcript52_MGP-CAROLIEiJ-G0020234;1.0;0.571;0.615;0.571;0.571;0.5;0.625;0.778;0.571;0.533;0.533;0.538;0.583;0.538;0.538;0.538;0.571;0.5
transcript63_MGP-CAROLIEiJ-G0020234;0.571;1.0;0.929;1.0;1.0;0.929;0.357;0.571;1.0;0.933;0.933;1.0;0.923;1.0;1.0;1.0;1.0;0.846
transcript64_ENSMUSG00000054036;0.615;0.929;1.0;0.714;0.696;0.667;0.385;0.5;0.842;0.929;0.812;0.75;1.0;0.75;0.75;0.75;0.696;0.556
transcript48_MGP-PahariEiJ-G0020237;0.571;1.0;0.714;1.0;1.0;0.952;0.357;0.381;0.857;0.933;0.636;1.0;0.778;1.0;1.0;1.0;1.0;0.722
transcript57_ENSMUSG00000054036;0.571;1.0;0.696;1.0;1.0;0.952;0.357;0.348;0.826;1.0;0.667;1.0;0.75;1.0;1.0;1.0;1.0;0.65
transcript7_MGP-PahariEiJ-G0020237;0.5;0.929;0.667;0.952;0.952;1.0;0.385;0.333;0.81;0.867;0.591;0.944;0.722;0.944;0.944;0.944;0.952;0.667
transcript62_MGP-CAROLIEiJ-G0020234;0.625;0.357;0.385;0.357;0.357;0.385;1.0;0.625;0.357;0.333;0.333;0.308;0.333;0.308;0.308;0.308;0.357;0.25
transcript52_ENSMUSG00000054036;0.778;0.571;0.5;0.381;0.348;0.333;0.625;1.0;0.421;0.571;0.571;0.35;0.467;0.35;0.35;0.35;0.348;0.429
transcript67_ENSMUSG00000054036;0.571;1.0;0.842;0.857;0.826;0.81;0.357;0.421;1.0;1.0;0.778;0.85;0.882;0.85;0.85;0.85;0.826;0.667
transcript9_MGP-CAROLIEiJ-G0020234;0.533;0.933;0.929;0.933;1.0;0.867;0.333;0.571;1.0;1.0;1.0;1.0;0.923;1.0;1.0;1.0;1.0;0.846
transcript9_MGP-PahariEiJ-G0020237;0.533;0.933;0.812;0.636;0.667;0.591;0.333;0.571;0.778;1.0;1.0;0.722;0.8;0.722;0.722;0.722;0.667;0.733
transcript40_ENSRNOG00000031503;0.538;1.0;0.75;1.0;1.0;0.944;0.308;0.35;0.85;1.0;0.722;1.0;0.783;0.957;0.87;0.87;1.0;0.565
transcript49_ENSRNOG00000031503;0.583;0.923;1.0;0.778;0.75;0.722;0.333;0.467;0.882;0.923;0.8;0.783;1.0;0.739;0.652;0.652;0.783;0.476
transcript8_ENSRNOG00000031503;0.538;1.0;0.75;1.0;1.0;0.944;0.308;0.35;0.85;1.0;0.722;0.957;0.739;1.0;0.909;0.909;0.957;0.591
transcript55_ENSRNOG00000031503;0.538;1.0;0.75;1.0;1.0;0.944;0.308;0.35;0.85;1.0;0.722;0.87;0.652;0.909;1.0;1.0;0.87;0.65
transcript54_ENSRNOG00000031503;0.538;1.0;0.75;1.0;1.0;0.944;0.308;0.35;0.85;1.0;0.722;0.87;0.652;0.909;1.0;1.0;0.87;0.65
transcript41_ENSMUGG00000013649;0.571;1.0;0.696;1.0;1.0;0.952;0.357;0.348;0.826;1.0;0.667;1.0;0.783;0.957;0.87;0.87;1.0;0.565
transcript53_ENSRNOG00000031503;0.5;0.846;0.556;0.722;0.65;0.667;0.25;0.429;0.667;0.846;0.733;0.565;0.476;0.591;0.65;0.65;0.565;1.0
