;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript48_ENSMUGG00000013649;transcript8_ENSRNOG00000031503;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript25_ENSPEMG00000024651;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSMUGG00000013592;transcript47_ENSMUGG00000013649;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;0.158;0.125;0.067;0.062;0.046;0.182;0.118;0.118;0.083;0.042;0.043;0.06;0.064;0.065;1.0;0.048;0.045
transcript47_ENSMUSG00000054036;1.0;1.0;0.158;0.125;0.067;0.062;0.046;0.182;0.118;0.118;0.083;0.042;0.043;0.06;0.064;0.065;1.0;0.048;0.045
transcript55_ENSMUSG00000054036;0.158;0.158;1.0;0.545;0.391;0.367;0.292;0.318;0.458;0.458;0.75;0.708;0.275;0.353;0.375;0.383;0.158;0.306;0.284
transcript42_ENSRNOG00000031503;0.125;0.125;0.545;1.0;0.304;0.286;0.231;0.667;0.476;0.476;0.652;0.609;0.217;0.275;0.292;0.298;0.125;0.242;0.224
transcript54_ENSMUGG00000013592;0.067;0.067;0.391;0.304;1.0;0.86;0.642;0.222;0.326;0.326;0.447;0.426;0.652;0.9;0.84;0.82;0.067;0.621;0.647
transcript53_ENSMUGG00000013592;0.062;0.062;0.367;0.286;0.86;1.0;0.687;0.208;0.306;0.306;0.42;0.4;0.696;0.96;0.9;0.88;0.062;0.667;0.691
transcript48_ENSMUGG00000013649;0.046;0.046;0.292;0.231;0.642;0.687;1.0;0.154;0.246;0.246;0.354;0.338;0.942;0.716;0.672;0.657;0.046;0.868;0.97
transcript8_ENSRNOG00000031503;0.182;0.182;0.318;0.667;0.222;0.208;0.154;1.0;0.625;0.625;0.435;0.391;0.145;0.2;0.213;0.217;0.182;0.161;0.149
transcript8_ENSMSIG00000000513;0.118;0.118;0.458;0.476;0.326;0.306;0.246;0.625;1.0;1.0;0.696;0.652;0.232;0.294;0.312;0.319;0.118;0.258;0.239
transcript8_ENSMUSG00000054036;0.118;0.118;0.458;0.476;0.326;0.306;0.246;0.625;1.0;1.0;0.696;0.652;0.232;0.294;0.312;0.319;0.118;0.258;0.239
transcript42_ENSMUSG00000054036;0.083;0.083;0.75;0.652;0.447;0.42;0.354;0.435;0.696;0.696;1.0;0.957;0.333;0.404;0.429;0.438;0.083;0.371;0.343
transcript54_ENSMUSG00000054036;0.042;0.042;0.708;0.609;0.426;0.4;0.338;0.391;0.652;0.652;0.957;1.0;0.319;0.385;0.408;0.417;0.042;0.355;0.328
transcript25_ENSPEMG00000024651;0.043;0.043;0.275;0.217;0.652;0.696;0.942;0.145;0.232;0.232;0.333;0.319;1.0;0.725;0.681;0.667;0.043;0.899;0.971
transcript28_ENSMUGG00000013592;0.06;0.06;0.353;0.275;0.9;0.96;0.716;0.2;0.294;0.294;0.404;0.385;0.725;1.0;0.94;0.92;0.06;0.697;0.721
transcript52_ENSMUGG00000013592;0.064;0.064;0.375;0.292;0.84;0.9;0.672;0.213;0.312;0.312;0.429;0.408;0.681;0.94;1.0;0.979;0.064;0.73;0.676
transcript7_ENSMUGG00000013592;0.065;0.065;0.383;0.298;0.82;0.88;0.657;0.217;0.319;0.319;0.438;0.417;0.667;0.92;0.979;1.0;0.065;0.742;0.662
transcript47_ENSMUGG00000013649;1.0;1.0;0.158;0.125;0.067;0.062;0.046;0.182;0.118;0.118;0.083;0.042;0.043;0.06;0.064;0.065;1.0;0.048;0.045
transcript7_ENSMUGG00000013649;0.048;0.048;0.306;0.242;0.621;0.667;0.868;0.161;0.258;0.258;0.371;0.355;0.899;0.697;0.73;0.742;0.048;1.0;0.897
transcript44_ENSMUGG00000013649;0.045;0.045;0.284;0.224;0.647;0.691;0.97;0.149;0.239;0.239;0.343;0.328;0.971;0.721;0.676;0.662;0.045;0.897;1.0
