;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.786;1.0;0.286;0.214;1.0;0.643;0.786;0.571;1.0;0.857;0.357;0.714;0.357
ENST00000331224_90_90;0.786;1.0;0.8;0.417;0.308;0.769;0.8;1.0;0.7;0.769;0.909;0.4;0.9;0.25
ENST00000341267_90_90;1.0;0.8;1.0;0.333;0.25;1.0;0.615;0.769;0.538;1.0;0.846;0.308;0.692;0.385
ENST00000392848_90_90;0.286;0.417;0.333;1.0;0.667;0.231;0.375;0.3;0.429;0.231;0.273;0.4;0.333;0.0
ENST00000556051_90_90;0.214;0.308;0.25;0.667;1.0;0.154;0.25;0.2;0.286;0.154;0.182;0.2;0.222;0.0
ENSMUST00000056110_90_90;1.0;0.769;1.0;0.231;0.154;1.0;0.688;0.812;0.625;1.0;0.875;0.412;0.75;0.312
ENSMUST00000109841_90_90;0.643;0.8;0.615;0.375;0.25;0.688;1.0;0.846;0.909;0.688;0.786;0.583;0.769;0.143
ENSMUST00000109842_90_90;0.786;1.0;0.769;0.3;0.2;0.812;0.846;1.0;0.769;0.812;0.929;0.5;0.923;0.2
ENSMUST00000109843_90_90;0.571;0.7;0.538;0.429;0.286;0.625;0.909;0.769;1.0;0.625;0.714;0.636;0.833;0.071
ENSMUST00000109844_90_90;1.0;0.769;1.0;0.231;0.154;1.0;0.688;0.812;0.625;1.0;0.875;0.412;0.75;0.312
ENSMUST00000109846_90_90;0.857;0.909;0.846;0.273;0.182;0.875;0.786;0.929;0.714;0.875;1.0;0.467;0.857;0.267
ENSMUST00000124293_90_90;0.357;0.4;0.308;0.4;0.2;0.412;0.583;0.5;0.636;0.412;0.467;1.0;0.538;0.0
ENSMUST00000173539_90_90;0.714;0.9;0.692;0.333;0.222;0.75;0.769;0.923;0.833;0.75;0.857;0.538;1.0;0.133
ENSMUST00000173812_90_90;0.357;0.25;0.385;0.0;0.0;0.312;0.143;0.2;0.071;0.312;0.267;0.0;0.133;1.0
