;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.4;0.375;0.398;0.447;0.4;0.102;0.897;0.615;0.043;0.362;0.03;0.385;0.416;0.396;0.398;0.0;0.429;0.191;0.25;0.076;0.265;0.434;0.474;0.427;0.378;0.385;0.101;0.389;0.424;0.394;0.411;0.404;0.434;0.381;0.0;0.841;0.602
ENSCAFT00000018571_90_90;0.4;1.0;0.465;0.531;0.5;0.967;0.492;0.398;0.549;0.082;0.239;0.0;0.512;0.463;0.532;0.494;0.0;0.481;0.119;0.274;0.083;0.29;0.487;0.453;0.532;0.873;0.875;0.46;0.859;0.474;0.488;0.458;0.506;0.412;0.506;0.0;0.391;0.552
ENSCAFT00000021391_90_90;0.375;0.465;1.0;0.757;0.757;0.465;0.26;0.372;0.455;0.059;0.324;0.0;0.797;0.775;0.74;0.831;0.069;0.714;0.227;0.214;0.076;0.229;0.7;0.597;0.789;0.459;0.465;0.256;0.453;0.754;0.871;0.814;0.812;0.676;0.836;0.057;0.38;0.454
ENSCAFT00000021394_90_90;0.398;0.531;0.757;1.0;0.862;0.531;0.284;0.396;0.495;0.045;0.314;0.0;0.899;0.797;0.812;0.855;0.0;0.71;0.234;0.277;0.078;0.292;0.721;0.687;0.923;0.506;0.512;0.28;0.5;0.676;0.817;0.761;0.732;0.603;0.859;0.0;0.404;0.495
ENSCAFT00000021397_90_90;0.447;0.5;0.757;0.862;1.0;0.5;0.239;0.446;0.484;0.068;0.371;0.0;0.797;0.887;0.735;0.833;0.0;0.82;0.263;0.31;0.088;0.328;0.833;0.797;0.903;0.474;0.481;0.236;0.487;0.778;0.794;0.844;0.731;0.692;0.761;0.0;0.457;0.483
ENST00000227348_90_90;0.4;0.967;0.465;0.531;0.5;1.0;0.468;0.398;0.549;0.082;0.239;0.0;0.512;0.463;0.532;0.494;0.0;0.481;0.136;0.274;0.083;0.29;0.487;0.453;0.532;0.903;0.905;0.438;0.889;0.474;0.488;0.458;0.506;0.412;0.506;0.0;0.391;0.552
ENST00000533709_90_90;0.102;0.492;0.26;0.284;0.239;0.468;1.0;0.093;0.258;0.156;0.157;0.0;0.289;0.23;0.296;0.267;0.0;0.232;0.0;0.0;0.0;0.0;0.235;0.176;0.278;0.435;0.444;0.909;0.429;0.229;0.263;0.227;0.268;0.167;0.286;0.0;0.095;0.262
ENST00000252483_90_90;0.897;0.398;0.372;0.396;0.446;0.398;0.093;1.0;0.618;0.045;0.379;0.032;0.383;0.414;0.409;0.396;0.0;0.444;0.2;0.262;0.079;0.277;0.45;0.493;0.425;0.375;0.382;0.092;0.386;0.439;0.391;0.409;0.419;0.45;0.379;0.0;0.908;0.586
ENST00000252485_90_90;0.615;0.549;0.455;0.495;0.484;0.549;0.258;0.618;1.0;0.074;0.346;0.0;0.48;0.454;0.464;0.48;0.0;0.436;0.157;0.205;0.062;0.217;0.441;0.444;0.511;0.527;0.533;0.256;0.522;0.432;0.475;0.449;0.458;0.411;0.475;0.0;0.56;0.857
ENST00000585601_90_90;0.043;0.082;0.059;0.045;0.068;0.082;0.156;0.045;0.074;1.0;0.097;0.0;0.058;0.065;0.063;0.061;0.0;0.071;0.0;0.0;0.0;0.0;0.073;0.058;0.063;0.085;0.082;0.152;0.083;0.07;0.06;0.063;0.066;0.054;0.057;0.0;0.047;0.066
