;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.838;0.536;0.525;0.578;0.496;0.447;0.294;0.633;0.627;0.605;0.611;0.838
transcript2_ENSSTOG00000019743;0.838;1.0;0.591;0.576;0.639;0.548;0.493;0.32;0.754;0.745;0.712;0.722;1.0
transcript17_ENSMUGG00000013649;0.536;0.591;1.0;0.974;0.881;0.762;0.7;0.319;0.497;0.487;0.506;0.501;0.591
transcript17_ENSMUGG00000013592;0.525;0.576;0.974;1.0;0.901;0.746;0.691;0.316;0.489;0.48;0.498;0.492;0.576
transcript29_ENSMUGG00000013592;0.578;0.639;0.881;0.901;1.0;0.822;0.748;0.289;0.534;0.524;0.544;0.539;0.639
transcript8_ENSPEMG00000024651;0.496;0.548;0.762;0.746;0.822;1.0;0.744;0.238;0.515;0.451;0.469;0.463;0.548
transcript8_ENSNGAG00000018584;0.447;0.493;0.7;0.691;0.748;0.744;1.0;0.286;0.657;0.568;0.593;0.585;0.493
transcript7_ENSNGAG00000018584;0.294;0.32;0.319;0.316;0.289;0.238;0.286;1.0;0.357;0.429;0.384;0.443;0.32
transcript9_ENSNGAG00000018584;0.633;0.754;0.497;0.489;0.534;0.515;0.657;0.357;1.0;0.895;0.853;0.865;0.754
transcript10_ENSNGAG00000018584;0.627;0.745;0.487;0.48;0.524;0.451;0.568;0.429;0.895;1.0;0.956;0.968;0.745
transcript18_ENSNGAG00000018584;0.605;0.712;0.506;0.498;0.544;0.469;0.593;0.384;0.853;0.956;1.0;0.923;0.712
transcript19_ENSNGAG00000018584;0.611;0.722;0.501;0.492;0.539;0.463;0.585;0.443;0.865;0.968;0.923;1.0;0.722
transcript15_ENSSTOG00000019743;0.838;1.0;0.591;0.576;0.639;0.548;0.493;0.32;0.754;0.745;0.712;0.722;1.0
