;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENSCAFT00000017823_90_90;1.0;0.906;0.938;0.906;0.969;0.781;0.938;0.938;0.094;0.719;0.875;0.062;0.094;0.062;0.094;0.25;0.094;0.062;0.156;1.0;0.969;0.938;0.812;0.938;0.25
ENST00000257075_90_90;0.906;1.0;0.889;0.861;0.941;0.875;0.97;0.882;0.091;0.667;0.857;0.062;0.125;0.062;0.094;0.242;0.059;0.062;0.156;0.912;0.939;0.969;0.844;0.909;0.258
ENST00000373741_90_90;0.938;0.889;1.0;0.919;0.892;0.778;0.917;0.838;0.081;0.641;0.865;0.056;0.111;0.056;0.083;0.25;0.053;0.056;0.139;0.941;0.97;0.939;0.818;0.939;0.25
ENST00000373742_90_90;0.906;0.861;0.919;1.0;0.865;0.8;0.838;0.811;0.083;0.658;0.889;0.057;0.114;0.057;0.086;0.222;0.054;0.057;0.143;0.912;0.882;0.909;0.844;0.909;0.258
ENST00000373747_90_90;0.969;0.941;0.892;0.865;1.0;0.824;0.971;0.941;0.086;0.722;0.861;0.059;0.118;0.059;0.088;0.265;0.056;0.059;0.147;0.971;0.941;0.912;0.794;0.912;0.242
ENST00000424085_90_90;0.781;0.875;0.778;0.8;0.824;1.0;0.848;0.765;0.103;0.697;0.743;0.071;0.143;0.071;0.107;0.276;0.067;0.071;0.1;0.794;0.818;0.844;0.964;0.844;0.296
ENST00000426105_90_90;0.938;0.97;0.917;0.838;0.971;0.848;1.0;0.912;0.088;0.694;0.833;0.061;0.121;0.061;0.091;0.273;0.057;0.061;0.152;0.941;0.97;0.939;0.818;0.939;0.25
ENST00000440538_90_90;0.938;0.882;0.838;0.811;0.941;0.765;0.912;1.0;0.091;0.667;0.806;0.062;0.125;0.062;0.094;0.281;0.059;0.062;0.156;0.912;0.882;0.853;0.735;0.853;0.258
ENST00000480602_90_90;0.094;0.091;0.081;0.083;0.086;0.103;0.088;0.091;1.0;0.0;0.088;0.2;0.0;0.2;0.0;0.0;0.0;0.5;0.0;0.088;0.091;0.094;0.107;0.094;0.375
ENST00000498419_90_90;0.719;0.667;0.641;0.658;0.722;0.697;0.694;0.667;0.0;1.0;0.605;0.0;0.143;0.0;0.107;0.321;0.067;0.0;0.138;0.735;0.706;0.676;0.71;0.727;0.1
ENST00000525843_90_90;0.875;0.857;0.865;0.889;0.861;0.743;0.833;0.806;0.088;0.605;1.0;0.061;0.121;0.061;0.059;0.235;0.057;0.061;0.152;0.882;0.853;0.879;0.758;0.824;0.267
ENST00000525948_90_90;0.062;0.062;0.056;0.057;0.059;0.071;0.061;0.062;0.2;0.0;0.061;1.0;0.0;1.0;0.0;0.0;0.0;0.333;0.0;0.059;0.061;0.062;0.071;0.062;0.25
ENST00000525997_90_90;0.094;0.125;0.111;0.114;0.118;0.143;0.121;0.125;0.0;0.143;0.121;0.0;1.0;0.0;0.0;0.3;0.143;0.0;0.0;0.088;0.091;0.094;0.107;0.094;0.0
ENST00000526215_90_90;0.062;0.062;0.056;0.057;0.059;0.071;0.061;0.062;0.2;0.0;0.061;1.0;0.0;1.0;0.0;0.0;0.0;0.333;0.0;0.059;0.061;0.062;0.071;0.062;0.25
ENST00000527498_90_90;0.094;0.094;0.083;0.086;0.088;0.107;0.091;0.094;0.0;0.107;0.059;0.0;0.0;0.0;1.0;0.091;0.0;0.0;0.0;0.088;0.091;0.094;0.107;0.094;0.0
ENST00000529846_90_90;0.25;0.242;0.25;0.222;0.265;0.276;0.273;0.281;0.0;0.321;0.235;0.0;0.3;0.0;0.091;1.0;0.083;0.0;0.0;0.235;0.242;0.212;0.241;0.25;0.0
ENST00000530669_90_90;0.094;0.059;0.053;0.054;0.056;0.067;0.057;0.059;0.0;0.067;0.057;0.0;0.143;0.0;0.0;0.083;1.0;0.0;0.0;0.088;0.091;0.094;0.107;0.094;0.0
ENST00000531867_90_90;0.062;0.062;0.056;0.057;0.059;0.071;0.061;0.062;0.5;0.0;0.061;0.333;0.0;0.333;0.0;0.0;0.0;1.0;0.0;0.059;0.061;0.062;0.071;0.062;0.25
ENST00000532678_90_90;0.156;0.156;0.139;0.143;0.147;0.1;0.152;0.156;0.0;0.138;0.152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.147;0.152;0.156;0.1;0.156;0.182
ENSMUST00000030315_90_90;1.0;0.912;0.941;0.912;0.971;0.794;0.941;0.912;0.088;0.735;0.882;0.059;0.088;0.059;0.088;0.235;0.088;0.059;0.147;1.0;0.971;0.941;0.824;0.941;0.235
ENSMUST00000097862_90_90;0.969;0.939;0.97;0.882;0.941;0.818;0.97;0.882;0.091;0.706;0.853;0.061;0.091;0.061;0.091;0.242;0.091;0.061;0.152;0.971;1.0;0.97;0.848;0.97;0.242
ENSMUST00000097864_90_90;0.938;0.969;0.939;0.909;0.912;0.844;0.939;0.853;0.094;0.676;0.879;0.062;0.094;0.062;0.094;0.212;0.094;0.062;0.156;0.941;0.97;1.0;0.875;0.939;0.25
ENSMUST00000105991_90_90;0.812;0.844;0.818;0.844;0.794;0.964;0.818;0.735;0.107;0.71;0.758;0.071;0.107;0.071;0.107;0.241;0.107;0.071;0.1;0.824;0.848;0.875;1.0;0.875;0.286
ENSMUST00000105992_90_90;0.938;0.909;0.939;0.909;0.912;0.844;0.939;0.853;0.094;0.727;0.824;0.062;0.094;0.062;0.094;0.25;0.094;0.062;0.156;0.941;0.97;0.939;0.875;1.0;0.25
ENSMUST00000143277_90_90;0.25;0.258;0.25;0.258;0.242;0.296;0.25;0.258;0.375;0.1;0.267;0.25;0.0;0.25;0.0;0.0;0.0;0.25;0.182;0.235;0.242;0.25;0.286;0.25;1.0
