;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.333;0.455;0.385;0.556;0.556;0.8;0.5;0.346;0.37;0.357;0.333;0.36;0.5;0.37;0.37;0.294
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.333;0.455;0.385;0.556;0.556;0.8;0.5;0.346;0.37;0.357;0.333;0.36;0.5;0.37;0.37;0.294
transcript57_ENSMUSG00000054036;0.333;0.333;1.0;0.733;0.867;0.6;0.6;0.267;0.567;0.833;0.9;0.812;0.818;0.636;0.567;0.9;0.9;0.882
transcript64_ENSMUSG00000054036;0.455;0.455;0.733;1.0;0.846;0.667;0.667;0.364;0.625;0.621;0.69;0.724;0.733;0.84;0.56;0.815;0.815;0.647
transcript67_ENSMUSG00000054036;0.385;0.385;0.867;0.846;1.0;0.63;0.63;0.308;0.593;0.759;0.828;0.8;0.806;0.724;0.593;0.893;0.893;0.765
transcript9_MGP-CAROLIEiJ-G0020234;0.556;0.556;0.6;0.667;0.63;1.0;1.0;0.444;0.944;0.593;0.607;0.643;0.6;0.556;0.75;0.667;0.667;0.529
transcript9_MGP-PahariEiJ-G0020237;0.556;0.556;0.6;0.667;0.63;1.0;1.0;0.444;0.944;0.593;0.607;0.643;0.6;0.556;0.75;0.667;0.667;0.529
transcript62_MGP-CAROLIEiJ-G0020234;0.8;0.8;0.267;0.364;0.308;0.444;0.444;1.0;0.389;0.32;0.296;0.286;0.267;0.28;0.389;0.296;0.296;0.235
transcript63_MGP-CAROLIEiJ-G0020234;0.5;0.5;0.567;0.625;0.593;0.944;0.944;0.389;1.0;0.556;0.571;0.607;0.567;0.519;0.7;0.63;0.63;0.5
transcript7_MGP-PahariEiJ-G0020237;0.346;0.346;0.833;0.621;0.759;0.593;0.593;0.32;0.556;1.0;0.926;0.71;0.719;0.531;0.615;0.793;0.793;0.735
transcript48_MGP-PahariEiJ-G0020237;0.37;0.37;0.9;0.69;0.828;0.607;0.607;0.296;0.571;0.926;1.0;0.774;0.781;0.594;0.63;0.862;0.862;0.794
transcript8_ENSRNOG00000031503;0.357;0.357;0.812;0.724;0.8;0.643;0.643;0.286;0.607;0.71;0.774;1.0;0.933;0.733;0.607;0.897;0.897;0.824
transcript40_ENSRNOG00000031503;0.333;0.333;0.818;0.733;0.806;0.6;0.6;0.267;0.567;0.719;0.781;0.933;1.0;0.8;0.567;0.9;0.9;0.882
transcript49_ENSRNOG00000031503;0.36;0.36;0.636;0.84;0.724;0.556;0.556;0.28;0.519;0.531;0.594;0.733;0.8;1.0;0.464;0.7;0.7;0.706
transcript53_ENSRNOG00000031503;0.5;0.5;0.567;0.56;0.593;0.75;0.75;0.389;0.7;0.615;0.63;0.607;0.567;0.464;1.0;0.63;0.63;0.5
transcript54_ENSRNOG00000031503;0.37;0.37;0.9;0.815;0.893;0.667;0.667;0.296;0.63;0.793;0.862;0.897;0.9;0.7;0.63;1.0;1.0;0.794
transcript55_ENSRNOG00000031503;0.37;0.37;0.9;0.815;0.893;0.667;0.667;0.296;0.63;0.793;0.862;0.897;0.9;0.7;0.63;1.0;1.0;0.794
transcript41_ENSMUGG00000013649;0.294;0.294;0.882;0.647;0.765;0.529;0.529;0.235;0.5;0.735;0.794;0.824;0.882;0.706;0.5;0.794;0.794;1.0
