;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;1.0;0.198;0.973;0.999;0.972;0.884;0.09;0.0;0.118
ENST00000419482_90_90;1.0;1.0;0.198;0.973;0.999;0.972;0.884;0.09;0.0;0.118
ENST00000438570_90_90;0.198;0.198;1.0;0.203;0.197;0.202;0.103;0.365;0.0;0.0
ENST00000444564_90_90;0.973;0.973;0.203;1.0;0.972;0.999;0.859;0.092;0.0;0.122
ENSMUST00000074301_90_90;0.999;0.999;0.197;0.972;1.0;0.973;0.886;0.089;0.0;0.118
ENSMUST00000114186_90_90;0.972;0.972;0.202;0.999;0.973;1.0;0.86;0.091;0.0;0.122
ENSMUST00000114188_90_90;0.884;0.884;0.103;0.859;0.886;0.86;1.0;0.0;0.025;0.127
ENSMUST00000129630_90_90;0.09;0.09;0.365;0.092;0.089;0.091;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.118;0.118;0.0;0.122;0.118;0.122;0.127;0.0;0.0;1.0
