;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;1.0;0.579;0.421;0.737;0.368;0.263;0.263;0.474;0.421;0.5;0.95;0.05;0.25;1.0;0.6
ENST00000158771_90_90;1.0;1.0;0.5;0.4;0.636;0.35;0.2;0.2;0.455;0.381;0.526;0.947;0.045;0.25;1.0;0.579
ENST00000570848_90_90;0.579;0.5;1.0;0.5;0.812;0.538;0.278;0.278;0.316;0.692;0.75;0.611;0.071;0.417;0.579;0.158
ENST00000571476_90_90;0.421;0.4;0.5;1.0;0.412;0.364;0.2;0.2;0.111;0.7;0.8;0.444;0.091;0.273;0.421;0.118
ENST00000571971_90_90;0.737;0.636;0.812;0.412;1.0;0.438;0.238;0.238;0.4;0.562;0.6;0.778;0.059;0.333;0.737;0.316
ENST00000572834_90_90;0.368;0.35;0.538;0.364;0.438;1.0;0.417;0.417;0.056;0.455;0.545;0.389;0.1;0.625;0.368;0.059
ENST00000573637_90_90;0.263;0.2;0.278;0.2;0.238;0.417;1.0;1.0;0.0;0.267;0.385;0.238;0.5;0.75;0.227;0.0
ENST00000574952_90_90;0.263;0.2;0.278;0.2;0.238;0.417;1.0;1.0;0.0;0.267;0.385;0.238;0.5;0.75;0.227;0.0
ENST00000575605_90_90;0.474;0.455;0.316;0.111;0.4;0.056;0.0;0.0;1.0;0.167;0.118;0.421;0.0;0.0;0.474;0.667
ENST00000576551_90_90;0.421;0.381;0.692;0.7;0.562;0.455;0.267;0.267;0.167;1.0;0.8;0.444;0.091;0.4;0.421;0.056
ENSMUST00000018586_90_90;0.5;0.526;0.75;0.8;0.6;0.545;0.385;0.385;0.118;0.8;1.0;0.5;0.077;0.455;0.5;0.1
ENSMUST00000108523_90_90;0.95;0.947;0.611;0.444;0.778;0.389;0.238;0.238;0.421;0.444;0.5;1.0;0.043;0.238;0.905;0.524
ENSMUST00000131340_90_90;0.05;0.045;0.071;0.091;0.059;0.1;0.5;0.5;0.0;0.091;0.077;0.043;1.0;0.25;0.043;0.0
ENSMUST00000132198_90_90;0.25;0.25;0.417;0.273;0.333;0.625;0.75;0.75;0.0;0.4;0.455;0.238;0.25;1.0;0.238;0.0
ENSMUST00000143850_90_90;1.0;1.0;0.579;0.421;0.737;0.368;0.227;0.227;0.474;0.421;0.5;0.905;0.043;0.238;1.0;0.6
ENSMUST00000171041_90_90;0.6;0.579;0.158;0.118;0.316;0.059;0.0;0.0;0.667;0.056;0.1;0.524;0.0;0.0;0.6;1.0
