;ENSCAFT00000025827_90_90;ENST00000254322_90_90;ENST00000396969_90_90;ENST00000594099_90_90;ENST00000595139_90_90;ENST00000595992_90_90;ENST00000596075_90_90;ENST00000596853_90_90;ENST00000598235_90_90;ENST00000598692_90_90;ENST00000601533_90_90;ENSMUST00000005620_90_90;ENSMUST00000212300_90_90
ENSCAFT00000025827_90_90;1.0;0.558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.998;0.753
ENST00000254322_90_90;0.558;1.0;0.653;0.291;0.482;0.337;0.151;0.372;0.536;0.184;0.234;0.559;0.571
ENST00000396969_90_90;0.0;0.653;1.0;0.446;0.555;0.52;0.222;0.577;0.827;0.279;0.356;0.0;0.0
ENST00000594099_90_90;0.0;0.291;0.446;1.0;0.552;0.863;0.496;0.794;0.542;0.624;0.799;0.0;0.0
ENST00000595139_90_90;0.0;0.482;0.555;0.552;1.0;0.635;0.3;0.692;0.649;0.358;0.446;0.0;0.0
ENST00000595992_90_90;0.0;0.337;0.52;0.863;0.635;1.0;0.444;0.913;0.629;0.546;0.692;0.0;0.0
ENST00000596075_90_90;0.0;0.151;0.222;0.496;0.3;0.444;1.0;0.425;0.28;0.746;0.604;0.0;0.0
ENST00000596853_90_90;0.0;0.372;0.577;0.794;0.692;0.913;0.425;1.0;0.693;0.511;0.64;0.0;0.0
ENST00000598235_90_90;0.0;0.536;0.827;0.542;0.649;0.629;0.28;0.693;1.0;0.344;0.435;0.0;0.0
ENST00000598692_90_90;0.0;0.184;0.279;0.624;0.358;0.546;0.746;0.511;0.344;1.0;0.775;0.0;0.0
ENST00000601533_90_90;0.0;0.234;0.356;0.799;0.446;0.692;0.604;0.64;0.435;0.775;1.0;0.0;0.0
ENSMUST00000005620_90_90;0.998;0.559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.686
ENSMUST00000212300_90_90;0.753;0.571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.686;1.0
