;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.363;0.599;0.395;0.407;0.692;0.62;0.699;0.529;0.814;0.743;0.778;0.7;0.848;0.731;0.683;0.708;0.708;0.742;0.741;0.758;0.782;0.766
transcript38_ENSMSIG00000000513;0.363;1.0;0.996;1.0;0.8;0.794;0.4;0.404;0.843;0.377;0.476;0.26;0.248;0.397;0.443;0.434;0.461;0.461;0.444;0.443;0.405;0.393;0.414
transcript38_MGP-SPRETEiJ-G0021131;0.599;0.996;1.0;0.996;0.794;0.796;0.543;0.548;0.629;0.426;0.536;0.314;0.279;0.481;0.556;0.522;0.554;0.554;0.556;0.555;0.489;0.492;0.518
transcript38_ENSMUSG00000054036;0.395;1.0;0.996;1.0;0.8;0.794;0.4;0.404;0.627;0.329;0.427;0.234;0.218;0.36;0.434;0.418;0.443;0.443;0.433;0.431;0.396;0.384;0.405
transcript52_ENSMSIG00000000513;0.407;0.8;0.794;0.8;1.0;0.994;0.464;0.471;0.676;0.414;0.377;0.28;0.262;0.424;0.354;0.339;0.365;0.365;0.359;0.359;0.339;0.337;0.33
transcript52_MGP-SPRETEiJ-G0021131;0.692;0.794;0.796;0.794;0.994;1.0;0.643;0.651;0.487;0.474;0.426;0.341;0.297;0.517;0.442;0.402;0.434;0.434;0.449;0.448;0.405;0.422;0.41
transcript58_ENSMSIG00000000513;0.62;0.4;0.543;0.4;0.464;0.643;1.0;1.0;0.515;0.664;0.6;0.528;0.488;0.625;0.534;0.527;0.518;0.518;0.533;0.531;0.499;0.514;0.503
transcript58_ENSMUSG00000054036;0.699;0.404;0.548;0.404;0.471;0.651;1.0;1.0;0.364;0.598;0.533;0.5;0.445;0.588;0.521;0.506;0.501;0.501;0.518;0.516;0.486;0.501;0.49
transcript63_MGP-SPRETEiJ-G0021131;0.529;0.843;0.629;0.627;0.676;0.487;0.515;0.364;1.0;0.754;0.865;0.65;0.62;0.764;0.865;0.849;0.833;0.833;0.853;0.851;0.774;0.786;0.814
transcript54_ENSMUSG00000054036;0.814;0.377;0.426;0.329;0.414;0.474;0.664;0.598;0.754;1.0;0.913;0.912;0.85;0.965;0.896;0.873;0.862;0.862;0.891;0.889;0.859;0.883;0.866
