;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.952;0.826;0.87;0.857;0.857;0.905;0.81;1.0;0.542;0.952;0.864;0.826;0.818;0.783;0.652;0.783;0.833;0.565;0.952;0.826;0.857;0.905;0.81;0.833
transcript27_ENSAPOG00000016134;0.952;1.0;0.87;0.913;0.905;0.905;0.952;0.857;0.952;0.583;1.0;0.826;0.87;0.783;0.826;0.696;0.826;0.875;0.609;1.0;0.87;0.905;0.952;0.857;0.875
transcript32_ENSAPOG00000016134;0.826;0.87;1.0;0.957;0.783;0.783;0.826;0.739;0.826;0.625;0.87;0.87;1.0;0.826;0.955;0.818;0.955;0.917;0.583;0.87;0.913;0.783;0.826;0.739;0.917
transcript33_ENSAPOG00000016134;0.87;0.913;0.957;1.0;0.826;0.826;0.87;0.783;0.87;0.667;0.913;0.913;0.957;0.87;0.913;0.783;0.913;0.958;0.625;0.913;0.957;0.826;0.87;0.783;0.958
transcript35_ENSAPOG00000016134;0.857;0.905;0.783;0.826;1.0;0.81;0.857;0.762;0.857;0.636;0.905;0.739;0.783;0.696;0.739;0.609;0.739;0.792;0.591;0.905;0.783;0.81;0.857;0.762;0.792
transcript36_ENSAPOG00000016134;0.857;0.905;0.783;0.826;0.81;1.0;0.95;0.947;0.857;0.565;0.905;0.739;0.783;0.696;0.739;0.682;0.739;0.792;0.591;0.905;0.864;0.81;0.95;0.947;0.792
transcript37_ENSAPOG00000016134;0.905;0.952;0.826;0.87;0.857;0.95;1.0;0.9;0.905;0.609;0.952;0.783;0.826;0.739;0.783;0.652;0.783;0.833;0.636;0.952;0.909;0.857;1.0;0.9;0.833
transcript38_ENSAPOG00000016134;0.81;0.857;0.739;0.783;0.762;0.947;0.9;1.0;0.81;0.522;0.857;0.696;0.739;0.652;0.696;0.636;0.696;0.75;0.545;0.857;0.818;0.762;0.9;1.0;0.75
transcript7_ENSAPOG00000023408;1.0;0.952;0.826;0.87;0.857;0.857;0.905;0.81;1.0;0.542;0.952;0.864;0.826;0.818;0.783;0.652;0.783;0.833;0.565;0.952;0.826;0.857;0.905;0.81;0.833
transcript8_ENSAPOG00000023408;0.542;0.583;0.625;0.667;0.636;0.565;0.609;0.522;0.542;1.0;0.583;0.583;0.625;0.542;0.583;0.458;0.652;0.708;0.833;0.583;0.696;0.636;0.609;0.522;0.708
transcript27_ENSAPOG00000023408;0.952;1.0;0.87;0.913;0.905;0.905;0.952;0.857;0.952;0.583;1.0;0.826;0.87;0.783;0.826;0.696;0.826;0.875;0.609;1.0;0.87;0.905;0.952;0.857;0.875
transcript30_ENSAPOG00000023408;0.864;0.826;0.87;0.913;0.739;0.739;0.783;0.696;0.864;0.583;0.826;1.0;0.87;0.952;0.826;0.696;0.826;0.875;0.542;0.826;0.87;0.739;0.783;0.696;0.875
transcript32_ENSAPOG00000023408;0.826;0.87;1.0;0.957;0.783;0.783;0.826;0.739;0.826;0.625;0.87;0.87;1.0;0.826;0.955;0.818;0.955;0.917;0.583;0.87;0.913;0.783;0.826;0.739;0.917
transcript40_ENSAPOG00000023408;0.818;0.783;0.826;0.87;0.696;0.696;0.739;0.652;0.818;0.542;0.783;0.952;0.826;1.0;0.864;0.652;0.783;0.833;0.5;0.783;0.826;0.696;0.739;0.652;0.833
transcript41_ENSAPOG00000023408;0.783;0.826;0.955;0.913;0.739;0.739;0.783;0.696;0.783;0.583;0.826;0.826;0.955;0.864;1.0;0.773;0.909;0.875;0.542;0.826;0.87;0.739;0.783;0.696;0.875
transcript42_ENSAPOG00000023408;0.652;0.696;0.818;0.783;0.609;0.682;0.652;0.636;0.652;0.458;0.696;0.696;0.818;0.652;0.773;1.0;0.773;0.75;0.478;0.696;0.739;0.609;0.652;0.636;0.75
transcript43_ENSAPOG00000023408;0.783;0.826;0.955;0.913;0.739;0.739;0.783;0.696;0.783;0.652;0.826;0.826;0.955;0.783;0.909;0.773;1.0;0.875;0.609;0.826;0.87;0.818;0.783;0.696;0.875
transcript1_ENSAOCG00000015695;0.833;0.875;0.917;0.958;0.792;0.792;0.833;0.75;0.833;0.708;0.875;0.875;0.917;0.833;0.875;0.75;0.875;1.0;0.667;0.875;0.917;0.792;0.833;0.75;1.0
transcript8_ENSAOCG00000015695;0.565;0.609;0.583;0.625;0.591;0.591;0.636;0.545;0.565;0.833;0.609;0.542;0.583;0.5;0.542;0.478;0.609;0.667;1.0;0.609;0.652;0.667;0.636;0.545;0.667
transcript25_ENSAOCG00000015695;0.952;1.0;0.87;0.913;0.905;0.905;0.952;0.857;0.952;0.583;1.0;0.826;0.87;0.783;0.826;0.696;0.826;0.875;0.609;1.0;0.87;0.905;0.952;0.857;0.875
transcript26_ENSAOCG00000015695;0.826;0.87;0.913;0.957;0.783;0.864;0.909;0.818;0.826;0.696;0.87;0.87;0.913;0.826;0.87;0.739;0.87;0.917;0.652;0.87;1.0;0.783;0.909;0.818;0.917
transcript36_ENSAOCG00000015695;0.857;0.905;0.783;0.826;0.81;0.81;0.857;0.762;0.857;0.636;0.905;0.739;0.783;0.696;0.739;0.609;0.818;0.792;0.667;0.905;0.783;1.0;0.857;0.762;0.792
transcript37_ENSAOCG00000015695;0.905;0.952;0.826;0.87;0.857;0.95;1.0;0.9;0.905;0.609;0.952;0.783;0.826;0.739;0.783;0.652;0.783;0.833;0.636;0.952;0.909;0.857;1.0;0.9;0.833
transcript38_ENSAOCG00000015695;0.81;0.857;0.739;0.783;0.762;0.947;0.9;1.0;0.81;0.522;0.857;0.696;0.739;0.652;0.696;0.636;0.696;0.75;0.545;0.857;0.818;0.762;0.9;1.0;0.75
transcript22_ENSPNYG00000024266;0.833;0.875;0.917;0.958;0.792;0.792;0.833;0.75;0.833;0.708;0.875;0.875;0.917;0.833;0.875;0.75;0.875;1.0;0.667;0.875;0.917;0.792;0.833;0.75;1.0
