;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.998;0.999;0.992;0.455;0.453;0.458;0.455;0.999;0.998;0.993;0.634;0.676
ENST00000336604_90_90;0.998;1.0;0.998;0.995;0.453;0.454;0.453;0.453;0.984;0.999;0.994;0.635;0.674
ENST00000356896_90_90;0.999;0.998;1.0;0.993;0.455;0.453;0.453;0.455;0.986;0.998;0.992;0.634;0.676
ENST00000396840_90_90;0.992;0.995;0.993;1.0;0.448;0.448;0.456;0.448;0.979;0.994;0.999;0.638;0.671
ENST00000436152_90_90;0.455;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.453;0.448;0.089;0.668
ENST00000465801_90_90;0.453;0.454;0.453;0.448;0.996;1.0;0.0;0.996;0.447;0.454;0.448;0.089;0.666
ENST00000487279_90_90;0.458;0.453;0.453;0.456;0.0;0.0;1.0;0.0;0.446;0.458;0.461;0.722;0.136
ENST00000615885_90_90;0.455;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.453;0.448;0.089;0.668
ENST00000619571_90_90;0.999;0.984;0.986;0.979;0.448;0.447;0.446;0.448;1.0;0.984;0.978;0.625;0.666
ENSMUST00000117675_90_90;0.998;0.999;0.998;0.994;0.453;0.454;0.458;0.453;0.984;1.0;0.995;0.619;0.674
ENSMUST00000119527_90_90;0.993;0.994;0.992;0.999;0.448;0.448;0.461;0.448;0.978;0.995;1.0;0.622;0.672
ENSMUST00000144364_90_90;0.634;0.635;0.634;0.638;0.089;0.089;0.722;0.089;0.625;0.619;0.622;1.0;0.304
ENSMUST00000148835_90_90;0.676;0.674;0.676;0.671;0.668;0.666;0.136;0.668;0.666;0.674;0.672;0.304;1.0
