;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
ENST00000311089_90_90;0.0;1.0;0.267;0.25;0.0;0.571;0.421;0.158;0.0;0.333;0.2;0.158;0.0;0.714;0.0
ENST00000553645_90_90;1.0;0.267;1.0;0.067;0.433;0.467;0.633;0.467;0.233;0.097;0.522;0.696;0.348;0.208;0.435
ENST00000554113_90_90;0.0;0.25;0.067;1.0;0.0;0.143;0.105;0.143;0.0;0.5;0.167;0.125;0.0;0.143;0.0
ENST00000554159_90_90;1.0;0.0;0.433;0.0;1.0;0.174;0.391;0.5;0.429;0.0;0.412;0.4;0.25;0.0;0.467
ENST00000554339_90_90;1.0;0.571;0.467;0.143;0.174;1.0;0.65;0.4;0.05;0.2;0.533;0.421;0.0;0.417;0.0
ENST00000554871_90_90;1.0;0.421;0.633;0.105;0.391;0.65;1.0;0.737;0.368;0.15;0.647;0.524;0.143;0.294;0.13
ENST00000555631_90_90;1.0;0.158;0.467;0.143;0.5;0.4;0.737;1.0;0.5;0.2;0.786;0.611;0.167;0.118;0.15
ENST00000555919_90_90;0.0;0.0;0.233;0.0;0.429;0.05;0.368;0.5;1.0;0.0;0.286;0.222;0.273;0.0;0.231
ENST00000559993_90_90;0.0;0.333;0.097;0.5;0.0;0.2;0.15;0.2;0.0;1.0;0.231;0.176;0.0;0.429;0.0
ENSMUST00000046340_90_90;1.0;0.2;0.522;0.167;0.412;0.533;0.647;0.786;0.286;0.231;1.0;0.684;0.2;0.111;0.083
ENSMUST00000123491_90_90;1.0;0.158;0.696;0.125;0.4;0.421;0.524;0.611;0.222;0.176;0.684;1.0;0.5;0.083;0.333
ENSMUST00000136159_90_90;0.0;0.0;0.348;0.0;0.25;0.0;0.143;0.167;0.273;0.0;0.2;0.5;1.0;0.0;0.5
ENSMUST00000140812_90_90;0.0;0.714;0.208;0.143;0.0;0.417;0.294;0.118;0.0;0.429;0.111;0.083;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.0;0.0;0.435;0.0;0.467;0.0;0.13;0.15;0.231;0.0;0.083;0.333;0.5;0.0;1.0
