;ENSCAFT00000024171_90_90;ENST00000264657_90_90;ENST00000389272_90_90;ENST00000404395_90_90;ENST00000585517_90_90;ENST00000588065_90_90;ENST00000588969_90_90;ENSMUST00000092671_90_90;ENSMUST00000103114_90_90;ENSMUST00000127638_90_90;ENSMUST00000138438_90_90
ENSCAFT00000024171_90_90;1.0;1.0;0.873;0.999;0.938;0.106;1.0;0.999;0.938;1.0;0.966
ENST00000264657_90_90;1.0;1.0;0.873;0.999;0.938;0.106;1.0;0.999;0.938;1.0;0.966
ENST00000389272_90_90;0.873;0.873;1.0;0.871;0.81;0.0;0.873;0.871;0.81;0.873;0.856
ENST00000404395_90_90;0.999;0.999;0.871;1.0;0.936;0.106;0.999;1.0;0.936;0.999;0.965
ENST00000585517_90_90;0.938;0.938;0.81;0.936;1.0;0.113;0.938;0.936;1.0;0.938;0.904
ENST00000588065_90_90;0.106;0.106;0.0;0.106;0.113;1.0;0.106;0.106;0.113;0.106;0.11
ENST00000588969_90_90;1.0;1.0;0.873;0.999;0.938;0.106;1.0;0.999;0.938;1.0;0.966
ENSMUST00000092671_90_90;0.999;0.999;0.871;1.0;0.936;0.106;0.999;1.0;0.936;0.999;0.965
ENSMUST00000103114_90_90;0.938;0.938;0.81;0.936;1.0;0.113;0.938;0.936;1.0;0.938;0.904
ENSMUST00000127638_90_90;1.0;1.0;0.873;0.999;0.938;0.106;1.0;0.999;0.938;1.0;0.966
ENSMUST00000138438_90_90;0.966;0.966;0.856;0.965;0.904;0.11;0.966;0.965;0.904;0.966;1.0
