;ENSCAFT00000022358_90_90;ENST00000402521_90_90;ENST00000426333_90_90;ENST00000588374_90_90;ENST00000589769_90_90;ENST00000590124_90_90;ENST00000591382_90_90;ENST00000591856_90_90;ENST00000592576_90_90;ENST00000592701_90_90;ENST00000593072_90_90;ENSMUST00000021306_90_90;ENSMUST00000107060_90_90;ENSMUST00000132543_90_90;ENSMUST00000138483_90_90;ENSMUST00000172611_90_90;ENSMUST00000173679_90_90
ENSCAFT00000022358_90_90;1.0;0.941;1.0;0.08;0.153;0.198;1.0;0.035;0.953;0.2;0.264;1.0;0.98;0.103;0.056;0.034;0.955
ENST00000402521_90_90;0.941;1.0;0.942;0.045;0.158;0.206;0.942;0.056;0.897;0.137;0.199;0.941;0.919;0.113;0.023;0.035;0.893
ENST00000426333_90_90;1.0;0.942;1.0;0.077;0.149;0.195;1.0;0.052;0.955;0.195;0.257;1.0;0.978;0.106;0.057;0.034;0.953
ENST00000588374_90_90;0.08;0.045;0.077;1.0;0.0;0.0;0.077;0.0;0.082;0.369;0.278;0.08;0.082;0.0;0.788;0.0;0.085
ENST00000589769_90_90;0.153;0.158;0.149;0.0;1.0;0.374;0.149;0.0;0.157;0.0;0.0;0.153;0.156;0.413;0.0;0.0;0.161
ENST00000590124_90_90;0.198;0.206;0.195;0.0;0.374;1.0;0.195;0.0;0.203;0.0;0.0;0.198;0.202;0.212;0.0;0.0;0.207
ENST00000591382_90_90;1.0;0.942;1.0;0.077;0.149;0.195;1.0;0.052;0.955;0.195;0.257;1.0;0.978;0.106;0.057;0.034;0.953
ENST00000591856_90_90;0.035;0.056;0.052;0.0;0.0;0.0;0.052;1.0;0.056;0.0;0.0;0.035;0.035;0.0;0.0;0.0;0.036
ENST00000592576_90_90;0.953;0.897;0.955;0.082;0.157;0.203;0.955;0.056;1.0;0.207;0.24;0.953;0.931;0.112;0.061;0.035;1.0
ENST00000592701_90_90;0.2;0.137;0.195;0.369;0.0;0.0;0.195;0.0;0.207;1.0;0.748;0.2;0.179;0.0;0.284;0.0;0.214
ENST00000593072_90_90;0.264;0.199;0.257;0.278;0.0;0.0;0.257;0.0;0.24;0.748;1.0;0.264;0.242;0.0;0.212;0.0;0.247
ENSMUST00000021306_90_90;1.0;0.941;1.0;0.08;0.153;0.198;1.0;0.035;0.953;0.2;0.264;1.0;0.98;0.103;0.056;0.032;0.955
ENSMUST00000107060_90_90;0.98;0.919;0.978;0.082;0.156;0.202;0.978;0.035;0.931;0.179;0.242;0.98;1.0;0.106;0.057;0.033;0.934
ENSMUST00000132543_90_90;0.103;0.113;0.106;0.0;0.413;0.212;0.106;0.0;0.112;0.0;0.0;0.103;0.106;1.0;0.0;0.0;0.109
ENSMUST00000138483_90_90;0.056;0.023;0.057;0.788;0.0;0.0;0.057;0.0;0.061;0.284;0.212;0.056;0.057;0.0;1.0;0.0;0.059
ENSMUST00000172611_90_90;0.034;0.035;0.034;0.0;0.0;0.0;0.034;0.0;0.035;0.0;0.0;0.032;0.033;0.0;0.0;1.0;0.034
ENSMUST00000173679_90_90;0.955;0.893;0.953;0.085;0.161;0.207;0.953;0.036;1.0;0.214;0.247;0.955;0.934;0.109;0.059;0.034;1.0
