;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.786;0.833;0.818;0.182;0.727;0.8;0.8;0.818;0.6
ENSCAFT00000004373_90_90;0.786;1.0;1.0;0.667;0.083;0.583;0.636;0.636;1.0;0.455
ENST00000333896_90_90;0.833;1.0;1.0;0.5;0.067;0.389;0.467;0.467;1.0;0.357
ENST00000356805_90_90;0.818;0.667;0.5;1.0;0.273;0.769;1.0;1.0;0.467;0.7
ENST00000389980_90_90;0.182;0.083;0.067;0.273;1.0;0.25;0.3;0.3;0.071;0.429
ENST00000615901_90_90;0.727;0.583;0.389;0.769;0.25;1.0;0.9;0.9;0.4;0.6
ENSMUST00000006629_90_90;0.8;0.636;0.467;1.0;0.3;0.9;1.0;1.0;0.467;0.7
ENSMUST00000011877_90_90;0.8;0.636;0.467;1.0;0.3;0.9;1.0;1.0;0.467;0.7
ENSMUST00000102838_90_90;0.818;1.0;1.0;0.467;0.071;0.4;0.467;0.467;1.0;0.357
ENSMUST00000124231_90_90;0.6;0.455;0.357;0.7;0.429;0.6;0.7;0.7;0.357;1.0
