;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.945;0.944;0.888;0.944;0.243;0.154;0.24;0.256;0.243;0.945;1.0;0.945;0.888;0.944;0.243;0.207
ENST00000326194_90_90;1.0;1.0;0.945;0.944;0.888;0.944;0.243;0.154;0.219;0.256;0.243;0.945;1.0;0.945;0.888;0.944;0.243;0.207
ENST00000355961_90_90;0.945;0.945;1.0;0.888;0.938;0.888;0.261;0.166;0.232;0.274;0.261;1.0;0.945;1.0;0.938;0.888;0.261;0.225
ENST00000359882_90_90;0.944;0.944;0.888;1.0;0.939;1.0;0.261;0.166;0.233;0.274;0.261;0.888;0.944;0.888;0.939;1.0;0.261;0.225
ENST00000361988_90_90;0.888;0.888;0.938;0.939;1.0;0.939;0.283;0.18;0.25;0.296;0.283;0.938;0.888;0.938;1.0;0.939;0.283;0.246
ENST00000367574_90_90;0.944;0.944;0.888;1.0;0.939;1.0;0.261;0.166;0.233;0.274;0.261;0.888;0.944;0.888;0.939;1.0;0.261;0.225
ENST00000470275_90_90;0.243;0.243;0.261;0.261;0.283;0.261;1.0;0.375;0.661;0.588;1.0;0.261;0.243;0.261;0.283;0.261;1.0;0.342
ENST00000472520_90_90;0.154;0.154;0.166;0.166;0.18;0.166;0.375;1.0;0.246;0.347;0.375;0.166;0.154;0.166;0.18;0.166;0.375;0.805
ENST00000485288_90_90;0.24;0.219;0.232;0.233;0.25;0.233;0.661;0.246;1.0;0.413;0.661;0.232;0.239;0.257;0.279;0.257;0.909;0.301
ENST00000489940_90_90;0.256;0.256;0.274;0.274;0.296;0.274;0.588;0.347;0.413;1.0;0.588;0.274;0.256;0.274;0.296;0.274;0.588;0.315
ENST00000528612_90_90;0.243;0.243;0.261;0.261;0.283;0.261;1.0;0.375;0.661;0.588;1.0;0.261;0.243;0.261;0.283;0.261;1.0;0.342
ENST00000537758_90_90;0.945;0.945;1.0;0.888;0.938;0.888;0.261;0.166;0.232;0.274;0.261;1.0;0.945;1.0;0.938;0.888;0.261;0.225
ENSMUST00000077595_90_90;1.0;1.0;0.945;0.944;0.888;0.944;0.243;0.154;0.239;0.256;0.243;0.945;1.0;0.945;0.888;0.944;0.243;0.207
ENSMUST00000082320_90_90;0.945;0.945;1.0;0.888;0.938;0.888;0.261;0.166;0.257;0.274;0.261;1.0;0.945;1.0;0.938;0.888;0.261;0.225
ENSMUST00000089402_90_90;0.888;0.888;0.938;0.939;1.0;0.939;0.283;0.18;0.279;0.296;0.283;0.938;0.888;0.938;1.0;0.939;0.283;0.246
ENSMUST00000089403_90_90;0.944;0.944;0.888;1.0;0.939;1.0;0.261;0.166;0.257;0.274;0.261;0.888;0.944;0.888;0.939;1.0;0.261;0.225
ENSMUST00000122943_90_90;0.243;0.243;0.261;0.261;0.283;0.261;1.0;0.375;0.909;0.588;1.0;0.261;0.243;0.261;0.283;0.261;1.0;0.342
ENSMUST00000154695_90_90;0.207;0.207;0.225;0.225;0.246;0.225;0.342;0.805;0.301;0.315;0.342;0.225;0.207;0.225;0.246;0.225;0.342;1.0
