;ENSCAFT00000011194_90_90;ENST00000313726_90_90;ENST00000524757_90_90;ENST00000525169_90_90;ENST00000526057_90_90;ENST00000526062_90_90;ENST00000526099_90_90;ENST00000526126_90_90;ENST00000526155_90_90;ENST00000526241_90_90;ENST00000526757_90_90;ENST00000526828_90_90;ENST00000527347_90_90;ENST00000527392_90_90;ENST00000527473_90_90;ENST00000527510_90_90;ENST00000527516_90_90;ENST00000527930_90_90;ENST00000528196_90_90;ENST00000528523_90_90;ENST00000528527_90_90;ENST00000530338_90_90;ENST00000530438_90_90;ENST00000530580_90_90;ENST00000530593_90_90;ENST00000530938_90_90;ENST00000530959_90_90;ENST00000530991_90_90;ENST00000531060_90_90;ENST00000531093_90_90;ENST00000531578_90_90;ENST00000532734_90_90;ENST00000533016_90_90;ENST00000533020_90_90;ENST00000533225_90_90;ENST00000533471_90_90;ENST00000533580_90_90;ENST00000533681_90_90;ENST00000534127_90_90;ENST00000534248_90_90;ENST00000534278_90_90;ENST00000534665_90_90;ENST00000626808_90_90;ENSMUST00000077909_90_90;ENSMUST00000079282_90_90;ENSMUST00000084738_90_90;ENSMUST00000168005_90_90;ENSMUST00000207394_90_90;ENSMUST00000207745_90_90;ENSMUST00000208583_90_90;ENSMUST00000208734_90_90
ENSCAFT00000011194_90_90;1.0;0.803;0.102;0.051;0.102;0.049;0.385;0.05;0.288;0.339;0.431;0.068;0.254;0.085;0.169;0.167;0.186;0.377;0.2;0.407;0.183;0.049;0.431;0.167;0.21;0.119;0.322;0.328;0.131;0.083;0.017;0.292;0.23;0.27;0.067;0.119;0.295;0.373;0.803;0.271;0.082;0.034;0.292;0.95;0.95;0.576;0.576;0.186;0.034;0.203;0.017
ENST00000313726_90_90;0.803;1.0;0.1;0.05;0.1;0.048;0.492;0.067;0.283;0.333;0.567;0.067;0.25;0.083;0.167;0.183;0.183;0.371;0.217;0.4;0.2;0.066;0.567;0.183;0.267;0.117;0.317;0.433;0.148;0.1;0.017;0.349;0.226;0.35;0.083;0.117;0.29;0.367;1.0;0.267;0.098;0.033;0.349;0.788;0.788;0.424;0.424;0.183;0.033;0.2;0.017
ENST00000524757_90_90;0.102;0.1;1.0;0.5;0.0;0.0;0.0;0.111;0.353;0.3;0.026;0.667;0.4;0.833;0.6;0.062;0.545;0.24;0.056;0.25;0.0;0.0;0.026;0.062;0.0;0.857;0.316;0.0;0.0;0.091;0.167;0.033;0.375;0.0;0.1;0.857;0.3;0.273;0.1;0.375;0.0;0.333;0.033;0.103;0.103;0.026;0.026;0.545;0.143;0.5;0.167
ENST00000525169_90_90;0.051;0.05;0.5;1.0;0.0;0.0;0.0;0.167;0.176;0.15;0.028;0.75;0.2;0.6;0.3;0.077;0.273;0.12;0.067;0.125;0.0;0.0;0.028;0.077;0.0;0.429;0.158;0.0;0.0;0.125;0.333;0.037;0.188;0.0;0.143;0.429;0.15;0.136;0.05;0.188;0.0;0.667;0.037;0.052;0.052;0.028;0.028;0.273;0.25;0.25;0.333
ENST00000526057_90_90;0.102;0.1;0.0;0.0;1.0;0.0;0.194;0.0;0.0;0.0;0.176;0.0;0.0;0.0;0.0;0.214;0.0;0.0;0.357;0.0;0.5;0.0;0.176;0.214;0.375;0.0;0.0;0.231;0.6;0.0;0.0;0.24;0.0;0.286;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.24;0.103;0.103;0.176;0.176;0.0;0.0;0.0;0.0
ENST00000526062_90_90;0.049;0.048;0.0;0.0;0.0;1.0;0.091;0.0;0.0;0.0;0.083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.0;0.0;0.0;0.0;0.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.048;0.0;0.333;0.0;0.0;0.05;0.05;0.083;0.083;0.0;0.0;0.0;0.0
ENST00000526099_90_90;0.385;0.492;0.0;0.0;0.194;0.091;1.0;0.0;0.0;0.0;0.857;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.257;0.0;0.387;0.125;0.857;0.2;0.516;0.0;0.0;0.839;0.281;0.057;0.0;0.474;0.0;0.677;0.029;0.0;0.0;0.0;0.492;0.0;0.188;0.0;0.474;0.391;0.391;0.625;0.625;0.0;0.0;0.0;0.0
ENST00000526126_90_90;0.05;0.067;0.111;0.167;0.0;0.0;0.0;1.0;0.05;0.043;0.118;0.143;0.056;0.125;0.077;0.364;0.071;0.036;0.308;0.037;0.0;0.0;0.118;0.364;0.0;0.1;0.045;0.0;0.0;0.667;0.25;0.16;0.053;0.0;0.8;0.1;0.043;0.04;0.067;0.053;0.0;0.2;0.16;0.051;0.051;0.086;0.086;0.071;0.5;0.067;0.25
ENST00000526155_90_90;0.288;0.283;0.353;0.176;0.0;0.0;0.0;0.05;1.0;0.85;0.02;0.235;0.882;0.294;0.588;0.037;0.647;0.68;0.034;0.708;0.0;0.0;0.02;0.037;0.0;0.412;0.895;0.0;0.0;0.045;0.059;0.024;0.737;0.0;0.048;0.412;0.85;0.773;0.283;0.941;0.0;0.118;0.024;0.271;0.271;0.02;0.02;0.647;0.056;0.706;0.059
ENST00000526241_90_90;0.339;0.333;0.3;0.15;0.0;0.0;0.0;0.043;0.85;1.0;0.019;0.2;0.75;0.25;0.5;0.033;0.55;0.8;0.031;0.833;0.0;0.0;0.019;0.033;0.0;0.35;0.95;0.0;0.0;0.04;0.05;0.023;0.636;0.0;0.042;0.35;0.818;0.909;0.333;0.8;0.0;0.1;0.023;0.322;0.322;0.019;0.019;0.55;0.048;0.6;0.05
