;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.825;0.294;0.785;0.702;0.897;0.142;0.785;0.996;0.996;0.996;0.997;0.22;0.073
ENST00000342203_90_90;0.825;1.0;0.291;0.956;0.706;0.902;0.121;0.956;0.824;0.824;0.824;0.825;0.219;0.073
ENST00000422026_90_90;0.294;0.291;1.0;0.247;0.344;0.319;0.0;0.247;0.293;0.293;0.293;0.293;0.748;0.248
ENST00000437941_90_90;0.785;0.956;0.247;1.0;0.675;0.858;0.126;1.0;0.784;0.784;0.784;0.785;0.175;0.029
ENST00000476905_90_90;0.702;0.706;0.344;0.675;1.0;0.769;0.0;0.675;0.701;0.701;0.701;0.702;0.257;0.08
ENST00000481102_90_90;0.897;0.902;0.319;0.858;0.769;1.0;0.132;0.858;0.896;0.896;0.896;0.897;0.24;0.08
ENST00000603677_90_90;0.142;0.121;0.0;0.126;0.0;0.132;1.0;0.126;0.142;0.142;0.142;0.141;0.0;0.0
ENST00000605755_90_90;0.785;0.956;0.247;1.0;0.675;0.858;0.126;1.0;0.784;0.784;0.784;0.785;0.175;0.029
ENSMUST00000039021_90_90;0.996;0.824;0.293;0.784;0.701;0.896;0.142;0.784;1.0;1.0;1.0;0.998;0.219;0.073
ENSMUST00000106149_90_90;0.996;0.824;0.293;0.784;0.701;0.896;0.142;0.784;1.0;1.0;1.0;0.998;0.219;0.073
ENSMUST00000106151_90_90;0.996;0.824;0.293;0.784;0.701;0.896;0.142;0.784;1.0;1.0;1.0;0.998;0.219;0.073
ENSMUST00000106153_90_90;0.997;0.825;0.293;0.785;0.702;0.897;0.141;0.785;0.998;0.998;0.998;1.0;0.219;0.073
ENSMUST00000129978_90_90;0.22;0.219;0.748;0.175;0.257;0.24;0.0;0.175;0.219;0.219;0.219;0.219;1.0;0.332
ENSMUST00000149262_90_90;0.073;0.073;0.248;0.029;0.08;0.08;0.0;0.029;0.073;0.073;0.073;0.073;0.332;1.0
