;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.311;0.848;0.848;0.343;0.848;0.298;0.75;0.321;0.31;0.313;0.321;0.298;0.759
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.311;0.848;0.848;0.343;0.848;0.298;0.75;0.321;0.31;0.313;0.321;0.298;0.759
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.311;0.848;0.848;0.343;0.848;0.298;0.75;0.321;0.31;0.313;0.321;0.298;0.759
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.311;0.848;0.848;0.343;0.848;0.298;0.75;0.321;0.31;0.313;0.321;0.298;0.759
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.311;0.848;0.848;0.343;0.848;0.298;0.75;0.321;0.31;0.313;0.321;0.298;0.759
transcript11_ENSHGLG00000019563;0.63;0.63;0.63;0.63;0.63;1.0;0.63;0.779;1.0;0.637;0.658;0.658;0.197;0.736;0.736;0.217;0.736;0.188;0.642;0.209;0.199;0.201;0.209;0.188;0.63
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.311;0.848;0.848;0.343;0.848;0.298;0.75;0.321;0.31;0.313;0.321;0.298;0.759
transcript26_ENSHGLG00000019563;0.49;0.49;0.49;0.49;0.49;0.779;0.49;1.0;0.779;0.496;0.512;0.512;0.153;0.573;0.573;0.169;0.573;0.146;0.5;0.163;0.155;0.157;0.163;0.146;0.49
transcript27_ENSHGLG00000019563;0.63;0.63;0.63;0.63;0.63;1.0;0.63;0.779;1.0;0.637;0.658;0.658;0.197;0.736;0.736;0.217;0.736;0.188;0.642;0.209;0.199;0.201;0.209;0.188;0.63
transcript28_ENSHGLG00000019563;0.989;0.989;0.989;0.989;0.989;0.637;0.989;0.496;0.637;1.0;0.945;0.945;0.307;0.847;0.847;0.339;0.847;0.294;0.75;0.317;0.307;0.31;0.317;0.295;0.758
