;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.031;0.353;0.0;0.095;0.141;0.279;0.115;0.353;0.385;0.0
ENST00000258909_90_90;0.031;1.0;0.246;0.756;0.608;0.0;0.28;0.111;0.179;0.098;0.416
ENST00000322019_90_90;0.353;0.246;1.0;0.215;0.366;0.128;0.833;0.375;0.899;0.852;0.199
ENST00000379384_90_90;0.0;0.756;0.215;1.0;0.502;0.0;0.244;0.115;0.151;0.069;0.432
ENST00000379390_90_90;0.095;0.608;0.366;0.502;1.0;0.124;0.427;0.174;0.294;0.218;0.297
ENST00000561551_90_90;0.141;0.0;0.128;0.0;0.124;1.0;0.161;0.0;0.128;0.144;0.0
ENST00000565774_90_90;0.279;0.28;0.833;0.244;0.427;0.161;1.0;0.269;0.738;0.685;0.225
ENST00000565982_90_90;0.115;0.111;0.375;0.115;0.174;0.0;0.269;1.0;0.375;0.456;0.208
ENSMUST00000041890_90_90;0.353;0.179;0.899;0.151;0.294;0.128;0.738;0.375;1.0;0.852;0.268
ENSMUST00000119543_90_90;0.385;0.098;0.852;0.069;0.218;0.144;0.685;0.456;0.852;1.0;0.119
ENSMUST00000126334_90_90;0.0;0.416;0.199;0.432;0.297;0.0;0.225;0.208;0.268;0.119;1.0
