;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript7_ENSMSIG00000000513;1.0;0.992;0.996;0.747;0.761;0.801;0.774;0.788;0.743;0.77;0.766;0.758;0.758;0.756;0.756;0.761;0.757;0.762;0.755;0.78;0.683;0.712
transcript7_ENSMUSG00000054036;0.992;1.0;0.989;0.743;0.756;0.795;0.771;0.783;0.743;0.766;0.763;0.754;0.754;0.752;0.752;0.755;0.752;0.759;0.751;0.776;0.68;0.708
transcript7_MGP-SPRETEiJ-G0021131;0.996;0.989;1.0;0.749;0.758;0.798;0.771;0.785;0.741;0.767;0.763;0.761;0.756;0.758;0.753;0.758;0.755;0.765;0.757;0.782;0.682;0.714
transcript71_MGP-SPRETEiJ-G0021131;0.747;0.743;0.749;1.0;0.739;0.752;0.728;0.742;0.84;0.685;0.682;0.94;0.929;0.937;0.927;0.739;0.735;0.985;0.977;0.96;0.876;0.934
transcript50_MGP-PahariEiJ-G0020237;0.761;0.756;0.758;0.739;1.0;0.957;0.876;0.968;0.759;0.859;0.854;0.715;0.715;0.713;0.712;1.0;0.994;0.733;0.726;0.71;0.84;0.687
transcript55_ENSMSIG00000000513;0.801;0.795;0.798;0.752;0.957;1.0;0.918;0.985;0.772;0.845;0.839;0.704;0.704;0.702;0.702;0.958;0.951;0.766;0.759;0.744;0.854;0.72
transcript64_ENSMSIG00000000513;0.774;0.771;0.771;0.728;0.876;0.918;1.0;0.904;0.71;0.92;0.915;0.679;0.679;0.676;0.677;0.876;0.871;0.742;0.735;0.719;0.783;0.695
transcript67_ENSMSIG00000000513;0.788;0.783;0.785;0.742;0.968;0.985;0.904;1.0;0.782;0.832;0.826;0.695;0.694;0.692;0.692;0.969;0.962;0.756;0.752;0.734;0.863;0.71
transcript54_ENSMUSG00000054036;0.743;0.743;0.741;0.84;0.759;0.772;0.71;0.782;1.0;0.704;0.701;0.854;0.85;0.852;0.847;0.758;0.755;0.854;0.847;0.832;0.914;0.808
transcript60_ENSMSIG00000000513;0.77;0.766;0.767;0.685;0.859;0.845;0.92;0.832;0.704;1.0;0.993;0.726;0.726;0.723;0.724;0.859;0.854;0.679;0.672;0.656;0.721;0.632
