;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.989;0.999;0.998;0.998;0.388;0.111;0.998;0.439;0.155;0.528;0.998;0.955;0.598;0.949;0.479;0.948;0.998;0.949;0.598;0.028;0.019;0.219;0.157;0.0;0.147;0.956;0.948;0.99;0.956;0.419;0.419;1.0;0.946;0.968;0.103;0.21;1.0;1.0;0.949;0.949;0.992;0.956;0.992;0.998;0.994;0.949;0.954;0.988;0.945;0.078;0.024;0.118;0.988;0.954;0.118
ENSCAFT00000019817_90_90;0.989;1.0;0.992;0.984;0.984;0.348;0.117;0.984;0.385;0.166;0.496;0.991;0.951;0.618;0.942;0.497;0.941;0.991;0.942;0.618;0.032;0.02;0.227;0.162;0.0;0.152;0.965;0.956;0.998;0.965;0.425;0.425;0.986;0.946;0.956;0.09;0.226;0.986;0.986;0.942;0.941;0.981;0.952;0.981;0.991;0.987;0.941;0.964;0.998;0.956;0.082;0.03;0.123;0.998;0.964;0.123
ENSCAFT00000022132_90_90;0.999;0.992;1.0;0.988;0.983;0.374;0.112;0.983;0.415;0.158;0.515;0.987;0.935;0.549;0.93;0.438;0.918;0.987;0.93;0.549;0.048;0.02;0.202;0.181;0.0;0.136;0.958;0.949;0.992;0.958;0.419;0.419;0.989;0.947;0.964;0.093;0.215;0.993;0.989;0.931;0.919;0.971;0.948;0.971;0.988;0.984;0.919;0.957;0.991;0.949;0.076;0.024;0.117;0.991;0.957;0.117
ENST00000257414_90_90;0.998;0.984;0.988;1.0;0.984;0.377;0.109;0.984;0.432;0.152;0.52;0.987;0.949;0.595;0.946;0.477;0.946;0.987;0.946;0.595;0.032;0.019;0.219;0.158;0.0;0.147;0.954;0.943;0.985;0.954;0.42;0.42;0.982;0.932;0.945;0.101;0.207;0.999;0.982;0.947;0.946;0.984;0.95;0.984;0.987;0.986;0.946;0.951;0.982;0.94;0.078;0.024;0.118;0.982;0.951;0.118
ENST00000343348_90_90;0.998;0.984;0.983;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.982;0.945;0.597;0.951;0.48;0.95;0.982;0.951;0.597;0.028;0.019;0.22;0.153;0.0;0.147;0.954;0.943;0.985;0.954;0.42;0.42;0.999;0.948;0.96;0.103;0.21;0.982;0.999;0.951;0.95;0.988;0.946;0.988;0.983;0.981;0.95;0.951;0.982;0.94;0.078;0.024;0.118;0.982;0.951;0.118
ENST00000503865_90_90;0.388;0.348;0.374;0.377;0.383;1.0;0.0;0.383;0.853;0.0;0.718;0.374;0.389;0.017;0.397;0.0;0.397;0.374;0.397;0.017;0.0;0.0;0.0;0.188;0.0;0.0;0.359;0.364;0.348;0.359;0.084;0.083;0.388;0.408;0.398;0.003;0.0;0.382;0.388;0.397;0.397;0.381;0.389;0.381;0.374;0.374;0.397;0.356;0.346;0.361;0.0;0.0;0.0;0.346;0.356;0.0
ENST00000509665_90_90;0.111;0.117;0.112;0.109;0.111;0.0;1.0;0.111;0.0;0.714;0.0;0.112;0.117;0.19;0.119;0.237;0.12;0.112;0.119;0.19;0.0;0.17;0.518;0.0;0.0;0.772;0.121;0.123;0.117;0.121;0.211;0.211;0.111;0.117;0.114;0.0;0.527;0.109;0.111;0.119;0.119;0.114;0.117;0.114;0.112;0.112;0.119;0.121;0.117;0.123;0.619;0.19;0.943;0.117;0.121;0.943
ENST00000510263_90_90;0.998;0.984;0.983;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.982;0.945;0.597;0.951;0.48;0.95;0.982;0.951;0.597;0.028;0.019;0.22;0.153;0.0;0.147;0.954;0.943;0.985;0.954;0.42;0.42;0.999;0.948;0.96;0.103;0.21;0.982;0.999;0.951;0.95;0.988;0.946;0.988;0.983;0.981;0.95;0.951;0.982;0.94;0.078;0.024;0.118;0.982;0.951;0.118
ENST00000513137_90_90;0.439;0.385;0.415;0.432;0.439;0.853;0.0;0.439;1.0;0.0;0.661;0.415;0.373;0.028;0.38;0.0;0.38;0.415;0.38;0.028;0.0;0.0;0.0;0.278;0.0;0.0;0.353;0.402;0.385;0.353;0.081;0.08;0.439;0.387;0.451;0.106;0.0;0.432;0.439;0.38;0.38;0.423;0.373;0.423;0.416;0.413;0.38;0.351;0.383;0.399;0.0;0.0;0.0;0.383;0.351;0.0
ENST00000515009_90_90;0.155;0.166;0.158;0.152;0.155;0.0;0.714;0.155;0.0;1.0;0.0;0.158;0.165;0.267;0.168;0.334;0.168;0.158;0.168;0.267;0.0;0.121;0.729;0.0;0.0;0.92;0.172;0.173;0.166;0.172;0.298;0.298;0.155;0.164;0.159;0.0;0.738;0.152;0.155;0.168;0.168;0.161;0.165;0.161;0.158;0.158;0.168;0.172;0.166;0.173;0.446;0.137;0.679;0.166;0.172;0.679
