;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.954;0.962;0.855;0.812;0.764;0.789;0.71;0.812;0.572;0.807;0.741;0.741;0.579;0.762;0.803
transcript19_ppan;0.954;1.0;0.914;0.806;0.768;0.721;0.83;0.666;0.768;0.516;0.752;0.686;0.686;0.522;0.707;0.76
transcript20_ppan;0.962;0.914;1.0;0.806;0.767;0.72;0.746;0.755;0.767;0.511;0.75;0.8;0.8;0.517;0.824;0.758
transcript12_ptro;0.855;0.806;0.806;1.0;0.998;0.957;0.611;0.903;0.998;0.86;0.992;0.931;0.931;0.86;0.931;1.0
transcript12_hsap;0.812;0.768;0.767;0.998;1.0;0.976;0.664;0.945;1.0;0.601;0.988;0.95;0.95;0.605;0.85;0.991
transcript18_hsap;0.764;0.721;0.72;0.957;0.976;1.0;0.68;0.968;0.976;0.569;0.958;0.919;0.919;0.573;0.819;0.968
transcript19_hsap;0.789;0.83;0.746;0.611;0.664;0.68;1.0;0.647;0.664;0.27;0.658;0.619;0.619;0.272;0.519;0.658
transcript20_hsap;0.71;0.666;0.755;0.903;0.945;0.968;0.647;1.0;0.945;0.532;0.919;0.956;0.956;0.536;0.851;0.935
transcript21_hsap;0.812;0.768;0.767;0.998;1.0;0.976;0.664;0.945;1.0;0.601;0.988;0.95;0.95;0.605;0.85;0.991
transcript11_ggor;0.572;0.516;0.511;0.86;0.601;0.569;0.27;0.532;0.601;1.0;0.587;0.552;0.552;0.949;0.625;0.613
transcript12_ggor;0.807;0.752;0.75;0.992;0.988;0.958;0.658;0.919;0.988;0.587;1.0;0.964;0.964;0.607;0.846;0.958
transcript16_ggor;0.741;0.686;0.8;0.931;0.95;0.919;0.619;0.956;0.95;0.552;0.964;1.0;1.0;0.57;0.877;0.924
transcript17_ggor;0.741;0.686;0.8;0.931;0.95;0.919;0.619;0.956;0.95;0.552;0.964;1.0;1.0;0.57;0.877;0.924
transcript18_ggor;0.579;0.522;0.517;0.86;0.605;0.573;0.272;0.536;0.605;0.949;0.607;0.57;0.57;1.0;0.649;0.581
transcript19_ggor;0.762;0.707;0.824;0.931;0.85;0.819;0.519;0.851;0.85;0.625;0.846;0.877;0.877;0.649;1.0;0.81
transcript8_pabe;0.803;0.76;0.758;1.0;0.991;0.968;0.658;0.935;0.991;0.613;0.958;0.924;0.924;0.581;0.81;1.0
