;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript11_ENSHGLG00000019563;0.031;0.031;0.031;0.031;0.031;1.0;0.031;0.75;1.0;0.023;0.037;0.037;0.055;0.055;0.055;0.055;0.055;0.031;0.033;0.033;0.033;0.033;0.033;0.031;0.031
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript26_ENSHGLG00000019563;0.023;0.023;0.023;0.023;0.023;0.75;0.023;1.0;0.75;0.015;0.028;0.028;0.041;0.041;0.041;0.041;0.041;0.023;0.025;0.025;0.025;0.025;0.025;0.023;0.023
transcript27_ENSHGLG00000019563;0.031;0.031;0.031;0.031;0.031;1.0;0.031;0.75;1.0;0.023;0.037;0.037;0.055;0.055;0.055;0.055;0.055;0.031;0.033;0.033;0.033;0.033;0.033;0.031;0.031
transcript28_ENSHGLG00000019563;0.992;0.992;0.992;0.992;0.992;0.023;0.992;0.015;0.023;1.0;0.991;0.991;0.986;0.986;0.986;0.986;0.986;0.992;0.992;0.992;0.992;0.992;0.992;0.992;0.992
transcript7_ENSHGLG00100006079;1.0;1.0;1.0;1.0;1.0;0.037;1.0;0.028;0.037;0.991;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript10_ENSHGLG00100006079;1.0;1.0;1.0;1.0;1.0;0.037;1.0;0.028;0.037;0.991;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript3_ENSPCIG00000036398;1.0;1.0;1.0;1.0;1.0;0.055;1.0;0.041;0.055;0.986;1.0;1.0;1.0;0.912;0.912;0.988;0.912;1.0;0.915;0.986;0.986;0.986;0.986;1.0;0.912
transcript7_ENSPCIG00000036398;1.0;1.0;1.0;1.0;1.0;0.055;1.0;0.041;0.055;0.986;1.0;1.0;0.912;1.0;1.0;0.924;1.0;0.911;1.0;0.929;0.929;0.929;0.929;0.912;1.0
transcript8_ENSPCIG00000036398;1.0;1.0;1.0;1.0;1.0;0.055;1.0;0.041;0.055;0.986;1.0;1.0;0.912;1.0;1.0;0.924;1.0;0.911;1.0;0.929;0.929;0.929;0.929;0.912;1.0
transcript15_ENSPCIG00000036398;1.0;1.0;1.0;1.0;1.0;0.055;1.0;0.041;0.055;0.986;1.0;1.0;0.988;0.924;0.924;1.0;0.924;0.987;0.929;1.0;0.972;0.972;1.0;0.988;0.924
transcript18_ENSPCIG00000036398;1.0;1.0;1.0;1.0;1.0;0.055;1.0;0.041;0.055;0.986;1.0;1.0;0.912;1.0;1.0;0.924;1.0;0.911;1.0;0.929;0.929;0.929;0.929;0.912;1.0
transcript3_ENSMUNG00000007775;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;0.911;0.911;0.987;0.911;1.0;0.952;0.992;0.992;0.992;0.992;1.0;0.949
transcript8_ENSMUNG00000002377;1.0;1.0;1.0;1.0;1.0;0.033;1.0;0.025;0.033;0.992;1.0;1.0;0.915;1.0;1.0;0.929;1.0;0.952;1.0;0.96;0.96;0.96;0.96;0.952;1.0
transcript15_ENSMUNG00000002377;1.0;1.0;1.0;1.0;1.0;0.033;1.0;0.025;0.033;0.992;1.0;1.0;0.986;0.929;0.929;1.0;0.929;0.992;0.96;1.0;0.984;0.984;1.0;0.992;0.96
transcript16_ENSMUNG00000002377;1.0;1.0;1.0;1.0;1.0;0.033;1.0;0.025;0.033;0.992;1.0;1.0;0.986;0.929;0.929;0.972;0.929;0.992;0.96;0.984;1.0;0.984;0.984;0.992;0.96
transcript22_ENSMUNG00000002377;1.0;1.0;1.0;1.0;1.0;0.033;1.0;0.025;0.033;0.992;1.0;1.0;0.986;0.929;0.929;0.972;0.929;0.992;0.96;0.984;0.984;1.0;0.984;0.992;0.96
transcript23_ENSMUNG00000002377;1.0;1.0;1.0;1.0;1.0;0.033;1.0;0.025;0.033;0.992;1.0;1.0;0.986;0.929;0.929;1.0;0.929;0.992;0.96;1.0;0.984;0.984;1.0;0.992;0.96
transcript3_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;1.0;0.912;0.912;0.988;0.912;1.0;0.952;0.992;0.992;0.992;0.992;1.0;0.949
transcript10_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;1.0;1.0;0.912;1.0;1.0;0.924;1.0;0.949;1.0;0.96;0.96;0.96;0.96;0.949;1.0
