;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;1.0;0.882;0.059;1.0;1.0;0.176;0.647;0.235;1.0;1.0;0.889;0.167;0.278;0.222;0.278;0.111
ENST00000361346_90_90;1.0;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;1.0;0.875;0.188;0.278;0.25;0.278;0.125
ENST00000361776_90_90;0.882;0.895;1.0;0.059;0.895;0.895;0.111;0.647;0.2;0.895;0.875;1.0;0.214;0.312;0.286;0.312;0.143
ENST00000372571_90_90;0.059;0.053;0.059;1.0;0.053;0.053;0.0;0.0;0.0;0.053;0.062;0.071;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;1.0;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;1.0;0.875;0.188;0.278;0.25;0.278;0.125
ENST00000372573_90_90;1.0;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;1.0;0.875;0.188;0.278;0.25;0.278;0.125
ENST00000422278_90_90;0.176;0.158;0.111;0.0;0.158;0.158;1.0;0.167;0.0;0.158;0.188;0.133;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.647;0.579;0.647;0.0;0.579;0.579;0.167;1.0;0.286;0.579;0.625;0.714;0.3;0.417;0.4;0.417;0.2
ENST00000454417_90_90;0.235;0.182;0.2;0.0;0.182;0.182;0.0;0.286;1.0;0.182;0.222;0.25;0.286;0.857;0.429;0.857;0.143
ENST00000545068_90_90;1.0;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;1.0;0.875;0.188;0.278;0.25;0.278;0.125
ENSMUST00000044564_90_90;1.0;1.0;0.875;0.062;1.0;1.0;0.188;0.625;0.222;1.0;1.0;0.895;0.158;0.227;0.211;0.227;0.105
ENSMUST00000106310_90_90;0.889;0.875;1.0;0.071;0.875;0.875;0.133;0.714;0.25;0.875;0.895;1.0;0.176;0.25;0.235;0.25;0.118
ENSMUST00000137560_90_90;0.167;0.188;0.214;0.0;0.188;0.188;0.0;0.3;0.286;0.188;0.158;0.176;1.0;0.375;0.75;0.375;0.667
ENSMUST00000138845_90_90;0.278;0.278;0.312;0.0;0.278;0.278;0.0;0.417;0.857;0.278;0.227;0.25;0.375;1.0;0.5;1.0;0.25
ENSMUST00000160219_90_90;0.222;0.25;0.286;0.0;0.25;0.25;0.0;0.4;0.429;0.25;0.211;0.235;0.75;0.5;1.0;0.5;0.5
ENSMUST00000162267_90_90;0.278;0.278;0.312;0.0;0.278;0.278;0.0;0.417;0.857;0.278;0.227;0.25;0.375;1.0;0.5;1.0;0.25
ENSMUST00000176012_90_90;0.111;0.125;0.143;0.0;0.125;0.125;0.0;0.2;0.143;0.125;0.105;0.118;0.667;0.25;0.5;0.25;1.0
