;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript30_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript29_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.962;0.962;0.989;1.0;0.947;0.947;0.947;0.93;1.0;1.0;1.0;1.0;0.981;1.0
transcript10_ENSMLUG00000027828;0.962;1.0;0.925;0.951;0.951;0.898;0.898;0.898;0.88;0.966;0.966;0.962;0.962;0.943;0.962
transcript16_ENSMLUG00000027828;0.962;0.925;1.0;0.951;0.975;0.923;0.923;0.923;0.905;0.952;0.952;0.962;0.962;0.943;0.962
transcript28_ENSMLUG00000027828;0.989;0.951;0.951;1.0;0.993;0.94;0.94;0.94;0.936;0.986;0.986;0.989;0.989;0.992;0.989
transcript1_ENSSTOG00000019743;1.0;0.951;0.975;0.993;1.0;0.946;0.946;0.946;0.932;1.0;1.0;1.0;1.0;0.986;1.0
transcript9_ENSSTOG00000019743;0.947;0.898;0.923;0.94;0.946;1.0;1.0;1.0;0.986;0.944;0.944;0.946;0.946;0.932;0.946
transcript29_ENSSTOG00000019743;0.947;0.898;0.923;0.94;0.946;1.0;1.0;1.0;0.986;0.944;0.944;0.946;0.946;0.932;0.946
transcript30_ENSSTOG00000019743;0.947;0.898;0.923;0.94;0.946;1.0;1.0;1.0;0.986;0.944;0.944;0.946;0.946;0.932;0.946
transcript31_ENSSTOG00000019743;0.93;0.88;0.905;0.936;0.932;0.986;0.986;0.986;1.0;0.931;0.931;0.932;0.932;0.945;0.932
transcript1_ENSCCNG00000000226;1.0;0.966;0.952;0.986;1.0;0.944;0.944;0.944;0.931;1.0;1.0;1.0;1.0;0.984;1.0
transcript30_ENSCCNG00000000226;1.0;0.966;0.952;0.986;1.0;0.944;0.944;0.944;0.931;1.0;1.0;1.0;1.0;0.984;1.0
transcript29_ENSCPOG00000024843;1.0;0.962;0.962;0.989;1.0;0.946;0.946;0.946;0.932;1.0;1.0;1.0;1.0;0.985;1.0
transcript35_ENSCPOG00000024843;1.0;0.962;0.962;0.989;1.0;0.946;0.946;0.946;0.932;1.0;1.0;1.0;1.0;0.985;1.0
transcript36_ENSCPOG00000024843;0.981;0.943;0.943;0.992;0.986;0.932;0.932;0.932;0.945;0.984;0.984;0.985;0.985;1.0;0.985
transcript37_ENSCPOG00000024843;1.0;0.962;0.962;0.989;1.0;0.946;0.946;0.946;0.932;1.0;1.0;1.0;1.0;0.985;1.0
