;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.923;0.923;1.0;1.0;0.923;0.846;0.846;1.0;0.7;1.0;0.9;0.9;0.7;0.9;1.0
transcript19_ppan;0.923;1.0;0.846;0.917;0.923;0.846;0.917;0.769;0.923;0.6;0.9;0.8;0.8;0.6;0.8;0.923
transcript20_ppan;0.923;0.846;1.0;0.917;0.923;0.846;0.769;0.917;0.923;0.6;0.9;1.0;1.0;0.6;1.0;0.923
transcript12_ptro;1.0;0.917;0.917;1.0;1.0;0.938;0.625;0.875;1.0;0.846;1.0;0.923;0.923;0.846;0.923;1.0
transcript12_hsap;1.0;0.923;0.923;1.0;1.0;0.966;0.621;0.931;1.0;0.619;1.0;0.952;0.952;0.619;0.81;1.0
transcript18_hsap;0.923;0.846;0.846;0.938;0.966;1.0;0.643;0.964;0.966;0.571;0.952;0.905;0.905;0.571;0.762;0.966
transcript19_hsap;0.846;0.917;0.769;0.625;0.621;0.643;1.0;0.607;0.621;0.238;0.619;0.571;0.571;0.238;0.429;0.621
transcript20_hsap;0.846;0.769;0.917;0.875;0.931;0.964;0.607;1.0;0.931;0.524;0.905;0.95;0.95;0.524;0.8;0.931
transcript21_hsap;1.0;0.923;0.923;1.0;1.0;0.966;0.621;0.931;1.0;0.619;1.0;0.952;0.952;0.619;0.81;1.0
transcript11_ggor;0.7;0.6;0.6;0.846;0.619;0.571;0.238;0.524;0.619;1.0;0.583;0.542;0.542;0.933;0.65;0.625
transcript12_ggor;1.0;0.9;0.9;1.0;1.0;0.952;0.619;0.905;1.0;0.583;1.0;0.957;0.957;0.609;0.783;0.958
transcript16_ggor;0.9;0.8;1.0;0.923;0.952;0.905;0.571;0.95;0.952;0.542;0.957;1.0;1.0;0.565;0.818;0.917
transcript17_ggor;0.9;0.8;1.0;0.923;0.952;0.905;0.571;0.95;0.952;0.542;0.957;1.0;1.0;0.565;0.818;0.917
transcript18_ggor;0.7;0.6;0.6;0.846;0.619;0.571;0.238;0.524;0.619;0.933;0.609;0.565;0.565;1.0;0.684;0.583
transcript19_ggor;0.9;0.8;1.0;0.923;0.81;0.762;0.429;0.8;0.81;0.65;0.783;0.818;0.818;0.684;1.0;0.75
transcript8_pabe;1.0;0.923;0.923;1.0;1.0;0.966;0.621;0.931;1.0;0.625;0.958;0.917;0.917;0.583;0.75;1.0
