;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;;;0.75;0.714;0.217;0.648;0.679;0.679;0.718;0.657
ENSCAFT00000004373_90_90;;;0.847;0.665;0.169;0.604;0.632;0.632;0.81;0.604
ENST00000333896_90_90;0.75;0.847;;;;;0.649;0.649;0.962;0.63
ENST00000356805_90_90;0.714;0.665;;;;;0.955;0.955;0.649;0.76
ENST00000389980_90_90;0.217;0.169;;;;;0.296;0.296;0.181;0.38
ENST00000615901_90_90;0.648;0.604;;;;;0.845;0.845;0.596;0.672
ENSMUST00000006629_90_90;0.679;0.632;0.649;0.955;0.296;0.845;;;;
ENSMUST00000011877_90_90;0.679;0.632;0.649;0.955;0.296;0.845;;;;
ENSMUST00000102838_90_90;0.718;0.81;0.962;0.649;0.181;0.596;;;;
ENSMUST00000124231_90_90;0.657;0.604;0.63;0.76;0.38;0.672;;;;
