;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.794;0.734;0.749;0.781;0.801;0.204;0.986;0.778;0.05;0.377;0.066;0.758;0.758;0.742;0.758;0.0;0.742;0.281;0.387;0.146;0.41;0.742;0.772;0.788;0.729;0.749;0.195;0.749;0.757;0.773;0.773;0.757;0.757;0.773;0.0;0.985;0.772
ENSCAFT00000018571_90_90;0.794;1.0;0.839;0.9;0.862;0.991;0.474;0.593;0.951;0.128;0.367;0.0;0.889;0.815;0.875;0.861;0.0;0.799;0.215;0.404;0.162;0.433;0.801;0.744;0.913;0.974;0.99;0.479;0.981;0.809;0.871;0.825;0.857;0.707;0.901;0.0;0.597;0.95
ENSCAFT00000021391_90_90;0.734;0.839;1.0;0.782;0.809;0.814;0.409;0.601;0.85;0.103;0.486;0.0;0.903;0.899;0.849;0.942;0.088;0.842;0.246;0.293;0.129;0.312;0.833;0.695;0.867;0.812;0.832;0.412;0.82;0.865;0.966;0.922;0.909;0.79;0.925;0.081;0.616;0.845
ENSCAFT00000021394_90_90;0.749;0.9;0.782;1.0;0.872;0.845;0.398;0.603;0.883;0.069;0.454;0.0;0.899;0.816;0.825;0.857;0.0;0.741;0.254;0.342;0.136;0.362;0.748;0.726;0.926;0.828;0.848;0.405;0.835;0.73;0.847;0.806;0.772;0.66;0.888;0.0;0.619;0.88
ENSCAFT00000021397_90_90;0.781;0.862;0.809;0.872;1.0;0.808;0.359;0.668;0.863;0.112;0.52;0.0;0.833;0.909;0.778;0.869;0.0;0.849;0.273;0.365;0.144;0.388;0.857;0.839;0.942;0.79;0.81;0.366;0.819;0.837;0.857;0.897;0.8;0.758;0.822;0.0;0.686;0.859
ENST00000227348_90_90;0.801;0.991;0.814;0.845;0.808;1.0;0.448;0.602;0.911;0.128;0.347;0.0;0.859;0.787;0.845;0.832;0.0;0.773;0.224;0.407;0.162;0.433;0.773;0.708;0.857;0.982;1.0;0.451;0.99;0.782;0.842;0.796;0.828;0.692;0.869;0.0;0.606;0.91
ENST00000533709_90_90;0.204;0.474;0.409;0.398;0.359;0.448;1.0;0.145;0.414;0.281;0.233;0.0;0.431;0.358;0.417;0.403;0.0;0.343;0.0;0.0;0.0;0.0;0.343;0.253;0.405;0.434;0.451;1.0;0.442;0.343;0.403;0.358;0.389;0.252;0.431;0.0;0.148;0.412
ENST00000252483_90_90;0.986;0.593;0.601;0.603;0.668;0.602;0.145;1.0;0.569;0.047;0.358;0.066;0.609;0.647;0.635;0.617;0.0;0.677;0.286;0.388;0.148;0.418;0.678;0.739;0.641;0.547;0.564;0.138;0.571;0.69;0.627;0.658;0.655;0.725;0.619;0.0;1.0;0.576
ENST00000252485_90_90;0.778;0.951;0.85;0.883;0.863;0.911;0.414;0.569;1.0;0.096;0.392;0.0;0.872;0.818;0.836;0.859;0.0;0.782;0.261;0.355;0.144;0.387;0.783;0.767;0.898;0.895;0.913;0.42;0.902;0.79;0.869;0.827;0.834;0.741;0.882;0.0;0.576;1.0
ENST00000585601_90_90;0.05;0.128;0.103;0.069;0.112;0.128;0.281;0.047;0.096;1.0;0.107;0.0;0.102;0.107;0.105;0.103;0.0;0.112;0.0;0.0;0.0;0.0;0.112;0.079;0.107;0.132;0.129;0.281;0.13;0.112;0.103;0.107;0.106;0.076;0.102;0.0;0.05;0.094
ENST00000591581_90_90;0.377;0.367;0.486;0.454;0.52;0.347;0.233;0.358;0.392;0.107;1.0;0.0;0.475;0.504;0.494;0.481;0.0;0.526;0.56;0.154;0.31;0.192;0.528;0.577;0.496;0.334;0.352;0.234;0.356;0.526;0.481;0.504;0.501;0.559;0.475;0.0;0.376;0.412
ENST00000592018_90_90;0.066;0.0;0.0;0.0;0.0;0.0;0.0;0.066;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.068;0.0
ENST00000331581_90_90;0.758;0.889;0.903;0.899;0.833;0.859;0.431;0.609;0.872;0.102;0.475;0.0;1.0;0.917;0.925;0.958;0.069;0.843;0.229;0.297;0.121;0.321;0.833;0.674;0.877;0.847;0.866;0.442;0.854;0.841;0.958;0.915;0.883;0.754;1.0;0.072;0.625;0.869
