;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.83;0.981;0.868;0.849;0.963;0.926;0.907;1.0;0.981;0.981
transcript9_MGP-PahariEiJ-G0020237;0.83;1.0;0.815;0.957;0.978;0.796;0.759;0.741;0.83;0.815;0.815
transcript37_MGP-PahariEiJ-G0020237;0.981;0.815;1.0;0.852;0.833;0.981;0.944;0.926;0.981;1.0;1.0
transcript39_MGP-PahariEiJ-G0020237;0.868;0.957;0.852;1.0;0.978;0.833;0.796;0.778;0.868;0.852;0.852
transcript49_MGP-PahariEiJ-G0020237;0.849;0.978;0.833;0.978;1.0;0.815;0.778;0.759;0.849;0.833;0.833
transcript50_MGP-PahariEiJ-G0020237;0.963;0.796;0.981;0.833;0.815;1.0;0.926;0.907;0.963;0.981;0.981
transcript51_MGP-PahariEiJ-G0020237;0.926;0.759;0.944;0.796;0.778;0.926;1.0;0.98;0.926;0.944;0.944
transcript52_MGP-PahariEiJ-G0020237;0.907;0.741;0.926;0.778;0.759;0.907;0.98;1.0;0.907;0.926;0.926
transcript36_ENSRNOG00000031503;1.0;0.83;0.981;0.868;0.849;0.963;0.926;0.907;1.0;0.989;0.989
transcript37_ENSRNOG00000031503;0.981;0.815;1.0;0.852;0.833;0.981;0.944;0.926;0.989;1.0;1.0
transcript44_ENSRNOG00000031503;0.981;0.815;1.0;0.852;0.833;0.981;0.944;0.926;0.989;1.0;1.0
