;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.75;0.793;0.885;0.148;0.556;0.0;0.167;0.762;0.87;0.857;0.273;0.55
ENSCAFT00000042737_90_90;0.75;1.0;0.963;0.852;0.067;0.483;0.0;0.241;0.81;0.913;0.905;0.261;0.524
ENST00000373836_90_90;0.793;0.963;1.0;0.758;0.026;0.351;0.0;0.257;0.652;0.913;0.739;0.348;0.435
ENST00000373839_90_90;0.885;0.852;0.758;1.0;0.091;0.484;0.067;0.081;0.842;0.708;0.947;0.167;0.579
ENST00000493669_90_90;0.148;0.067;0.026;0.091;1.0;0.333;0.167;0.294;0.105;0.125;0.095;0.273;0.143
ENST00000632202_90_90;0.556;0.483;0.351;0.484;0.333;1.0;0.091;0.28;0.45;0.458;0.55;0.294;0.6
ENST00000632421_90_90;0.0;0.0;0.0;0.067;0.167;0.091;1.0;0.0;0.118;0.0;0.105;0.0;0.167
ENST00000633167_90_90;0.167;0.241;0.257;0.081;0.294;0.28;0.0;1.0;0.087;0.348;0.125;0.636;0.111
ENSMUST00000084170_90_90;0.762;0.81;0.652;0.842;0.105;0.45;0.118;0.087;1.0;0.643;0.909;0.154;0.65
ENSMUST00000084249_90_90;0.87;0.913;0.913;0.708;0.125;0.458;0.0;0.348;0.643;1.0;0.714;0.385;0.393
ENSMUST00000102568_90_90;0.857;0.905;0.739;0.947;0.095;0.55;0.105;0.125;0.909;0.714;1.0;0.143;0.591
ENSMUST00000136711_90_90;0.273;0.261;0.348;0.167;0.273;0.294;0.0;0.636;0.154;0.385;0.143;1.0;0.211
ENSMUST00000152271_90_90;0.55;0.524;0.435;0.579;0.143;0.6;0.167;0.111;0.65;0.393;0.591;0.211;1.0
