;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.93;0.858;0.859;0.784;0.709;0.929;0.918;0.92;0.93;0.931;0.867;0.703;0.932;0.857
ENST00000248933_90_90;0.93;1.0;0.926;0.927;0.777;0.703;0.999;0.987;0.989;0.88;0.881;0.819;0.697;0.882;0.809
ENST00000343706_90_90;0.858;0.926;1.0;0.873;0.703;0.759;0.925;0.934;0.936;0.808;0.809;0.861;0.623;0.81;0.872
ENST00000360929_90_90;0.859;0.927;0.873;1.0;0.704;0.648;0.926;0.935;0.937;0.809;0.81;0.748;0.732;0.811;0.756
ENST00000402979_90_90;0.784;0.777;0.703;0.704;1.0;0.905;0.778;0.766;0.767;0.82;0.821;0.753;0.897;0.82;0.742
ENST00000403121_90_90;0.709;0.703;0.759;0.648;0.905;1.0;0.704;0.71;0.711;0.741;0.742;0.795;0.801;0.741;0.806
ENST00000404234_90_90;0.929;0.999;0.925;0.926;0.778;0.704;1.0;0.988;0.988;0.881;0.882;0.819;0.698;0.881;0.81
ENST00000529632_90_90;0.918;0.987;0.934;0.935;0.766;0.71;0.988;1.0;0.998;0.871;0.87;0.81;0.686;0.87;0.817
ENST00000629590_90_90;0.92;0.989;0.936;0.937;0.767;0.711;0.988;0.998;1.0;0.87;0.871;0.808;0.686;0.872;0.818
ENSMUST00000075387_90_90;0.93;0.88;0.808;0.809;0.82;0.741;0.881;0.871;0.87;1.0;0.999;0.932;0.74;0.998;0.92
ENSMUST00000079491_90_90;0.931;0.881;0.809;0.81;0.821;0.742;0.882;0.87;0.871;0.999;1.0;0.931;0.741;0.999;0.921
ENSMUST00000197425_90_90;0.867;0.819;0.861;0.748;0.753;0.795;0.819;0.81;0.808;0.932;0.931;1.0;0.673;0.93;0.987
ENSMUST00000200575_90_90;0.703;0.697;0.623;0.732;0.897;0.801;0.698;0.686;0.686;0.74;0.741;0.673;1.0;0.74;0.662
ENSMUST00000212480_90_90;0.932;0.882;0.81;0.811;0.82;0.741;0.881;0.87;0.872;0.998;0.999;0.93;0.74;1.0;0.92
ENSMUST00000212758_90_90;0.857;0.809;0.872;0.756;0.742;0.806;0.81;0.817;0.818;0.92;0.921;0.987;0.662;0.92;1.0
