;ENSCAFT00000031829_90_90;ENST00000327812_90_90;ENST00000372546_90_90;ENST00000406974_90_90;ENST00000412363_90_90;ENSMUST00000028209_90_90;ENSMUST00000113612_90_90;ENSMUST00000123202_90_90;ENSMUST00000137248_90_90;ENSMUST00000155196_90_90
ENSCAFT00000031829_90_90;1.0;0.38;1.0;0.819;0.371;0.997;0.817;0.588;0.378;0.369
ENST00000327812_90_90;0.38;1.0;0.38;0.463;0.978;0.378;0.461;0.102;0.993;0.971
ENST00000372546_90_90;1.0;0.38;1.0;0.819;0.371;0.997;0.817;0.588;0.378;0.369
ENST00000406974_90_90;0.819;0.463;0.819;1.0;0.453;0.817;0.997;0.408;0.461;0.451
ENST00000412363_90_90;0.371;0.978;0.371;0.453;1.0;0.369;0.451;0.103;0.971;0.992
ENSMUST00000028209_90_90;0.997;0.378;0.997;0.817;0.369;1.0;0.819;0.588;0.38;0.371
ENSMUST00000113612_90_90;0.817;0.461;0.817;0.997;0.451;0.819;1.0;0.408;0.463;0.453
ENSMUST00000123202_90_90;0.588;0.102;0.588;0.408;0.103;0.588;0.408;1.0;0.102;0.103
ENSMUST00000137248_90_90;0.378;0.993;0.378;0.461;0.971;0.38;0.463;0.102;1.0;0.978
ENSMUST00000155196_90_90;0.369;0.971;0.369;0.451;0.992;0.371;0.453;0.103;0.978;1.0
