;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.748;0.793;0.793;0.82;0.671;0.82;0.793;0.168;0.53;0.583;0.06;0.744;0.04;0.156;0.642;0.824;0.797;0.775;0.824;0.797;0.254;0.032
ENSCAFT00000043222_90_90;0.748;1.0;0.795;0.795;0.823;0.716;0.823;0.795;0.146;0.52;0.576;0.03;0.806;0.043;0.151;0.638;0.827;0.799;0.776;0.827;0.799;0.232;0.0
ENST00000164247_90_90;0.793;0.795;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.957;0.995;0.956;0.957;0.995;0.364;0.104
ENST00000341524_90_90;0.793;0.795;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.957;0.995;0.956;0.957;0.995;0.364;0.104
ENST00000352527_90_90;0.82;0.823;0.962;0.962;1.0;0.743;1.0;0.962;0.219;0.653;0.719;0.103;0.85;0.043;0.18;0.764;0.994;0.957;0.919;0.994;0.957;0.326;0.07
ENST00000378083_90_90;0.671;0.716;0.72;0.72;0.743;1.0;0.743;0.72;0.133;0.471;0.518;0.026;0.723;0.038;0.136;0.583;0.739;0.716;0.749;0.739;0.716;0.207;0.0
ENST00000378092_90_90;0.82;0.823;0.962;0.962;1.0;0.743;1.0;0.962;0.219;0.653;0.719;0.103;0.85;0.043;0.18;0.764;0.994;0.957;0.919;0.994;0.957;0.326;0.07
ENST00000378097_90_90;0.793;0.795;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.957;0.995;0.956;0.957;0.995;0.364;0.104
ENST00000378111_90_90;0.168;0.146;0.252;0.252;0.219;0.133;0.219;0.252;1.0;0.342;0.285;0.299;0.097;0.071;0.381;0.237;0.219;0.252;0.243;0.219;0.252;0.548;0.22
ENST00000389632_90_90;0.53;0.52;0.691;0.691;0.653;0.471;0.653;0.691;0.342;1.0;0.893;0.204;0.509;0.055;0.286;0.642;0.652;0.69;0.663;0.652;0.69;0.526;0.15
ENST00000428161_90_90;0.583;0.576;0.691;0.691;0.719;0.518;0.719;0.691;0.285;0.893;1.0;0.14;0.569;0.055;0.232;0.642;0.719;0.691;0.664;0.719;0.691;0.445;0.096
ENST00000445501_90_90;0.06;0.03;0.141;0.141;0.103;0.026;0.103;0.141;0.299;0.204;0.14;1.0;0.0;0.0;0.199;0.131;0.103;0.141;0.135;0.103;0.141;0.386;0.735
ENST00000458166_90_90;0.744;0.806;0.817;0.817;0.85;0.723;0.85;0.817;0.097;0.509;0.569;0.0;1.0;0.049;0.099;0.639;0.845;0.812;0.781;0.845;0.812;0.181;0.0
ENST00000462676_90_90;0.04;0.043;0.042;0.042;0.043;0.038;0.043;0.042;0.071;0.055;0.055;0.0;0.049;1.0;0.153;0.04;0.044;0.043;0.041;0.044;0.043;0.085;0.0
ENST00000472700_90_90;0.156;0.151;0.212;0.212;0.18;0.136;0.18;0.212;0.381;0.286;0.232;0.199;0.099;0.153;1.0;0.199;0.18;0.213;0.205;0.18;0.213;0.456;0.122
ENST00000602612_90_90;0.642;0.638;0.797;0.797;0.764;0.583;0.764;0.797;0.237;0.642;0.642;0.131;0.639;0.04;0.199;1.0;0.763;0.796;0.769;0.763;0.796;0.338;0.096
ENSMUST00000030768_90_90;0.824;0.827;0.957;0.957;0.994;0.739;0.994;0.957;0.219;0.652;0.719;0.103;0.845;0.044;0.18;0.763;1.0;0.962;0.924;1.0;0.962;0.327;0.07
ENSMUST00000105648_90_90;0.797;0.799;0.995;0.995;0.957;0.716;0.957;0.995;0.252;0.69;0.691;0.141;0.812;0.043;0.213;0.796;0.962;1.0;0.961;0.962;1.0;0.365;0.104
ENSMUST00000159186_90_90;0.775;0.776;0.956;0.956;0.919;0.749;0.919;0.956;0.243;0.663;0.664;0.135;0.781;0.041;0.205;0.769;0.924;0.961;1.0;0.924;0.961;0.351;0.099
ENSMUST00000159840_90_90;0.824;0.827;0.957;0.957;0.994;0.739;0.994;0.957;0.219;0.652;0.719;0.103;0.845;0.044;0.18;0.763;1.0;0.962;0.924;1.0;0.962;0.327;0.07
ENSMUST00000160884_90_90;0.797;0.799;0.995;0.995;0.957;0.716;0.957;0.995;0.252;0.69;0.691;0.141;0.812;0.043;0.213;0.796;0.962;1.0;0.961;0.962;1.0;0.365;0.104
ENSMUST00000161236_90_90;0.254;0.232;0.364;0.364;0.326;0.207;0.326;0.364;0.548;0.526;0.445;0.386;0.181;0.085;0.456;0.338;0.327;0.365;0.351;0.327;0.365;1.0;0.284
ENSMUST00000162017_90_90;0.032;0.0;0.104;0.104;0.07;0.0;0.07;0.104;0.22;0.15;0.096;0.735;0.0;0.0;0.122;0.096;0.07;0.104;0.099;0.07;0.104;0.284;1.0
