;transcript39_ENSRNOG00000031503;transcript7_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript39_MGP-PahariEiJ-G0020237;transcript38_ENSMUSG00000054036;transcript50_ENSRNOG00000031503;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript63_MGP-SPRETEiJ-G0021131;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript8_ENSRNOG00000031503
transcript39_ENSRNOG00000031503;1.0;0.738;0.46;0.88;0.98;0.981;0.471;0.902;0.833;0.977;0.595;0.452;0.667;0.5;0.585;0.971;0.934;0.967;0.918;0.967;0.951;0.951;0.661
transcript7_ENSMSIG00000000513;0.738;1.0;0.638;0.857;0.778;0.796;0.404;0.795;0.761;0.915;0.389;0.438;0.69;0.87;0.612;0.621;0.849;0.818;0.865;0.818;0.738;0.738;0.714
transcript58_ENSMUSG00000054036;0.46;0.638;1.0;0.557;0.507;0.508;0.422;0.4;0.455;0.561;0.4;0.462;0.586;0.739;0.971;0.425;0.463;0.493;0.47;0.493;0.431;0.431;0.395
transcript54_ENSMUSG00000054036;0.88;0.857;0.557;1.0;0.91;0.898;0.358;0.82;0.855;0.947;0.426;0.449;0.537;0.583;0.723;0.85;0.851;0.881;0.864;0.881;0.843;0.843;0.841
transcript55_ENSMUSG00000054036;0.98;0.778;0.507;0.91;1.0;1.0;0.406;0.882;0.873;0.965;0.519;0.407;0.643;0.5;0.654;1.0;0.94;0.97;0.925;0.97;0.941;0.941;0.755
transcript39_MGP-PahariEiJ-G0020237;0.981;0.796;0.508;0.898;1.0;1.0;0.441;0.926;0.868;1.0;0.551;0.429;0.667;0.513;0.633;1.0;0.973;1.0;0.959;1.0;0.981;0.981;0.648
transcript38_ENSMUSG00000054036;0.471;0.404;0.422;0.358;0.406;0.441;1.0;0.412;0.263;0.421;0.967;0.828;0.966;0.821;0.432;0.619;0.403;0.433;0.388;0.433;0.471;0.471;0.24
transcript50_ENSRNOG00000031503;0.902;0.795;0.4;0.82;0.882;0.926;0.412;1.0;0.829;0.93;0.524;0.415;0.583;0.457;0.512;0.833;0.966;0.934;0.983;0.934;0.95;0.95;0.655
transcript8_MGP-CAROLIEiJ-G0020234;0.833;0.761;0.455;0.855;0.873;0.868;0.263;0.829;1.0;0.85;0.319;0.319;0.389;0.389;0.578;0.794;0.847;0.85;0.847;0.85;0.833;0.833;1.0
transcript47_MGP-CAROLIEiJ-G0020234;0.977;0.915;0.561;0.947;0.965;1.0;0.421;0.93;0.85;1.0;0.511;0.511;0.639;0.639;0.702;0.944;0.967;1.0;0.967;1.0;0.977;0.977;0.814
transcript38_ENSMSIG00000000513;0.595;0.389;0.4;0.426;0.519;0.551;0.967;0.524;0.319;0.511;1.0;0.8;1.0;0.793;0.422;0.931;0.509;0.545;0.491;0.545;0.595;0.595;0.286
transcript52_ENSMSIG00000000513;0.452;0.438;0.462;0.449;0.407;0.429;0.828;0.415;0.319;0.511;0.8;1.0;0.793;1.0;0.487;0.724;0.4;0.436;0.407;0.436;0.452;0.452;0.333
transcript38_MGP-SPRETEiJ-G0021131;0.667;0.69;0.586;0.537;0.643;0.667;0.966;0.583;0.389;0.639;1.0;0.793;1.0;0.793;0.621;0.614;0.614;0.659;0.591;0.659;0.667;0.667;0.306
transcript52_MGP-SPRETEiJ-G0021131;0.5;0.87;0.739;0.583;0.5;0.513;0.821;0.457;0.389;0.639;0.793;1.0;0.793;1.0;0.783;0.477;0.477;0.523;0.488;0.523;0.5;0.5;0.367
transcript58_ENSMSIG00000000513;0.585;0.612;0.971;0.723;0.654;0.633;0.432;0.512;0.578;0.702;0.422;0.487;0.621;0.783;1.0;0.667;0.582;0.618;0.593;0.618;0.548;0.548;0.529
transcript63_MGP-SPRETEiJ-G0021131;0.971;0.621;0.425;0.85;1.0;1.0;0.619;0.833;0.794;0.944;0.931;0.724;0.614;0.477;0.667;1.0;0.909;0.955;0.886;0.955;0.917;0.917;0.647
transcript12_ENSMUGG00000013649;0.934;0.849;0.463;0.851;0.94;0.973;0.403;0.966;0.847;0.967;0.509;0.4;0.614;0.477;0.582;0.909;1.0;0.976;0.988;0.976;0.951;0.951;0.633
transcript32_ENSMUGG00000013649;0.967;0.818;0.493;0.881;0.97;1.0;0.433;0.934;0.85;1.0;0.545;0.436;0.659;0.523;0.618;0.955;0.976;1.0;0.964;1.0;0.984;0.984;0.639
transcript50_ENSMUGG00000013649;0.918;0.865;0.47;0.864;0.925;0.959;0.388;0.983;0.847;0.967;0.491;0.407;0.591;0.488;0.593;0.886;0.988;0.964;1.0;0.964;0.934;0.934;0.644
transcript32_ENSMUGG00000013592;0.967;0.818;0.493;0.881;0.97;1.0;0.433;0.934;0.85;1.0;0.545;0.436;0.659;0.523;0.618;0.955;0.976;1.0;0.964;1.0;0.984;0.984;0.639
transcript31_ENSRNOG00000031503;0.951;0.738;0.431;0.843;0.941;0.981;0.471;0.95;0.833;0.977;0.595;0.452;0.667;0.5;0.548;0.917;0.951;0.984;0.934;0.984;1.0;1.0;0.65
transcript32_ENSRNOG00000031503;0.951;0.738;0.431;0.843;0.941;0.981;0.471;0.95;0.833;0.977;0.595;0.452;0.667;0.5;0.548;0.917;0.951;0.984;0.934;0.984;1.0;1.0;0.65
transcript8_ENSRNOG00000031503;0.661;0.714;0.395;0.841;0.755;0.648;0.24;0.655;1.0;0.814;0.286;0.333;0.306;0.367;0.529;0.647;0.633;0.639;0.644;0.639;0.65;0.65;1.0
