;transcript30_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript29_ENSCPOG00000024843;transcript1_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828
transcript30_ENSSTOG00000019743;1.0;0.858;0.824;0.854;0.855;0.869;0.869;0.903;0.963;1.0;0.982;0.824;0.735;0.735;0.733
transcript9_ENSSTOG00000019743;0.858;1.0;0.706;0.731;0.731;0.745;0.745;0.774;0.826;0.858;0.84;0.707;0.845;0.845;0.842
transcript1_ENSCCNG00000000226;0.824;0.706;1.0;0.963;0.895;0.91;0.91;0.88;0.853;0.824;0.81;0.859;0.709;0.709;0.705
transcript30_ENSCCNG00000000226;0.854;0.731;0.963;1.0;0.861;0.877;0.877;0.911;0.824;0.854;0.839;0.835;0.734;0.734;0.73
transcript36_ENSCPOG00000024843;0.855;0.731;0.895;0.861;1.0;0.983;0.983;0.945;0.889;0.855;0.869;0.889;0.731;0.731;0.734
transcript37_ENSCPOG00000024843;0.869;0.745;0.91;0.877;0.983;1.0;1.0;0.963;0.902;0.869;0.854;0.906;0.748;0.748;0.744
transcript35_ENSCPOG00000024843;0.869;0.745;0.91;0.877;0.983;1.0;1.0;0.963;0.902;0.869;0.854;0.906;0.748;0.748;0.744
transcript29_ENSCPOG00000024843;0.903;0.774;0.88;0.911;0.945;0.963;0.963;1.0;0.872;0.903;0.887;0.882;0.777;0.777;0.773
transcript1_ENSSTOG00000019743;0.963;0.826;0.853;0.824;0.889;0.902;0.902;0.872;1.0;0.963;0.946;0.846;0.71;0.71;0.707
transcript29_ENSSTOG00000019743;1.0;0.858;0.824;0.854;0.855;0.869;0.869;0.903;0.963;1.0;0.982;0.824;0.735;0.735;0.733
transcript31_ENSSTOG00000019743;0.982;0.84;0.81;0.839;0.869;0.854;0.854;0.887;0.946;0.982;1.0;0.808;0.719;0.719;0.722
transcript1_ENSMLUG00000027828;0.824;0.707;0.859;0.835;0.889;0.906;0.906;0.882;0.846;0.824;0.808;1.0;0.826;0.826;0.822
transcript10_ENSMLUG00000027828;0.735;0.845;0.709;0.734;0.731;0.748;0.748;0.777;0.71;0.735;0.719;0.826;1.0;1.0;0.995
transcript16_ENSMLUG00000027828;0.735;0.845;0.709;0.734;0.731;0.748;0.748;0.777;0.71;0.735;0.719;0.826;1.0;1.0;0.995
transcript28_ENSMLUG00000027828;0.733;0.842;0.705;0.73;0.734;0.744;0.744;0.773;0.707;0.733;0.722;0.822;0.995;0.995;1.0
