;ENSCAFT00000007417_90_90;ENST00000283628_90_90;ENST00000283629_90_90;ENST00000411650_90_90;ENST00000447368_90_90;ENST00000456378_90_90;ENSMUST00000009885_90_90;ENSMUST00000084885_90_90;ENSMUST00000116492_90_90;ENSMUST00000214095_90_90;ENSMUST00000216558_90_90
ENSCAFT00000007417_90_90;1.0;0.849;0.849;0.288;0.765;0.2;0.855;0.944;0.855;0.855;0.944
ENST00000283628_90_90;0.849;1.0;1.0;0.212;0.911;0.193;0.816;0.899;0.816;0.816;0.899
ENST00000283629_90_90;0.849;1.0;1.0;0.212;0.911;0.193;0.816;0.899;0.816;0.816;0.899
ENST00000411650_90_90;0.288;0.212;0.212;1.0;0.23;0.0;0.296;0.272;0.296;0.296;0.272
ENST00000447368_90_90;0.765;0.911;0.911;0.23;1.0;0.209;0.889;0.816;0.889;0.889;0.816
ENST00000456378_90_90;0.2;0.193;0.193;0.0;0.209;1.0;0.209;0.193;0.209;0.209;0.193
ENSMUST00000009885_90_90;0.855;0.816;0.816;0.296;0.889;0.209;1.0;0.911;1.0;1.0;0.911
ENSMUST00000084885_90_90;0.944;0.899;0.899;0.272;0.816;0.193;0.911;1.0;0.911;0.911;1.0
ENSMUST00000116492_90_90;0.855;0.816;0.816;0.296;0.889;0.209;1.0;0.911;1.0;1.0;0.911
ENSMUST00000214095_90_90;0.855;0.816;0.816;0.296;0.889;0.209;1.0;0.911;1.0;1.0;0.911
ENSMUST00000216558_90_90;0.944;0.899;0.899;0.272;0.816;0.193;0.911;1.0;0.911;0.911;1.0
