;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.795;0.986;0.239;0.227;0.839;0.596;0.648;0.591;0.839;0.706;0.263;0.643;0.318
ENST00000331224_90_90;0.795;1.0;0.809;0.313;0.243;0.607;0.68;0.741;0.674;0.607;0.695;0.28;0.735;0.296
ENST00000341267_90_90;0.986;0.809;1.0;0.253;0.202;0.788;0.557;0.607;0.552;0.788;0.661;0.232;0.602;0.318
ENST00000392848_90_90;0.239;0.313;0.253;1.0;0.6;0.079;0.103;0.097;0.104;0.079;0.091;0.044;0.097;0.0
ENST00000556051_90_90;0.227;0.243;0.202;0.6;1.0;0.081;0.103;0.097;0.104;0.081;0.092;0.123;0.098;0.0
ENSMUST00000056110_90_90;0.839;0.607;0.788;0.079;0.081;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109841_90_90;0.596;0.68;0.557;0.103;0.103;0.758;1.0;0.936;0.993;0.758;0.874;0.524;0.929;0.247
ENSMUST00000109842_90_90;0.648;0.741;0.607;0.097;0.097;0.81;0.936;1.0;0.929;0.81;0.934;0.493;0.994;0.295
ENSMUST00000109843_90_90;0.591;0.674;0.552;0.104;0.104;0.753;0.993;0.929;1.0;0.753;0.868;0.528;0.935;0.241
ENSMUST00000109844_90_90;0.839;0.607;0.788;0.079;0.081;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109846_90_90;0.706;0.695;0.661;0.091;0.092;0.868;0.874;0.934;0.868;0.868;1.0;0.462;0.928;0.36
ENSMUST00000124293_90_90;0.263;0.28;0.232;0.044;0.123;0.404;0.524;0.493;0.528;0.404;0.462;1.0;0.496;0.0
ENSMUST00000173539_90_90;0.643;0.735;0.602;0.097;0.098;0.805;0.929;0.994;0.935;0.805;0.928;0.496;1.0;0.289
ENSMUST00000173812_90_90;0.318;0.296;0.318;0.0;0.0;0.316;0.247;0.295;0.241;0.316;0.36;0.0;0.289;1.0
