;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.739;0.652;0.05;0.739;0.739;0.15;0.524;0.174;0.739;0.818;0.727;0.15;0.217;0.2;0.217;0.1
ENST00000361346_90_90;0.739;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;0.6;0.52;0.15;0.217;0.2;0.217;0.1
ENST00000361776_90_90;0.652;0.9;1.0;0.056;0.9;0.9;0.105;0.667;0.19;0.9;0.52;0.565;0.167;0.238;0.222;0.238;0.111
ENST00000372571_90_90;0.05;0.05;0.056;1.0;0.05;0.05;0.0;0.0;0.0;0.05;0.05;0.056;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.739;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;0.6;0.52;0.15;0.217;0.2;0.217;0.1
ENST00000372573_90_90;0.739;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;0.6;0.52;0.15;0.217;0.2;0.217;0.1
ENST00000422278_90_90;0.15;0.15;0.105;0.0;0.15;0.15;1.0;0.154;0.0;0.15;0.15;0.105;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.524;0.6;0.667;0.0;0.6;0.6;0.154;1.0;0.267;0.6;0.391;0.429;0.25;0.333;0.333;0.333;0.167
ENST00000454417_90_90;0.174;0.174;0.19;0.0;0.174;0.174;0.0;0.267;1.0;0.174;0.174;0.19;0.25;0.667;0.375;0.667;0.125
ENST00000545068_90_90;0.739;1.0;0.9;0.05;1.0;1.0;0.15;0.6;0.174;1.0;0.6;0.52;0.15;0.217;0.2;0.217;0.1
ENSMUST00000044564_90_90;0.818;0.6;0.52;0.05;0.6;0.6;0.15;0.391;0.174;0.6;1.0;0.9;0.15;0.217;0.2;0.217;0.1
ENSMUST00000106310_90_90;0.727;0.52;0.565;0.056;0.52;0.52;0.105;0.429;0.19;0.52;0.9;1.0;0.167;0.238;0.222;0.238;0.111
ENSMUST00000137560_90_90;0.15;0.15;0.167;0.0;0.15;0.15;0.0;0.25;0.25;0.15;0.15;0.167;1.0;0.375;0.75;0.375;0.667
ENSMUST00000138845_90_90;0.217;0.217;0.238;0.0;0.217;0.217;0.0;0.333;0.667;0.217;0.217;0.238;0.375;1.0;0.5;1.0;0.25
ENSMUST00000160219_90_90;0.2;0.2;0.222;0.0;0.2;0.2;0.0;0.333;0.375;0.2;0.2;0.222;0.75;0.5;1.0;0.5;0.5
ENSMUST00000162267_90_90;0.217;0.217;0.238;0.0;0.217;0.217;0.0;0.333;0.667;0.217;0.217;0.238;0.375;1.0;0.5;1.0;0.25
ENSMUST00000176012_90_90;0.1;0.1;0.111;0.0;0.1;0.1;0.0;0.167;0.125;0.1;0.1;0.111;0.667;0.25;0.5;0.25;1.0
