;transcript9_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript38_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript9_ENSMUNG00000002377;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript10_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;1.0;1.0;0.953;0.621;0.531;0.618;0.632;0.984;0.969;0.953;0.531;0.953;0.676;0.697;0.636;0.692;0.939;0.531;0.884;0.969
transcript31_ENSMUNG00000007775;1.0;1.0;1.0;0.953;0.621;0.531;0.618;0.632;0.984;0.969;0.953;0.531;0.953;0.676;0.697;0.636;0.692;0.939;0.531;0.884;0.969
transcript33_ENSMUNG00000007775;1.0;1.0;1.0;0.953;0.621;0.531;0.618;0.632;0.984;0.969;0.953;0.531;0.953;0.676;0.697;0.636;0.692;0.939;0.531;0.884;0.969
transcript25_ENSMUNG00000007775;0.953;0.953;0.953;1.0;0.606;0.516;0.627;0.642;0.969;0.953;0.938;0.516;0.938;0.662;0.682;0.621;0.652;0.924;0.516;0.87;0.924
transcript38_ENSMUNG00000002377;0.621;0.621;0.621;0.606;1.0;0.646;0.784;0.804;0.636;0.646;0.631;0.411;0.631;0.863;0.898;0.978;0.857;0.677;0.411;0.609;0.652
transcript36_ENSMUNG00000002377;0.531;0.531;0.531;0.516;0.646;1.0;0.577;0.596;0.547;0.556;0.54;0.591;0.516;0.654;0.68;0.667;0.64;0.538;0.591;0.478;0.515
transcript35_ENSMUNG00000002377;0.618;0.618;0.618;0.627;0.784;0.577;1.0;0.979;0.632;0.642;0.627;0.414;0.603;0.922;0.882;0.804;0.88;0.672;0.414;0.629;0.647
transcript27_ENSMUNG00000002377;0.632;0.632;0.632;0.642;0.804;0.596;0.979;1.0;0.647;0.657;0.642;0.431;0.618;0.941;0.902;0.824;0.9;0.687;0.431;0.643;0.662
transcript21_ENSMUNG00000007775;0.984;0.984;0.984;0.969;0.636;0.547;0.632;0.647;1.0;0.984;0.969;0.547;0.969;0.691;0.712;0.652;0.682;0.955;0.547;0.899;0.955
transcript23_ENSMUNG00000007775;0.969;0.969;0.969;0.953;0.646;0.556;0.642;0.657;0.984;1.0;0.984;0.556;0.953;0.701;0.723;0.662;0.692;0.969;0.556;0.884;0.939
transcript26_ENSMUNG00000007775;0.953;0.953;0.953;0.938;0.631;0.54;0.627;0.642;0.969;0.984;1.0;0.565;0.938;0.687;0.708;0.646;0.677;0.954;0.565;0.87;0.924
transcript30_ENSMUNG00000007775;0.531;0.531;0.531;0.516;0.411;0.591;0.414;0.431;0.547;0.556;0.565;1.0;0.516;0.483;0.5;0.429;0.464;0.538;1.0;0.478;0.515
transcript32_ENSMUNG00000007775;0.953;0.953;0.953;0.938;0.631;0.516;0.603;0.618;0.969;0.953;0.938;0.516;1.0;0.662;0.682;0.621;0.652;0.924;0.516;0.87;0.924
transcript13_ENSMUNG00000002377;0.676;0.676;0.676;0.662;0.863;0.654;0.922;0.941;0.691;0.701;0.687;0.483;0.662;1.0;0.961;0.882;0.922;0.731;0.483;0.686;0.706
transcript23_ENSMUNG00000002377;0.697;0.697;0.697;0.682;0.898;0.68;0.882;0.902;0.712;0.723;0.708;0.5;0.682;0.961;1.0;0.918;0.959;0.754;0.5;0.681;0.727
transcript37_ENSMUNG00000002377;0.636;0.636;0.636;0.621;0.978;0.667;0.804;0.824;0.652;0.662;0.646;0.429;0.621;0.882;0.918;1.0;0.878;0.692;0.429;0.623;0.667
transcript9_ENSMUNG00000002377;0.692;0.692;0.692;0.652;0.857;0.64;0.88;0.9;0.682;0.692;0.677;0.464;0.652;0.922;0.959;0.878;1.0;0.723;0.464;0.652;0.723
transcript23_ENSMUNG00000002391;0.939;0.939;0.939;0.924;0.677;0.538;0.672;0.687;0.955;0.969;0.954;0.538;0.924;0.731;0.754;0.692;0.723;1.0;0.538;0.913;0.97
transcript30_ENSMUNG00000002391;0.531;0.531;0.531;0.516;0.411;0.591;0.414;0.431;0.547;0.556;0.565;1.0;0.516;0.483;0.5;0.429;0.464;0.538;1.0;0.478;0.515
transcript10_ENSMUNG00000002391;0.884;0.884;0.884;0.87;0.609;0.478;0.629;0.643;0.899;0.884;0.87;0.478;0.87;0.686;0.681;0.623;0.652;0.913;0.478;1.0;0.913
transcript33_ENSMUNG00000002391;0.969;0.969;0.969;0.924;0.652;0.515;0.647;0.662;0.955;0.939;0.924;0.515;0.924;0.706;0.727;0.667;0.723;0.97;0.515;0.913;1.0
