;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.997;0.514;0.329;0.735;0.31;0.112;0.112;0.567;0.316;0.347;0.938;0.082;0.137;1.0;0.69
ENST00000158771_90_90;0.997;1.0;0.514;0.329;0.735;0.31;0.112;0.112;0.569;0.316;0.347;0.935;0.082;0.137;0.997;0.688
ENST00000570848_90_90;0.514;0.514;1.0;0.491;0.72;0.514;0.161;0.161;0.425;0.565;0.52;0.514;0.124;0.221;0.514;0.221
ENST00000571476_90_90;0.329;0.329;0.491;1.0;0.357;0.468;0.198;0.198;0.111;0.846;0.948;0.329;0.191;0.317;0.329;0.038
ENST00000571971_90_90;0.735;0.735;0.72;0.357;1.0;0.37;0.128;0.128;0.492;0.407;0.378;0.735;0.095;0.162;0.735;0.443
ENST00000572834_90_90;0.31;0.31;0.514;0.468;0.37;1.0;0.241;0.241;0.1;0.508;0.51;0.31;0.198;0.401;0.31;0.096
ENST00000573637_90_90;0.112;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.226;0.112;0.631;0.447;0.112;0.0
ENST00000574952_90_90;0.112;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.226;0.112;0.631;0.447;0.112;0.0
ENST00000575605_90_90;0.567;0.569;0.425;0.111;0.492;0.1;0.0;0.0;1.0;0.132;0.109;0.521;0.0;0.0;0.567;0.62
ENST00000576551_90_90;0.316;0.316;0.565;0.846;0.407;0.508;0.223;0.223;0.132;1.0;0.882;0.316;0.186;0.359;0.316;0.015
ENSMUST00000018586_90_90;0.347;0.347;0.52;0.948;0.378;0.51;0.226;0.226;0.109;0.882;1.0;0.347;0.184;0.363;0.347;0.038
ENSMUST00000108523_90_90;0.938;0.935;0.514;0.329;0.735;0.31;0.112;0.112;0.521;0.316;0.347;1.0;0.082;0.137;0.938;0.638
ENSMUST00000131340_90_90;0.082;0.082;0.124;0.191;0.095;0.198;0.631;0.631;0.0;0.186;0.184;0.082;1.0;0.454;0.082;0.0
ENSMUST00000132198_90_90;0.137;0.137;0.221;0.317;0.162;0.401;0.447;0.447;0.0;0.359;0.363;0.137;0.454;1.0;0.137;0.0
ENSMUST00000143850_90_90;1.0;0.997;0.514;0.329;0.735;0.31;0.112;0.112;0.567;0.316;0.347;0.938;0.082;0.137;1.0;0.69
ENSMUST00000171041_90_90;0.69;0.688;0.221;0.038;0.443;0.096;0.0;0.0;0.62;0.015;0.038;0.638;0.0;0.0;0.69;1.0
