;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.091;0.095;0.333;0.143;0.143;0.143;0.143;0.286;0.818;0.727;0.727;0.727;0.773;0.682;0.818;0.095;0.682;0.773;0.143;1.0;0.95;0.05;0.905;0.95;0.45
ENST00000587805_90_90;0.091;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.143;0.158;0.158;0.158;0.15;0.167;0.143;0.0;0.167;0.15;0.0;0.091;0.095;0.0;0.091;0.095;0.0
ENST00000588116_90_90;0.095;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.095;0.105;0.105;0.105;0.1;0.111;0.095;0.0;0.111;0.1;0.0;0.095;0.1;0.0;0.095;0.1;0.0
ENST00000589774_90_90;0.333;0.0;0.0;1.0;0.5;0.2;0.2;0.2;0.875;0.4;0.444;0.444;0.444;0.35;0.471;0.4;0.222;0.389;0.421;0.2;0.333;0.35;0.125;0.333;0.286;0.7
ENST00000590432_90_90;0.143;0.0;0.0;0.5;1.0;0.333;0.333;0.333;0.571;0.2;0.222;0.222;0.222;0.211;0.235;0.2;0.4;0.235;0.211;0.333;0.143;0.15;0.25;0.143;0.15;0.3
ENST00000590538_90_90;0.143;0.0;0.0;0.2;0.333;1.0;1.0;1.0;0.222;0.091;0.1;0.1;0.1;0.095;0.105;0.091;0.4;0.105;0.095;1.0;0.143;0.15;0.25;0.143;0.15;0.3
ENST00000591610_90_90;0.143;0.0;0.0;0.2;0.333;1.0;1.0;1.0;0.222;0.091;0.1;0.1;0.1;0.095;0.105;0.091;0.4;0.105;0.095;1.0;0.143;0.15;0.25;0.143;0.15;0.3
ENST00000592167_90_90;0.143;0.0;0.0;0.2;0.333;1.0;1.0;1.0;0.222;0.091;0.1;0.1;0.1;0.095;0.105;0.091;0.4;0.105;0.095;1.0;0.143;0.15;0.25;0.143;0.15;0.3
ENST00000593014_90_90;0.286;0.0;0.0;0.875;0.571;0.222;0.222;0.222;1.0;0.35;0.389;0.389;0.389;0.3;0.412;0.35;0.25;0.333;0.368;0.222;0.286;0.3;0.143;0.286;0.238;0.6
ENST00000610402_90_90;0.818;0.143;0.095;0.4;0.2;0.091;0.091;0.091;0.35;1.0;0.9;0.9;0.9;0.95;0.85;1.0;0.095;0.85;0.95;0.091;0.818;0.773;0.05;0.739;0.773;0.381
ENST00000612035_90_90;0.727;0.158;0.105;0.444;0.222;0.1;0.1;0.1;0.389;0.9;1.0;1.0;1.0;0.85;0.944;0.9;0.105;0.944;0.85;0.1;0.727;0.682;0.056;0.727;0.682;0.421
ENST00000612116_90_90;0.727;0.158;0.105;0.444;0.222;0.1;0.1;0.1;0.389;0.9;1.0;1.0;1.0;0.85;0.944;0.9;0.105;0.944;0.85;0.1;0.727;0.682;0.056;0.727;0.682;0.421
ENST00000614600_90_90;0.727;0.158;0.105;0.444;0.222;0.1;0.1;0.1;0.389;0.9;1.0;1.0;1.0;0.85;0.944;0.9;0.105;0.944;0.85;0.1;0.727;0.682;0.056;0.727;0.682;0.421
ENST00000616681_90_90;0.773;0.15;0.1;0.35;0.211;0.095;0.095;0.095;0.3;0.95;0.85;0.85;0.85;1.0;0.8;0.95;0.1;0.895;0.9;0.095;0.773;0.727;0.053;0.696;0.81;0.333
ENST00000616784_90_90;0.682;0.167;0.111;0.471;0.235;0.105;0.105;0.105;0.412;0.85;0.944;0.944;0.944;0.8;1.0;0.85;0.111;0.889;0.895;0.105;0.682;0.714;0.059;0.682;0.636;0.444
ENST00000618940_90_90;0.818;0.143;0.095;0.4;0.2;0.091;0.091;0.091;0.35;1.0;0.9;0.9;0.9;0.95;0.85;1.0;0.095;0.85;0.95;0.091;0.818;0.773;0.05;0.739;0.773;0.381
ENST00000620039_90_90;0.095;0.0;0.0;0.222;0.4;0.4;0.4;0.4;0.25;0.095;0.105;0.105;0.105;0.1;0.111;0.095;1.0;0.111;0.1;0.4;0.095;0.1;0.333;0.095;0.1;0.2
ENST00000621668_90_90;0.682;0.167;0.111;0.389;0.235;0.105;0.105;0.105;0.333;0.85;0.944;0.944;0.944;0.895;0.889;0.85;0.111;1.0;0.8;0.105;0.682;0.636;0.059;0.682;0.714;0.368
ENST00000621914_90_90;0.773;0.15;0.1;0.421;0.211;0.095;0.095;0.095;0.368;0.95;0.85;0.85;0.85;0.9;0.895;0.95;0.1;0.8;1.0;0.095;0.773;0.81;0.053;0.696;0.727;0.4
ENST00000628168_90_90;0.143;0.0;0.0;0.2;0.333;1.0;1.0;1.0;0.222;0.091;0.1;0.1;0.1;0.095;0.105;0.091;0.4;0.105;0.095;1.0;0.143;0.15;0.25;0.143;0.15;0.3
ENSMUST00000018875_90_90;1.0;0.091;0.095;0.333;0.143;0.143;0.143;0.143;0.286;0.818;0.727;0.727;0.727;0.773;0.682;0.818;0.095;0.682;0.773;0.143;1.0;0.95;0.05;0.905;0.95;0.45
ENSMUST00000065692_90_90;0.95;0.095;0.1;0.35;0.15;0.15;0.15;0.15;0.3;0.773;0.682;0.682;0.682;0.727;0.714;0.773;0.1;0.636;0.81;0.15;0.95;1.0;0.053;0.857;0.9;0.474
ENSMUST00000142680_90_90;0.05;0.0;0.0;0.125;0.25;0.25;0.25;0.25;0.143;0.05;0.056;0.056;0.056;0.053;0.059;0.05;0.333;0.059;0.053;0.25;0.05;0.053;1.0;0.05;0.053;0.111
ENSMUST00000176430_90_90;0.905;0.091;0.095;0.333;0.143;0.143;0.143;0.143;0.286;0.739;0.727;0.727;0.727;0.696;0.682;0.739;0.095;0.682;0.696;0.143;0.905;0.857;0.05;1.0;0.857;0.45
ENSMUST00000176523_90_90;0.95;0.095;0.1;0.286;0.15;0.15;0.15;0.15;0.238;0.773;0.682;0.682;0.682;0.81;0.636;0.773;0.1;0.714;0.727;0.15;0.95;0.9;0.053;0.857;1.0;0.4
ENSMUST00000176944_90_90;0.45;0.0;0.0;0.7;0.3;0.3;0.3;0.3;0.6;0.381;0.421;0.421;0.421;0.333;0.444;0.381;0.2;0.368;0.4;0.3;0.45;0.474;0.111;0.45;0.4;1.0
