;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;1.0;0.887;0.887;0.113;0.988;0.95;1.0;1.0;0.172;0.965;0.906;0.694;0.212;1.0;1.0
ENSCAFT00000027149_90_90;1.0;1.0;0.841;0.903;0.097;0.989;0.966;0.979;1.0;0.178;0.934;0.89;0.663;0.249;1.0;0.979
ENST00000256062_90_90;0.887;0.841;1.0;0.87;0.091;0.797;0.78;0.865;0.836;0.253;0.808;0.798;0.494;0.242;0.836;0.865
ENST00000539277_90_90;0.887;0.903;0.87;1.0;0.079;0.916;0.899;0.87;0.904;0.273;0.852;0.843;0.5;0.262;0.904;0.87
ENST00000550354_90_90;0.113;0.097;0.091;0.079;1.0;0.072;0.055;0.099;0.096;0.0;0.086;0.062;0.137;0.0;0.096;0.099
ENST00000551659_90_90;0.988;0.989;0.797;0.916;0.072;1.0;0.983;0.955;0.989;0.286;0.941;0.933;0.589;0.239;0.989;0.955
ENST00000552618_90_90;0.95;0.966;0.78;0.899;0.055;0.983;1.0;0.932;0.966;0.292;0.926;0.947;0.574;0.242;0.966;0.932
ENST00000373701_90_90;1.0;0.979;0.865;0.87;0.099;0.955;0.932;1.0;0.979;0.162;0.956;0.912;0.62;0.212;0.979;1.0
ENST00000373719_90_90;1.0;1.0;0.836;0.904;0.096;0.989;0.966;0.979;1.0;0.175;0.946;0.902;0.641;0.234;1.0;0.979
ENST00000444774_90_90;0.172;0.178;0.253;0.273;0.0;0.286;0.292;0.162;0.175;1.0;0.267;0.28;0.415;0.84;0.175;0.163
ENSMUST00000060095_90_90;0.965;0.934;0.808;0.852;0.086;0.941;0.926;0.956;0.946;0.267;1.0;0.97;0.563;0.215;0.94;0.95
ENSMUST00000100772_90_90;0.906;0.89;0.798;0.843;0.062;0.933;0.947;0.912;0.902;0.28;0.97;1.0;0.535;0.221;0.897;0.906
ENSMUST00000140797_90_90;0.694;0.663;0.494;0.5;0.137;0.589;0.574;0.62;0.641;0.415;0.563;0.535;1.0;0.368;0.647;0.625
ENSMUST00000203991_90_90;0.212;0.249;0.242;0.262;0.0;0.239;0.242;0.212;0.234;0.84;0.215;0.221;0.368;1.0;0.239;0.217
ENSMUST00000044475_90_90;1.0;1.0;0.836;0.904;0.096;0.989;0.966;0.979;1.0;0.175;0.94;0.897;0.647;0.239;1.0;0.979
ENSMUST00000119299_90_90;1.0;0.979;0.865;0.87;0.099;0.955;0.932;1.0;0.979;0.163;0.95;0.906;0.625;0.217;0.979;1.0
