;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.704;0.481;0.64;0.731;0.72;0.56;0.56;0.741;0.72;0.25;0.692;0.769;0.24;0.174;0.087;0.704;0.167;0.44;0.769;0.84;0.8;0.808;0.88;0.917
ENSCAFT00000048577_90_90;0.704;1.0;0.6;0.577;0.731;0.654;0.5;0.5;0.679;0.654;0.25;0.692;0.643;0.192;0.174;0.087;0.769;0.167;0.385;0.84;0.769;0.8;0.808;0.741;0.704
ENSCAFT00000049950_90_90;0.481;0.6;1.0;0.522;0.444;0.423;0.32;0.32;0.414;0.423;0.333;0.407;0.429;0.19;0.235;0.118;0.429;0.222;0.2;0.481;0.538;0.5;0.519;0.464;0.481
ENST00000314177_90_90;0.64;0.577;0.522;1.0;0.818;0.652;0.417;0.417;0.75;0.652;0.316;0.625;0.783;0.444;0.222;0.111;0.783;0.211;0.292;0.708;0.577;0.739;0.556;0.68;0.708
ENST00000338564_90_90;0.731;0.731;0.444;0.818;1.0;0.75;0.52;0.52;0.84;0.75;0.261;0.72;0.875;0.364;0.182;0.091;0.957;0.174;0.4;0.875;0.667;0.913;0.643;0.769;0.8
ENST00000340545_90_90;0.72;0.654;0.423;0.652;0.75;1.0;0.714;0.714;0.833;1.0;0.286;0.952;0.87;0.217;0.2;0.1;0.72;0.19;0.435;0.654;0.72;0.68;0.692;0.692;0.72
ENST00000397620_90_90;0.56;0.5;0.32;0.417;0.52;0.714;1.0;1.0;0.6;0.714;0.438;0.682;0.625;0.043;0.25;0.125;0.5;0.235;0.526;0.5;0.56;0.52;0.538;0.538;0.56
ENST00000397624_90_90;0.56;0.5;0.32;0.417;0.52;0.714;1.0;1.0;0.6;0.714;0.438;0.682;0.625;0.043;0.25;0.125;0.5;0.235;0.526;0.5;0.56;0.52;0.538;0.538;0.56
ENST00000424352_90_90;0.741;0.679;0.414;0.75;0.84;0.833;0.6;0.6;1.0;0.833;0.24;0.875;0.958;0.333;0.167;0.083;0.88;0.16;0.37;0.808;0.679;0.769;0.714;0.846;0.808
ENST00000557796_90_90;0.72;0.654;0.423;0.652;0.75;1.0;0.714;0.714;0.833;1.0;0.286;0.952;0.87;0.217;0.2;0.1;0.72;0.19;0.435;0.654;0.72;0.68;0.692;0.692;0.72
