;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;0.958;0.523;0.905;0.305;0.733;0.618;0.939;0.888;0.888;0.939;0.481;0.712;0.894
ENST00000246194_90_90;0.958;1.0;0.561;0.948;0.292;0.776;0.592;0.981;0.929;0.929;0.981;0.461;0.69;0.936
ENST00000333552_90_90;0.523;0.561;1.0;0.509;0.201;0.614;0.484;0.55;0.499;0.499;0.55;0.316;0.61;0.576
ENST00000375114_90_90;0.905;0.948;0.509;1.0;0.308;0.818;0.539;0.929;0.98;0.98;0.929;0.486;0.728;0.885
ENST00000413297_90_90;0.305;0.292;0.201;0.308;1.0;0.376;0.494;0.286;0.302;0.302;0.286;0.634;0.423;0.3
ENST00000442805_90_90;0.733;0.776;0.614;0.818;0.376;1.0;0.651;0.761;0.802;0.802;0.761;0.594;0.889;0.796
ENST00000448364_90_90;0.618;0.592;0.484;0.539;0.494;0.651;1.0;0.58;0.529;0.529;0.58;0.779;0.727;0.607
ENSMUST00000029120_90_90;0.939;0.981;0.55;0.929;0.286;0.761;0.58;1.0;0.949;0.949;1.0;0.452;0.676;0.955
ENSMUST00000058089_90_90;0.888;0.929;0.499;0.98;0.302;0.802;0.529;0.949;1.0;1.0;0.949;0.476;0.713;0.904
ENSMUST00000109701_90_90;0.888;0.929;0.499;0.98;0.302;0.802;0.529;0.949;1.0;1.0;0.949;0.476;0.713;0.904
ENSMUST00000116389_90_90;0.939;0.981;0.55;0.929;0.286;0.761;0.58;1.0;0.949;0.949;1.0;0.452;0.676;0.955
ENSMUST00000125872_90_90;0.481;0.461;0.316;0.486;0.634;0.594;0.779;0.452;0.476;0.476;0.452;1.0;0.668;0.473
ENSMUST00000129137_90_90;0.712;0.69;0.61;0.728;0.423;0.889;0.727;0.676;0.713;0.713;0.676;0.668;1.0;0.708
ENSMUST00000140713_90_90;0.894;0.936;0.576;0.885;0.3;0.796;0.607;0.955;0.904;0.904;0.955;0.473;0.708;1.0
