;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.95;0.05;0.05;0.05;0.6;0.0;0.05;0.025;0.0;0.325;0.275;0.2;0.1;0.0;0.919;0.054;0.054;0.054;0.649;0.054;0.108;0.189;0.676;0.324
ENST00000312358_90_90;0.95;1.0;0.021;0.021;0.021;0.51;0.0;0.043;0.021;0.0;0.255;0.189;0.174;0.057;0.0;0.975;0.024;0.024;0.024;0.533;0.024;0.064;0.175;0.7;0.267
ENST00000396686_90_90;0.05;0.021;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.103;1.0;0.0;0.0;0.033;0.0
ENST00000396688_90_90;0.05;0.021;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.103;1.0;0.0;0.0;0.033;0.0
ENST00000396689_90_90;0.05;0.021;1.0;1.0;1.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.103;1.0;0.0;0.0;0.033;0.0
ENST00000396698_90_90;0.6;0.51;0.097;0.097;0.097;1.0;0.088;0.065;0.0;0.088;0.485;0.333;0.258;0.171;0.0;0.545;0.103;0.103;0.103;0.933;0.103;0.147;0.241;0.425;0.438
ENST00000403148_90_90;0.0;0.0;0.0;0.0;0.0;0.088;1.0;0.0;0.0;1.0;0.143;0.095;0.0;0.231;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.4;0.0;0.0;0.167
ENST00000409595_90_90;0.05;0.043;0.0;0.0;0.0;0.065;0.0;1.0;0.0;0.0;0.0;0.0;0.111;0.0;0.0;0.051;0.0;0.0;0.0;0.069;0.0;0.0;0.286;0.034;0.0
ENST00000412982_90_90;0.025;0.021;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.333;0.026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036;0.0
ENST00000420132_90_90;0.0;0.0;0.0;0.0;0.0;0.088;1.0;0.0;0.0;1.0;0.143;0.095;0.0;0.231;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.4;0.0;0.0;0.167
ENST00000431523_90_90;0.325;0.255;0.0;0.0;0.0;0.485;0.143;0.0;0.0;0.143;1.0;0.667;0.3;0.4;0.0;0.273;0.0;0.0;0.0;0.438;0.0;0.35;0.143;0.184;0.889
ENST00000435853_90_90;0.275;0.189;0.0;0.0;0.0;0.333;0.095;0.0;0.0;0.095;0.667;1.0;0.316;0.5;0.0;0.205;0.0;0.0;0.0;0.303;0.0;0.412;0.167;0.105;0.632
ENST00000451076_90_90;0.2;0.174;0.0;0.0;0.0;0.258;0.0;0.111;0.0;0.0;0.3;0.316;1.0;0.059;0.0;0.175;0.0;0.0;0.0;0.233;0.0;0.059;0.25;0.091;0.25
ENST00000452101_90_90;0.1;0.057;0.0;0.0;0.0;0.171;0.231;0.0;0.0;0.231;0.4;0.5;0.059;1.0;0.0;0.068;0.0;0.0;0.0;0.156;0.0;0.8;0.071;0.0;0.389
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.333;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.919;0.975;0.024;0.024;0.024;0.545;0.0;0.051;0.026;0.0;0.273;0.205;0.175;0.068;0.0;1.0;0.02;0.02;0.02;0.558;0.02;0.056;0.149;0.653;0.288
ENSMUST00000113587_90_90;0.054;0.024;1.0;1.0;1.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;1.0;1.0;1.0;0.088;1.0;0.0;0.0;0.028;0.0
ENSMUST00000113588_90_90;0.054;0.024;1.0;1.0;1.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;1.0;1.0;1.0;0.088;1.0;0.0;0.0;0.028;0.0
ENSMUST00000113589_90_90;0.054;0.024;1.0;1.0;1.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;1.0;1.0;1.0;0.088;1.0;0.0;0.0;0.028;0.0
ENSMUST00000113590_90_90;0.649;0.533;0.103;0.103;0.103;0.933;0.1;0.069;0.0;0.1;0.438;0.303;0.233;0.156;0.0;0.558;0.088;0.088;0.088;1.0;0.088;0.158;0.206;0.417;0.5
ENSMUST00000122266_90_90;0.054;0.024;1.0;1.0;1.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;1.0;1.0;1.0;0.088;1.0;0.0;0.0;0.028;0.0
ENSMUST00000125306_90_90;0.108;0.064;0.0;0.0;0.0;0.147;0.4;0.0;0.0;0.4;0.35;0.412;0.059;0.8;0.0;0.056;0.0;0.0;0.0;0.158;0.0;1.0;0.062;0.0;0.364
ENSMUST00000132228_90_90;0.189;0.175;0.0;0.0;0.0;0.241;0.0;0.286;0.0;0.0;0.143;0.167;0.25;0.071;0.0;0.149;0.0;0.0;0.0;0.206;0.0;0.062;1.0;0.051;0.125
ENSMUST00000137868_90_90;0.676;0.7;0.033;0.033;0.033;0.425;0.0;0.034;0.036;0.0;0.184;0.105;0.091;0.0;0.0;0.653;0.028;0.028;0.028;0.417;0.028;0.0;0.051;1.0;0.174
ENSMUST00000148515_90_90;0.324;0.267;0.0;0.0;0.0;0.438;0.167;0.0;0.0;0.167;0.889;0.632;0.25;0.389;0.0;0.288;0.0;0.0;0.0;0.5;0.0;0.364;0.125;0.174;1.0
