;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.455;0.429;0.321;0.269;0.385;0.36;0.286;0.333;0.31;0.4;0.286;0.259;0.296;0.296;0.375;0.375;0.346;0.36;0.25;0.25;0.36;0.333;0.28;0.296;0.269;0.4;0.308;0.259;0.286;0.276;0.346;0.32;0.333;0.364;0.348;0.357;0.0
ENSCAFT00000003727_90_90;0.455;1.0;0.273;0.607;0.577;0.76;0.75;0.63;0.739;0.643;0.72;0.63;0.615;0.593;0.593;0.708;0.708;0.654;0.615;0.433;0.483;0.556;0.538;0.481;0.536;0.519;0.654;0.5;0.448;0.467;0.5;0.593;0.577;0.6;0.583;0.625;0.227;0.19
ENST00000502815_90_90;0.429;0.273;1.0;0.269;0.318;0.333;0.364;0.28;0.4;0.259;0.348;0.28;0.304;0.292;0.292;0.381;0.381;0.348;0.364;0.192;0.292;0.364;0.4;0.333;0.292;0.318;0.348;0.304;0.304;0.28;0.269;0.348;0.381;0.4;0.444;0.421;0.875;0.0
ENST00000504896_90_90;0.321;0.607;0.269;1.0;0.84;0.815;0.741;0.885;0.667;0.962;0.846;0.885;0.808;0.92;0.92;0.769;0.769;0.714;0.679;0.6;0.655;0.679;0.607;0.667;0.714;0.643;0.655;0.741;0.679;0.75;0.724;0.655;0.586;0.607;0.593;0.571;0.231;0.154
ENST00000506700_90_90;0.269;0.577;0.318;0.84;1.0;0.667;0.72;0.875;0.783;0.808;0.692;0.875;0.955;0.913;0.913;0.75;0.75;0.692;0.654;0.571;0.692;0.593;0.64;0.783;0.692;0.75;0.571;0.72;0.72;0.667;0.643;0.571;0.615;0.708;0.696;0.667;0.273;0.182
ENST00000506720_90_90;0.385;0.76;0.333;0.815;0.667;1.0;0.917;0.778;0.833;0.852;0.958;0.778;0.704;0.741;0.741;0.875;0.875;0.808;0.769;0.516;0.621;0.769;0.692;0.571;0.679;0.607;0.808;0.643;0.586;0.655;0.69;0.808;0.731;0.692;0.68;0.72;0.292;0.16
ENST00000506746_90_90;0.36;0.75;0.364;0.741;0.72;0.917;1.0;0.84;0.909;0.778;0.875;0.704;0.76;0.667;0.8;0.792;0.955;0.731;0.692;0.552;0.667;0.692;0.75;0.615;0.607;0.654;0.731;0.571;0.63;0.586;0.621;0.731;0.792;0.75;0.739;0.783;0.318;0.174
ENST00000507164_90_90;0.286;0.63;0.28;0.885;0.875;0.778;0.84;1.0;0.76;0.923;0.741;0.846;0.917;0.808;0.958;0.667;0.8;0.679;0.643;0.621;0.741;0.586;0.63;0.692;0.679;0.731;0.621;0.643;0.704;0.655;0.69;0.621;0.667;0.692;0.615;0.654;0.24;0.16
ENST00000507625_90_90;0.333;0.739;0.4;0.667;0.783;0.833;0.909;0.76;1.0;0.704;0.792;0.76;0.826;0.72;0.72;0.864;0.864;0.792;0.75;0.483;0.654;0.68;0.739;0.667;0.654;0.708;0.72;0.615;0.615;0.571;0.607;0.72;0.783;0.818;0.81;0.857;0.35;0.19
ENST00000508693_90_90;0.31;0.643;0.259;0.962;0.808;0.852;0.778;0.923;0.704;1.0;0.815;0.923;0.846;0.885;0.885;0.741;0.741;0.75;0.714;0.581;0.69;0.655;0.586;0.643;0.75;0.679;0.69;0.714;0.655;0.724;0.759;0.69;0.621;0.643;0.571;0.607;0.222;0.148
