;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.633;0.444;0.655;0.899;0.213;0.213;0.592;0.752;0.507;0.222;0.444;0.752;0.688;0.507;0.621;0.423
ENSCAFT00000025580_90_90;0.633;1.0;0.306;0.518;0.762;0.249;0.249;0.455;0.614;0.369;0.276;0.306;0.614;0.55;0.369;0.484;0.491
ENST00000263846_90_90;0.444;0.306;1.0;0.677;0.512;0.229;0.229;0.74;0.621;0.889;0.503;1.0;0.621;0.673;0.889;0.739;0.18
ENST00000535826_90_90;0.655;0.518;0.677;1.0;0.756;0.253;0.253;0.917;0.576;0.762;0.335;0.705;0.593;0.527;0.792;0.567;0.441
ENST00000539008_90_90;0.899;0.762;0.512;0.756;1.0;0.195;0.195;0.692;0.821;0.576;0.253;0.527;0.846;0.78;0.593;0.711;0.412
ENST00000539246_90_90;0.213;0.249;0.229;0.253;0.195;1.0;1.0;0.175;0.236;0.328;0.373;0.246;0.248;0.174;0.352;0.189;0.538
ENST00000539468_90_90;0.213;0.249;0.229;0.253;0.195;1.0;1.0;0.175;0.236;0.328;0.373;0.246;0.248;0.174;0.352;0.189;0.538
ENST00000540677_90_90;0.592;0.455;0.74;0.917;0.692;0.175;0.175;1.0;0.512;0.677;0.365;0.772;0.527;0.564;0.705;0.609;0.363
ENST00000542670_90_90;0.752;0.614;0.621;0.576;0.821;0.236;0.236;0.512;1.0;0.7;0.31;0.621;1.0;0.923;0.7;0.841;0.264
ENST00000542836_90_90;0.507;0.369;0.889;0.762;0.576;0.328;0.328;0.677;0.7;1.0;0.446;0.889;0.7;0.621;1.0;0.676;0.259
ENST00000545053_90_90;0.222;0.276;0.503;0.335;0.253;0.373;0.373;0.365;0.31;0.446;1.0;0.503;0.31;0.337;0.446;0.369;0.26
ENSMUST00000073899_90_90;0.444;0.306;1.0;0.705;0.527;0.246;0.246;0.772;0.621;0.889;0.503;1.0;0.621;0.673;0.889;0.739;0.171
ENSMUST00000076968_90_90;0.752;0.614;0.621;0.593;0.846;0.248;0.248;0.527;1.0;0.7;0.31;0.621;1.0;0.923;0.7;0.841;0.255
ENSMUST00000169121_90_90;0.688;0.55;0.673;0.527;0.78;0.174;0.174;0.564;0.923;0.621;0.337;0.673;0.923;1.0;0.621;0.911;0.193
ENSMUST00000223586_90_90;0.507;0.369;0.889;0.792;0.593;0.352;0.352;0.705;0.7;1.0;0.446;0.889;0.7;0.621;1.0;0.676;0.247
ENSMUST00000224135_90_90;0.621;0.484;0.739;0.567;0.711;0.189;0.189;0.609;0.841;0.676;0.369;0.739;0.841;0.911;0.676;1.0;0.207
ENSMUST00000225452_90_90;0.423;0.491;0.18;0.441;0.412;0.538;0.538;0.363;0.264;0.259;0.26;0.171;0.255;0.193;0.247;0.207;1.0
