;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;0.934;0.503;0.934;0.823;0.823;0.382;0.071;0.269;0.206;0.269;0.792;0.503;0.382;0.792;0.865;0.15;0.045;0.18;0.894;0.349;0.106
ENST00000339266_90_90;0.934;1.0;0.525;1.0;0.877;0.877;0.371;0.069;0.263;0.2;0.263;0.81;0.492;0.371;0.81;0.886;0.146;0.043;0.175;0.915;0.339;0.103
ENST00000340491_90_90;0.503;0.525;1.0;0.525;0.441;0.441;0.648;0.118;0.442;0.339;0.442;0.414;0.936;0.648;0.414;0.506;0.255;0.08;0.301;0.492;0.594;0.175
ENST00000373907_90_90;0.934;1.0;0.525;1.0;0.877;0.877;0.371;0.069;0.263;0.2;0.263;0.81;0.492;0.371;0.81;0.886;0.146;0.043;0.175;0.915;0.339;0.103
ENST00000373913_90_90;0.823;0.877;0.441;0.877;1.0;1.0;0.344;0.064;0.324;0.183;0.297;0.891;0.414;0.344;0.891;0.784;0.136;0.041;0.162;0.81;0.315;0.095
ENST00000401952_90_90;0.823;0.877;0.441;0.877;1.0;1.0;0.344;0.064;0.324;0.183;0.297;0.891;0.414;0.344;0.891;0.784;0.136;0.041;0.162;0.81;0.315;0.095
ENST00000475894_90_90;0.382;0.371;0.648;0.371;0.344;0.344;1.0;0.182;0.571;0.52;0.571;0.344;0.648;1.0;0.344;0.384;0.393;0.123;0.465;0.371;0.917;0.269
ENST00000482872_90_90;0.071;0.069;0.118;0.069;0.064;0.064;0.182;1.0;0.179;0.352;0.179;0.064;0.118;0.182;0.064;0.072;0.0;0.7;0.391;0.069;0.199;0.677
ENST00000489701_90_90;0.269;0.263;0.442;0.263;0.324;0.324;0.571;0.179;1.0;0.508;0.921;0.297;0.442;0.571;0.297;0.271;0.302;0.128;0.459;0.263;0.608;0.265
ENST00000495241_90_90;0.206;0.2;0.339;0.2;0.183;0.183;0.52;0.352;0.508;1.0;0.508;0.183;0.339;0.52;0.183;0.207;0.144;0.251;0.903;0.2;0.57;0.52
ENSMUST00000000094_90_90;0.269;0.263;0.442;0.263;0.297;0.297;0.571;0.179;0.921;0.508;1.0;0.324;0.442;0.571;0.324;0.271;0.302;0.128;0.459;0.263;0.608;0.265
ENSMUST00000070782_90_90;0.792;0.81;0.414;0.81;0.891;0.891;0.344;0.064;0.297;0.183;0.324;1.0;0.441;0.344;1.0;0.849;0.136;0.041;0.162;0.877;0.315;0.095
ENSMUST00000099145_90_90;0.503;0.492;0.936;0.492;0.414;0.414;0.648;0.118;0.442;0.339;0.442;0.441;1.0;0.648;0.441;0.542;0.255;0.08;0.301;0.525;0.594;0.175
ENSMUST00000109566_90_90;0.382;0.371;0.648;0.371;0.344;0.344;1.0;0.182;0.571;0.52;0.571;0.344;0.648;1.0;0.344;0.384;0.393;0.123;0.465;0.371;0.917;0.269
ENSMUST00000109567_90_90;0.792;0.81;0.414;0.81;0.891;0.891;0.344;0.064;0.297;0.183;0.324;1.0;0.441;0.344;1.0;0.849;0.136;0.041;0.162;0.877;0.315;0.095
ENSMUST00000109568_90_90;0.865;0.886;0.506;0.886;0.784;0.784;0.384;0.072;0.271;0.207;0.271;0.849;0.542;0.384;0.849;1.0;0.151;0.045;0.181;0.969;0.351;0.106
ENSMUST00000131157_90_90;0.15;0.146;0.255;0.146;0.136;0.136;0.393;0.0;0.302;0.144;0.302;0.136;0.255;0.393;0.136;0.151;1.0;0.0;0.074;0.146;0.428;0.0
ENSMUST00000137356_90_90;0.045;0.043;0.08;0.043;0.041;0.041;0.123;0.7;0.128;0.251;0.128;0.041;0.08;0.123;0.041;0.045;0.0;1.0;0.272;0.043;0.135;0.476
ENSMUST00000146412_90_90;0.18;0.175;0.301;0.175;0.162;0.162;0.465;0.391;0.459;0.903;0.459;0.162;0.301;0.465;0.162;0.181;0.074;0.272;1.0;0.175;0.508;0.578
ENSMUST00000169464_90_90;0.894;0.915;0.492;0.915;0.81;0.81;0.371;0.069;0.263;0.2;0.263;0.877;0.525;0.371;0.877;0.969;0.146;0.043;0.175;1.0;0.339;0.103
ENSMUST00000171030_90_90;0.349;0.339;0.594;0.339;0.315;0.315;0.917;0.199;0.608;0.57;0.608;0.315;0.594;0.917;0.315;0.351;0.428;0.135;0.508;0.339;1.0;0.294
ENSMUST00000177013_90_90;0.106;0.103;0.175;0.103;0.095;0.095;0.269;0.677;0.265;0.52;0.265;0.095;0.175;0.269;0.095;0.106;0.0;0.476;0.578;0.103;0.294;1.0
