;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.889;0.02;0.918;0.668;0.153;0.149;0.839;0.595;0.163;0.812;0.864;0.381;0.887
ENST00000295894_90_90;0.889;1.0;0.02;0.96;0.758;0.16;0.131;0.877;0.627;0.208;0.711;0.807;0.317;0.79
ENST00000450542_90_90;0.02;0.02;1.0;0.02;0.026;0.346;0.0;0.119;0.026;0.0;0.02;0.022;0.044;0.069
ENST00000460711_90_90;0.918;0.96;0.02;1.0;0.728;0.155;0.126;0.845;0.604;0.199;0.745;0.845;0.355;0.824
ENST00000465156_90_90;0.668;0.758;0.026;0.728;1.0;0.178;0.17;0.659;0.404;0.241;0.509;0.586;0.407;0.593
ENST00000468110_90_90;0.153;0.16;0.346;0.155;0.178;1.0;0.295;0.263;0.204;0.566;0.049;0.052;0.292;0.196
ENST00000472899_90_90;0.149;0.131;0.0;0.126;0.17;0.295;1.0;0.093;0.169;0.529;0.082;0.119;0.432;0.131
ENST00000478300_90_90;0.839;0.877;0.119;0.845;0.659;0.263;0.093;1.0;0.546;0.16;0.688;0.732;0.272;0.853
ENST00000479198_90_90;0.595;0.627;0.026;0.604;0.404;0.204;0.169;0.546;1.0;0.272;0.443;0.514;0.449;0.528
ENST00000498449_90_90;0.163;0.208;0.0;0.199;0.241;0.566;0.529;0.16;0.272;1.0;0.05;0.083;0.402;0.144
ENSMUST00000070323_90_90;0.812;0.711;0.02;0.745;0.509;0.049;0.082;0.688;0.443;0.05;1.0;0.877;0.259;0.728
ENSMUST00000112656_90_90;0.864;0.807;0.022;0.845;0.586;0.052;0.119;0.732;0.514;0.083;0.877;1.0;0.31;0.772
ENSMUST00000153954_90_90;0.381;0.317;0.044;0.355;0.407;0.292;0.432;0.272;0.449;0.402;0.259;0.31;1.0;0.352
ENSMUST00000223583_90_90;0.887;0.79;0.069;0.824;0.593;0.196;0.131;0.853;0.528;0.144;0.728;0.772;0.352;1.0
