;ENSCAFT00000029427_90_90;ENST00000361219_90_90;ENST00000370990_90_90;ENST00000370994_90_90;ENST00000370995_90_90;ENSMUST00000042990_90_90;ENSMUST00000203077_90_90;ENSMUST00000203233_90_90;ENSMUST00000203436_90_90;ENSMUST00000204034_90_90;ENSMUST00000204135_90_90;ENSMUST00000204293_90_90;ENSMUST00000204294_90_90;ENSMUST00000205091_90_90;ENSMUST00000205106_90_90
ENSCAFT00000029427_90_90;1.0;0.812;0.875;0.75;0.938;1.0;0.867;0.333;0.933;0.5;0.133;0.8;0.4;0.267;0.667
ENST00000361219_90_90;0.812;1.0;0.812;0.929;0.875;0.812;0.929;0.357;0.75;0.438;0.143;0.857;0.429;0.286;0.714
ENST00000370990_90_90;0.875;0.812;1.0;0.867;0.938;0.875;0.75;0.333;0.933;0.5;0.133;0.8;0.4;0.267;0.667
ENST00000370994_90_90;0.75;0.929;0.867;1.0;0.812;0.75;0.857;0.385;0.8;0.467;0.154;0.923;0.462;0.308;0.769
ENST00000370995_90_90;0.938;0.875;0.938;0.812;1.0;0.938;0.812;0.312;0.875;0.471;0.125;0.75;0.375;0.25;0.625
ENSMUST00000042990_90_90;1.0;0.812;0.875;0.75;0.938;1.0;0.867;0.333;0.933;0.5;0.133;0.8;0.4;0.267;0.667
ENSMUST00000203077_90_90;0.867;0.929;0.75;0.857;0.812;0.867;1.0;0.385;0.8;0.467;0.154;0.923;0.462;0.308;0.769
ENSMUST00000203233_90_90;0.333;0.357;0.333;0.385;0.312;0.333;0.385;1.0;0.357;0.273;0.4;0.417;0.571;0.5;0.5
ENSMUST00000203436_90_90;0.933;0.75;0.933;0.8;0.875;0.933;0.8;0.357;1.0;0.533;0.143;0.857;0.429;0.286;0.714
ENSMUST00000204034_90_90;0.5;0.438;0.5;0.467;0.471;0.5;0.467;0.273;0.533;1.0;0.1;0.5;0.364;0.3;0.357
ENSMUST00000204135_90_90;0.133;0.143;0.133;0.154;0.125;0.133;0.154;0.4;0.143;0.1;1.0;0.167;0.143;0.2;0.2
ENSMUST00000204293_90_90;0.8;0.857;0.8;0.923;0.75;0.8;0.923;0.417;0.857;0.5;0.167;1.0;0.5;0.333;0.833
ENSMUST00000204294_90_90;0.4;0.429;0.4;0.462;0.375;0.4;0.462;0.571;0.429;0.364;0.143;0.5;1.0;0.429;0.6
ENSMUST00000205091_90_90;0.267;0.286;0.267;0.308;0.25;0.267;0.308;0.5;0.286;0.3;0.2;0.333;0.429;1.0;0.273
ENSMUST00000205106_90_90;0.667;0.714;0.667;0.769;0.625;0.667;0.769;0.5;0.714;0.357;0.2;0.833;0.6;0.273;1.0
