;ENSCAFT00000004613_90_90;ENSCAFT00000004622_90_90;ENST00000354667_90_90;ENST00000356674_90_90;ENST00000360787_90_90;ENST00000618183_90_90;ENSMUST00000069949_90_90;ENSMUST00000090002_90_90;ENSMUST00000114459_90_90;ENSMUST00000203220_90_90;ENSMUST00000203253_90_90;ENSMUST00000203954_90_90;ENSMUST00000204158_90_90;ENSMUST00000204188_90_90
ENSCAFT00000004613_90_90;1.0;0.769;0.833;0.909;0.833;0.5;0.727;0.909;0.833;0.909;0.5;0.833;0.727;0.727
ENSCAFT00000004622_90_90;0.769;1.0;1.0;0.917;1.0;0.667;0.75;0.917;1.0;0.917;0.417;1.0;0.75;0.75
ENST00000354667_90_90;0.833;1.0;1.0;0.923;1.0;0.692;0.769;0.923;1.0;0.923;0.385;1.0;0.769;0.769
ENST00000356674_90_90;0.909;0.917;0.923;1.0;0.923;0.615;0.833;1.0;0.923;1.0;0.417;0.923;0.833;0.833
ENST00000360787_90_90;0.833;1.0;1.0;0.923;1.0;0.692;0.769;0.923;1.0;0.923;0.385;1.0;0.769;0.769
ENST00000618183_90_90;0.5;0.667;0.692;0.615;0.692;1.0;0.462;0.615;0.692;0.615;0.273;0.692;0.462;0.462
ENSMUST00000069949_90_90;0.727;0.75;0.769;0.833;0.769;0.462;1.0;0.833;0.769;0.833;0.364;0.769;1.0;1.0
ENSMUST00000090002_90_90;0.909;0.917;0.923;1.0;0.923;0.615;0.833;1.0;0.923;1.0;0.417;0.923;0.833;0.833
ENSMUST00000114459_90_90;0.833;1.0;1.0;0.923;1.0;0.692;0.769;0.923;1.0;0.923;0.385;1.0;0.769;0.769
ENSMUST00000203220_90_90;0.909;0.917;0.923;1.0;0.923;0.615;0.833;1.0;0.923;1.0;0.417;0.923;0.833;0.833
ENSMUST00000203253_90_90;0.5;0.417;0.385;0.417;0.385;0.273;0.364;0.417;0.385;0.417;1.0;0.385;0.364;0.364
ENSMUST00000203954_90_90;0.833;1.0;1.0;0.923;1.0;0.692;0.769;0.923;1.0;0.923;0.385;1.0;0.769;0.769
ENSMUST00000204158_90_90;0.727;0.75;0.769;0.833;0.769;0.462;1.0;0.833;0.769;0.833;0.364;0.769;1.0;1.0
ENSMUST00000204188_90_90;0.727;0.75;0.769;0.833;0.769;0.462;1.0;0.833;0.769;0.833;0.364;0.769;1.0;1.0
