;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.947;0.941;0.944;0.589;0.47;0.354;0.351;0.863;0.838;1.0;1.0;1.0;0.633;0.608;0.864;0.762;0.827;0.95;1.0;0.831;0.827
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.947;0.941;0.944;0.589;0.47;0.354;0.351;0.863;0.83;1.0;1.0;1.0;0.633;0.608;0.863;0.762;0.826;0.95;1.0;0.831;0.826
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.947;0.941;0.944;0.589;0.47;0.354;0.351;0.863;0.839;1.0;1.0;1.0;0.633;0.608;0.865;0.761;0.801;0.949;1.0;0.801;0.801
transcript22_ENSAPOG00000016134;0.947;0.947;0.947;1.0;1.0;0.944;0.622;0.486;0.373;0.361;0.909;0.881;0.947;0.947;0.947;0.575;0.549;0.898;0.798;0.774;0.895;0.947;0.778;0.774
transcript22_ENSAPOG00000023408;0.941;0.941;0.941;1.0;1.0;0.938;0.622;0.486;0.373;0.361;0.909;0.873;0.941;0.941;0.941;0.571;0.545;0.897;0.798;0.77;0.89;0.941;0.776;0.77
transcript22_ENSPNYG00000024266;0.944;0.944;0.944;0.944;0.938;1.0;0.611;0.504;0.366;0.379;0.849;0.821;0.944;0.944;0.944;0.569;0.543;0.907;0.796;0.766;0.893;0.944;0.772;0.766
transcript27_ENSAPOG00000016134;0.589;0.589;0.589;0.622;0.622;0.611;1.0;0.567;0.594;0.583;0.683;0.702;0.589;0.589;0.589;0.489;0.504;0.633;0.55;0.441;0.586;0.589;0.444;0.441
transcript27_ENSAOCG00000015695;0.47;0.47;0.47;0.486;0.486;0.504;0.567;1.0;0.648;0.805;0.495;0.465;0.47;0.47;0.47;0.766;0.788;0.515;0.482;0.336;0.49;0.47;0.336;0.336
transcript28_ENSAPOG00000016134;0.354;0.354;0.354;0.373;0.373;0.366;0.594;0.648;1.0;0.956;0.417;0.43;0.354;0.354;0.354;0.46;0.49;0.408;0.357;0.24;0.363;0.354;0.242;0.24
transcript28_ENSAOCG00000015695;0.351;0.351;0.351;0.361;0.361;0.379;0.583;0.805;0.956;1.0;0.367;0.371;0.351;0.351;0.351;0.633;0.647;0.385;0.34;0.226;0.366;0.351;0.226;0.226
transcript32_ENSAPOG00000023408;0.863;0.863;0.863;0.909;0.909;0.849;0.683;0.495;0.417;0.367;1.0;0.96;0.863;0.863;0.863;0.494;0.507;0.888;0.788;0.712;0.813;0.863;0.716;0.712
transcript33_ENSAPOG00000023408;0.838;0.83;0.839;0.881;0.873;0.821;0.702;0.465;0.43;0.371;0.96;1.0;0.839;0.838;0.839;0.469;0.481;0.859;0.758;0.692;0.788;0.839;0.696;0.692
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.947;0.941;0.944;0.589;0.47;0.354;0.351;0.863;0.839;1.0;1.0;1.0;0.633;0.608;0.865;0.761;0.801;0.949;1.0;0.801;0.801
