;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.092;0.098;0.098;0.0;0.1;0.0;0.0;0.0;0.098;0.105;0.0;0.105
ENST00000265165_90_90;0.092;1.0;0.818;0.927;0.304;0.748;0.658;0.276;0.344;0.959;0.885;0.73;0.779
ENST00000379951_90_90;0.098;0.818;1.0;0.877;0.229;0.668;0.612;0.289;0.27;0.779;0.836;0.572;0.956
ENST00000438313_90_90;0.098;0.927;0.877;1.0;0.234;0.679;0.709;0.296;0.276;0.885;0.956;0.658;0.836
ENST00000504950_90_90;0.0;0.304;0.229;0.234;1.0;0.35;0.359;0.497;0.646;0.317;0.243;0.451;0.238
ENST00000506680_90_90;0.1;0.748;0.668;0.679;0.35;1.0;0.437;0.32;0.398;0.71;0.641;0.504;0.631
ENST00000510624_90_90;0.0;0.658;0.612;0.709;0.359;0.437;1.0;0.439;0.4;0.682;0.737;0.907;0.633
ENST00000512172_90_90;0.0;0.276;0.289;0.296;0.497;0.32;0.439;1.0;0.702;0.284;0.305;0.4;0.298
ENST00000515500_90_90;0.0;0.344;0.27;0.276;0.646;0.398;0.4;0.702;1.0;0.354;0.284;0.488;0.278
ENSMUST00000029611_90_90;0.098;0.959;0.779;0.885;0.317;0.71;0.682;0.284;0.354;1.0;0.923;0.756;0.808
ENSMUST00000066849_90_90;0.105;0.885;0.836;0.956;0.243;0.641;0.737;0.305;0.284;0.923;1.0;0.682;0.871
ENSMUST00000098611_90_90;0.0;0.73;0.572;0.658;0.451;0.504;0.907;0.4;0.488;0.756;0.682;1.0;0.59
ENSMUST00000106341_90_90;0.105;0.779;0.956;0.836;0.238;0.631;0.633;0.298;0.278;0.808;0.871;0.59;1.0
