;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.845;0.547;0.838;0.645;0.328;0.845;0.645;0.997;0.781;0.997;0.766;0.348;0.046;0.13
ENST00000360194_90_90;0.845;1.0;0.673;0.989;0.781;0.437;0.997;0.781;0.845;0.645;0.845;0.632;0.347;0.0;0.13
ENST00000525338_90_90;0.547;0.673;1.0;0.68;0.857;0.41;0.671;0.857;0.545;0.682;0.545;0.48;0.471;0.0;0.15
ENST00000528985_90_90;0.838;0.989;0.68;1.0;0.769;0.441;0.986;0.769;0.838;0.637;0.838;0.638;0.35;0.0;0.132
ENST00000529731_90_90;0.645;0.781;0.857;0.769;1.0;0.359;0.783;1.0;0.647;0.809;0.647;0.43;0.446;0.0;0.166
ENST00000530043_90_90;0.328;0.437;0.41;0.441;0.359;1.0;0.436;0.359;0.327;0.245;0.327;0.419;0.351;0.0;0.0
ENST00000533050_90_90;0.845;0.997;0.671;0.986;0.783;0.436;1.0;0.783;0.847;0.647;0.847;0.63;0.349;0.0;0.13
ENST00000627851_90_90;0.645;0.781;0.857;0.769;1.0;0.359;0.783;1.0;0.647;0.809;0.647;0.43;0.446;0.0;0.166
ENSMUST00000059057_90_90;0.997;0.845;0.545;0.838;0.647;0.327;0.847;0.647;1.0;0.783;1.0;0.764;0.349;0.046;0.13
ENSMUST00000063782_90_90;0.781;0.645;0.682;0.637;0.809;0.245;0.647;0.809;0.783;1.0;0.783;0.547;0.446;0.058;0.166
ENSMUST00000121564_90_90;0.997;0.845;0.545;0.838;0.647;0.327;0.847;0.647;1.0;0.783;1.0;0.764;0.349;0.046;0.13
ENSMUST00000125087_90_90;0.766;0.632;0.48;0.638;0.43;0.419;0.63;0.43;0.764;0.547;0.764;1.0;0.415;0.059;0.0
ENSMUST00000133739_90_90;0.348;0.347;0.471;0.35;0.446;0.351;0.349;0.446;0.349;0.446;0.349;0.415;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046;0.058;0.046;0.059;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.13;0.13;0.15;0.132;0.166;0.0;0.13;0.166;0.13;0.166;0.13;0.0;0.0;0.0;1.0
