;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript31_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript7_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;1.0;1.0;0.887;0.843;0.928;0.954;0.953;1.0;0.957;1.0
transcript37_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.952;0.923;0.95;1.0;1.0;0.953;1.0
transcript31_ENSCGRG00001010245;1.0;1.0;1.0;0.893;0.853;0.931;0.957;0.956;1.0;0.96;1.0
transcript37_ENSCGRG00001010245;0.887;1.0;0.893;1.0;0.952;0.825;0.851;0.934;0.893;0.853;0.893
transcript49_ENSCGRG00001010245;0.843;0.952;0.853;0.952;1.0;0.784;0.809;0.889;0.853;0.812;0.853
transcript50_ENSCGRG00001010245;0.928;0.923;0.931;0.825;0.784;1.0;0.889;0.887;0.931;0.891;0.931
transcript51_ENSCGRG00001010245;0.954;0.95;0.957;0.851;0.809;0.889;1.0;0.913;0.957;0.917;0.957
transcript7_ENSPEMG00000024651;0.953;1.0;0.956;0.934;0.889;0.887;0.913;1.0;0.956;0.916;0.956
transcript31_ENSPEMG00000024651;1.0;1.0;1.0;0.893;0.853;0.931;0.957;0.956;1.0;0.96;1.0
transcript42_ENSPEMG00000024651;0.957;0.953;0.96;0.853;0.812;0.891;0.917;0.916;0.96;1.0;0.96
transcript43_ENSPEMG00000024651;1.0;1.0;1.0;0.893;0.853;0.931;0.957;0.956;1.0;0.96;1.0
