;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.75;0.739;0.182;0.095;0.048;0.16;0.095;0.364;0.045;0.192
ENST00000308924_90_90;0.75;1.0;0.909;0.217;0.136;0.091;0.24;0.136;0.28;0.087;0.32
ENST00000450554_90_90;0.739;0.909;1.0;0.238;0.15;0.1;0.261;0.15;0.304;0.095;0.24
ENST00000587196_90_90;0.182;0.217;0.238;1.0;0.0;0.0;0.0;0.0;0.143;0.0;0.0
ENST00000590551_90_90;0.095;0.136;0.15;0.0;1.0;0.0;0.333;1.0;0.0;0.0;0.273
ENST00000592874_90_90;0.048;0.091;0.1;0.0;0.0;1.0;0.222;0.0;0.0;0.667;0.182
ENSMUST00000005041_90_90;0.16;0.24;0.261;0.0;0.333;0.222;1.0;0.333;0.056;0.333;0.818
ENSMUST00000165399_90_90;0.095;0.136;0.15;0.0;1.0;0.0;0.333;1.0;0.0;0.0;0.273
ENSMUST00000207097_90_90;0.364;0.28;0.304;0.143;0.0;0.0;0.056;0.0;1.0;0.0;0.05
ENSMUST00000207498_90_90;0.045;0.087;0.095;0.0;0.0;0.667;0.333;0.0;0.0;1.0;0.273
ENSMUST00000209099_90_90;0.192;0.32;0.24;0.0;0.273;0.182;0.818;0.273;0.05;0.273;1.0
