;ENSCAFT00000027870_90_90;ENST00000554308_90_90;ENST00000554511_90_90;ENST00000554684_90_90;ENST00000554943_90_90;ENST00000555029_90_90;ENST00000555462_90_90;ENST00000555470_90_90;ENST00000557018_90_90;ENSMUST00000048305_90_90;ENSMUST00000163095_90_90;ENSMUST00000223091_90_90;ENSMUST00000223459_90_90
ENSCAFT00000027870_90_90;;0.585;0.109;0.892;0.95;0.289;0.706;0.224;0.165;0.892;0.95;0.072;0.141
ENST00000554308_90_90;0.585;;;;;;;;;0.662;0.623;0.109;0.0
ENST00000554511_90_90;0.109;;;;;;;;;0.148;0.139;0.0;0.0
ENST00000554684_90_90;0.892;;;;;;;;;1.0;0.94;0.076;0.149
ENST00000554943_90_90;0.95;;;;;;;;;0.94;1.0;0.072;0.141
ENST00000555029_90_90;0.289;;;;;;;;;0.265;0.325;0.0;0.0
ENST00000555462_90_90;0.706;;;;;;;;;0.691;0.751;0.099;0.192
ENST00000555470_90_90;0.224;;;;;;;;;0.197;0.224;0.0;0.0
ENST00000557018_90_90;0.165;;;;;;;;;0.209;0.196;0.0;0.0
ENSMUST00000048305_90_90;0.892;0.662;0.148;1.0;0.94;0.265;0.691;0.197;0.209;;;;
ENSMUST00000163095_90_90;0.95;0.623;0.139;0.94;1.0;0.325;0.751;0.224;0.196;;;;
ENSMUST00000223091_90_90;0.072;0.109;0.0;0.076;0.072;0.0;0.099;0.0;0.0;;;;
ENSMUST00000223459_90_90;0.141;0.0;0.0;0.149;0.141;0.0;0.192;0.0;0.0;;;;
