;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.82;0.82;0.65;0.184;0.809;0.217;0.217;0.296;0.82;1.0;0.879;0.868;0.768
ENST00000265651_90_90;0.82;1.0;0.873;0.76;0.248;0.863;0.335;0.335;0.365;0.846;0.754;0.827;0.817;0.706
ENST00000448981_90_90;0.82;0.873;1.0;0.634;0.281;0.988;0.211;0.211;0.414;0.956;0.818;0.913;0.903;0.772
ENST00000526785_90_90;0.65;0.76;0.634;1.0;0.013;0.641;0.441;0.441;0.125;0.615;0.598;0.656;0.663;0.535
ENST00000529137_90_90;0.184;0.248;0.281;0.013;1.0;0.269;0.0;0.0;0.657;0.271;0.184;0.204;0.193;0.236
ENST00000530401_90_90;0.809;0.863;0.988;0.641;0.269;1.0;0.214;0.214;0.402;0.944;0.808;0.902;0.913;0.761
ENST00000531080_90_90;0.217;0.335;0.211;0.441;0.0;0.214;1.0;1.0;0.0;0.205;0.2;0.219;0.222;0.097
ENST00000532057_90_90;0.217;0.335;0.211;0.441;0.0;0.214;1.0;1.0;0.0;0.205;0.2;0.219;0.222;0.097
ENST00000532927_90_90;0.296;0.365;0.414;0.125;0.657;0.402;0.0;0.0;1.0;0.4;0.297;0.329;0.318;0.38
ENST00000534136_90_90;0.82;0.846;0.956;0.615;0.271;0.944;0.205;0.205;0.4;1.0;0.792;0.873;0.863;0.746
ENSMUST00000028603_90_90;1.0;0.754;0.818;0.598;0.184;0.808;0.2;0.2;0.297;0.792;1.0;0.857;0.846;0.752
ENSMUST00000102565_90_90;0.879;0.827;0.913;0.656;0.204;0.902;0.219;0.219;0.329;0.873;0.857;1.0;0.988;0.854
ENSMUST00000111135_90_90;0.868;0.817;0.903;0.663;0.193;0.913;0.222;0.222;0.318;0.863;0.846;0.988;1.0;0.842
ENSMUST00000111136_90_90;0.768;0.706;0.772;0.535;0.236;0.761;0.097;0.097;0.38;0.746;0.752;0.854;0.842;1.0
