;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.864;0.852;0.987;0.987;0.987;0.951;0.847;0.951;0.125;0.128;0.129;0.141;0.14;0.136;0.127;0.132
transcript7_ENSMUGG00000013649;0.864;1.0;0.987;0.875;0.875;0.875;0.821;0.821;0.821;0.126;0.13;0.131;0.143;0.142;0.137;0.129;0.134
transcript7_ENSMUGG00000013592;0.852;0.987;1.0;0.864;0.864;0.864;0.809;0.81;0.809;0.125;0.128;0.13;0.142;0.14;0.136;0.127;0.132
transcript7_ENSCGRG00015005362;0.987;0.875;0.864;1.0;1.0;1.0;0.939;0.838;0.939;0.126;0.13;0.131;0.143;0.142;0.137;0.129;0.134
transcript7_ENSCGRG00000018457;0.987;0.875;0.864;1.0;1.0;1.0;0.939;0.838;0.939;0.126;0.13;0.131;0.143;0.142;0.137;0.129;0.134
transcript7_ENSPEMG00000024651;0.987;0.875;0.864;1.0;1.0;1.0;0.939;0.838;0.939;0.126;0.13;0.131;0.143;0.142;0.137;0.129;0.134
transcript57_MGP-CAROLIEiJ-G0020234;0.951;0.821;0.809;0.939;0.939;0.939;1.0;0.844;1.0;0.124;0.128;0.128;0.141;0.14;0.135;0.127;0.132
transcript58_MGP-CAROLIEiJ-G0020234;0.847;0.821;0.81;0.838;0.838;0.838;0.844;1.0;0.844;0.147;0.151;0.152;0.167;0.166;0.16;0.15;0.156
transcript59_MGP-CAROLIEiJ-G0020234;0.951;0.821;0.809;0.939;0.939;0.939;1.0;0.844;1.0;0.124;0.128;0.128;0.141;0.14;0.135;0.127;0.132
transcript28_ENSMUGG00000013649;0.125;0.126;0.125;0.126;0.126;0.126;0.124;0.147;0.124;1.0;0.972;0.959;0.878;0.887;0.906;0.978;0.943
transcript42_ENSMUGG00000013649;0.128;0.13;0.128;0.13;0.13;0.13;0.128;0.151;0.128;0.972;1.0;0.987;0.903;0.913;0.877;0.949;0.943
transcript42_ENSMUGG00000013592;0.129;0.131;0.13;0.131;0.131;0.131;0.128;0.152;0.128;0.959;0.987;1.0;0.913;0.904;0.87;0.939;0.932
transcript52_ENSMUGG00000013592;0.141;0.143;0.142;0.143;0.143;0.143;0.141;0.167;0.141;0.878;0.903;0.913;1.0;0.988;0.948;0.898;0.891
transcript52_ENSCGRG00015005362;0.14;0.142;0.14;0.142;0.142;0.142;0.14;0.166;0.14;0.887;0.913;0.904;0.988;1.0;0.958;0.908;0.901
transcript53_ENSCGRG00015005362;0.136;0.137;0.136;0.137;0.137;0.137;0.135;0.16;0.135;0.906;0.877;0.87;0.948;0.958;1.0;0.926;0.891
transcript54_ENSCGRG00015005362;0.127;0.129;0.127;0.129;0.129;0.129;0.127;0.15;0.127;0.978;0.949;0.939;0.898;0.908;0.926;1.0;0.965
transcript55_ENSCGRG00015005362;0.132;0.134;0.132;0.134;0.134;0.134;0.132;0.156;0.132;0.943;0.943;0.932;0.891;0.901;0.891;0.965;1.0
