;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.658;0.644;0.645;0.425;0.41;0.629;0.617;0.5;0.696;0.615;0.549;0.536;0.767;0.544;0.514;0.514;0.514;0.536;0.532;0.514;0.547;0.536
transcript38_ENSMSIG00000000513;0.658;1.0;0.979;0.976;0.647;0.625;0.658;0.643;0.582;0.542;0.476;0.386;0.349;0.52;0.381;0.35;0.353;0.353;0.373;0.369;0.367;0.388;0.38
transcript38_MGP-SPRETEiJ-G0021131;0.644;0.979;1.0;0.955;0.625;0.638;0.643;0.628;0.579;0.53;0.465;0.376;0.337;0.509;0.373;0.341;0.343;0.343;0.365;0.361;0.357;0.379;0.372
transcript38_ENSMUSG00000054036;0.645;0.976;0.955;1.0;0.647;0.625;0.643;0.643;0.582;0.542;0.476;0.378;0.34;0.51;0.374;0.343;0.346;0.346;0.367;0.363;0.359;0.381;0.374
transcript52_ENSMSIG00000000513;0.425;0.647;0.625;0.647;1.0;0.966;0.386;0.373;0.409;0.349;0.306;0.212;0.192;0.336;0.248;0.229;0.234;0.234;0.24;0.237;0.243;0.25;0.244
transcript52_MGP-SPRETEiJ-G0021131;0.41;0.625;0.638;0.625;0.966;1.0;0.37;0.358;0.405;0.338;0.296;0.201;0.18;0.324;0.238;0.219;0.224;0.224;0.232;0.23;0.234;0.241;0.236
transcript58_ENSMSIG00000000513;0.629;0.658;0.643;0.643;0.386;0.37;1.0;0.979;0.566;0.623;0.546;0.487;0.452;0.535;0.44;0.417;0.413;0.413;0.429;0.425;0.41;0.436;0.427
transcript58_ENSMUSG00000054036;0.617;0.643;0.628;0.643;0.373;0.358;0.979;1.0;0.553;0.623;0.546;0.477;0.442;0.526;0.432;0.41;0.405;0.405;0.422;0.418;0.403;0.429;0.42
transcript63_MGP-SPRETEiJ-G0021131;0.5;0.582;0.579;0.582;0.409;0.405;0.566;0.553;1.0;0.688;0.602;0.531;0.477;0.641;0.464;0.434;0.435;0.435;0.472;0.468;0.445;0.491;0.481
transcript54_ENSMUSG00000054036;0.696;0.542;0.53;0.542;0.349;0.338;0.623;0.623;0.688;1.0;0.875;0.711;0.663;0.831;0.669;0.633;0.631;0.631;0.67;0.664;0.62;0.672;0.658
